entry_id,title,category,posting_date,unit_slug,card,evidencia,pred_subunit,gold_subunit,gold_subunits_extra,gold_fonte,scorable,notas
eth2,GitHub - Consensys/eth2.0-dafny: Eth2.0 spec in Dafny · GitHub,bibliografia,,unidade-01-metodos-formais,,GitHub - Consensys/eth2.0-dafny: Eth2.0 spec in Dafny · GitHub · Conteúdo Extraído · Overview · Objectives · How to use the verified code? · Methodology · Results · Statistics,exemplos-de-aplicacoes,,,conteudo,no,"provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); UNIDADE: gold u02 (ruling 31/08), computada u01; subtopico seria softwares-de-suporte (Dafny)"
aws-encryption-sdk,GitHub - aws/aws-encryption-sdk: AWS Encryption SDK · GitHub,bibliografia,,unidade-01-metodos-formais,,"GitHub - aws/aws-encryption-sdk: AWS Encryption SDK · GitHub · Conteúdo Extraído · AWS Encryption SDK for Dafny · Building the AWS Encryption SDK for Dafny · Currently, test depends on src, so verifyi",,,,conteudo,no,"provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); UNIDADE: gold u02 (ruling 31/08), computada u01; subtopico seria softwares-de-suporte (Dafny)"
archive-of-formal-proofs-355fb8,Archive of Formal Proofs,references,,unidade-01-metodos-formais,,Archive of Formal Proofs · Conteúdo Extraído,abordagens-para-verificacao-formal,provadores-de-teoremas,,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); AFP = provas em Isabelle
exerciciosformalizacaoalgoritmosrecursao3,Exercícios - equações recursivas parte 3,listas,2026-02-18,unidade-01-metodos-formais,Especificações Indutivas e Recursivas,Exercícios · Formalização de algoritmos como equações recursivas – Parte 3,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,especificacao-de-conjuntos-indutivos,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); arvores binarias: definicao indutiva + equacoes recursivas
formalizacaoalgoritmos-recursao2,Especificações recursivas - listas,material-de-aula,2026-02-18,unidade-01-metodos-formais,Especificações Indutivas e Recursivas,Sumário · Funções Recursivas sobre Listas · 1. Introdução · 2. Listas polimórficas (definição indutiva) · 3. Listas polimórficas (equações recursivas),especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,especificacao-de-conjuntos-indutivos,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); listas: definicao indutiva + equacoes recursivas
exerciciosconjuntosindutivos,Exercícios - conjuntos indutivos,listas,2026-02-18,unidade-01-metodos-formais,Especificações Indutivas e Recursivas,Prof. Júlio Machado · Exercícios · Conjuntos Indutivos,especificacao-de-conjuntos-indutivos,especificacao-de-conjuntos-indutivos,,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user)
conjuntosindutivos,Conjuntos Indutivos,material-de-aula,2026-02-18,unidade-01-metodos-formais,Especificações Indutivas e Recursivas,Sumário · Métodos Formais · Prof. Júlio Machado · Conjuntos Indutivos · 1. Revisão · Introdução · Notação e Representação · Representação por enumeração,especificacao-de-conjuntos-indutivos,especificacao-de-conjuntos-indutivos,,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user)
logicapredicados-semantica,Lógica Predicados - semântica,material-de-aula,2026-02-18,unidade-01-metodos-formais,Revisão - Lógica e Especificação,MÉTODOS FORMAIS · LÓGICA DE PREDICADOS · Motivação · Interpretação · Interpretação · Ambiente · Ambiente · Ambiente,fundamentos-de-logica-de-primeira-ordem,fundamentos-de-logica-de-primeira-ordem,,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user)
logicapredicados-sintaxe,Lógica Predicados - sintaxe,material-de-aula,2026-02-18,unidade-01-metodos-formais,Revisão - Lógica e Especificação,Sumário · MÉTODOS FORMAIS · LÓGICA DE PREDICADOS · Sintaxe · Assinatura · Assinatura · Exemplo · Exemplo,fundamentos-de-logica-de-primeira-ordem,fundamentos-de-logica-de-primeira-ordem,,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user)
logicaproposicional-sintaxe,Lógica Proposicional - sintaxe,material-de-aula,2026-02-18,unidade-01-metodos-formais,Revisão - Lógica e Especificação,Sumário · MÉTODOS FORMAIS · LÓGICA PROPOCIONAL · Proposição · Proposição · Composição de Proposições · Composição de Proposições · Composição de Proposições,linguagens-de-especificacao-e-logicas,linguagens-de-especificacao-e-logicas,fundamentos-de-logica-de-primeira-ordem,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); logica proposicional: taxonomia u01 sem subtopico proprio
revisao,Conceitos essenciais,material-de-aula,2026-02-18,unidade-01-metodos-formais,Revisão - Lógica e Especificação,MÉTODOS FORMAIS · CONJUNTOS E FUNÇÕES · Relações · Relações · Relações de Equivalência · Relações de Ordem Parcial · Relações de Ordem Total · Funções Parciais,sistemas-formais,sistemas-formais,,conteudo,yes,"provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); revisao de pre-requisitos (conjuntos, relacoes, funcoes, linguagens formais); alternativa vazio (revisao sem assunto dominante)"
introducao,Introdução,material-de-aula,2026-02-18,unidade-01-metodos-formais,Introdução a Métodos Formais,Sumário · MÉTODOS FORMAIS · INTRODUÇÃO · • Ariane 5: · • Therac-25: · • Pentium FDIV: · Verificação · Verificação,exemplos-de-aplicacoes,abordagens-para-verificacao-formal,exemplos-de-aplicacoes,conteudo,yes,"provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); V&V, tecnicas, 'o que e um metodo formal'; Ariane/Therac/Pentium como exemplos"
provasindutivas-especificacoesrecursivas,Provas indutivas de especificações recursivas,material-de-aula,2026-02-18,unidade-01-metodos-formais,Provas por Indução,Sumário · Provas por Indução de Especificações Recursivas · 1. Princípio da indução matemática · 2. Princípio da indução matemática generalizada · 3. Provas por indução de especificações recursivas · ,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,abordagens-para-verificacao-formal,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); provas por inducao de especificacoes recursivas: taxonomia u01 sem subtopico 'inducao'
provasindutivas-especificacoesrecursivas-arvores,Indução estrutural sobre árvores,material-de-aula,2026-02-18,unidade-01-metodos-formais,Provas por Indução,Indução Estrutural sobre Árvores,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,abordagens-para-verificacao-formal,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); inducao estrutural sobre arvores
provasindutivas-especificacoesrecursivas-listas,Indução estrutural sobre listas,material-de-aula,2026-02-18,unidade-01-metodos-formais,Provas por Indução,Indução Estrutural sobre Listas,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,abordagens-para-verificacao-formal,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); inducao estrutural sobre listas
exercicioscorrecaoinducaomatematica,Exercícios - provas de especificações recursivas,listas,2026-02-18,unidade-01-metodos-formais,Provas por Indução,Exercícios · Provas por Indução de Especificações Equacionais Recursivas,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,abordagens-para-verificacao-formal,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); provas por inducao de especificacoes equacionais recursivas
exerciciosespecificacao-respostas,Respostas,gabaritos,2026-02-18,unidade-01-metodos-formais,Revisão - Lógica e Especificação,Métodos Formais · Especificação Formal,linguagens-de-especificacao-e-logicas,linguagens-de-especificacao-e-logicas,,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); especificacao formal (pre/pos de busca em array) escrita em logica; card 'Revisao - Logica e Especificacao'
exerciciosespecificacao,Exercícios - asserções lógicas,listas,2026-02-18,unidade-01-metodos-formais,Revisão - Lógica e Especificação,Métodos Formais · Especificação Formal,linguagens-de-especificacao-e-logicas,linguagens-de-especificacao-e-logicas,,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); idem
exerciciosformalizacaoalgoritmosrecursao2,Exercícios - equações recursivas parte 2,listas,2026-02-18,unidade-01-metodos-formais,Especificações Indutivas e Recursivas,Exercícios · Formalização de algoritmos como equações recursivas – Parte 2,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,especificacao-de-conjuntos-indutivos,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); listas
exerciciosisabelle2,Exercícios - provas em Isabelle (parte 2),listas,2026-02-18,unidade-01-metodos-formais,Provas por Indução,Exercícios · Formalização e prova de algoritmos como equações recursivas no Isabelle (parte 2),provadores-de-teoremas,provadores-de-teoremas,especificacao-de-funcoes-recursivas,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); provas em Isabelle
logicaproposicional-semantica,Lógica Proposicional - semântica,material-de-aula,2026-02-18,unidade-01-metodos-formais,Revisão - Lógica e Especificação,Sumário · MÉTODOS FORMAIS --- · LÓGICA PROPOSICIONAL --- · Semântica · Interpretações · Semântica dos Operadores · Semântica dos Operadores · Fórmulas e Interpretações,linguagens-de-especificacao-e-logicas,linguagens-de-especificacao-e-logicas,fundamentos-de-logica-de-primeira-ordem,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); logica proposicional: sem subtopico proprio
exerciciosformalizacaoalgoritmosrecursao-respostas,Respostas,gabaritos,2026-02-18,unidade-01-metodos-formais,Especificações Indutivas e Recursivas,ExerciciosFormalizacaoAlgoritmosRecursao_respostas · Página 1 · Página 2 · Página 3 · Imagens Curadas,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); gabarito (scanned)
formalizacaoalgoritmos-recursao,Especificações recursivas,material-de-aula,2026-02-18,unidade-01-metodos-formais,Especificações Indutivas e Recursivas,Sumário · Formalizando a Noção de Algoritmo Via Equações Recursivas · 1. Introdução · 2. Um primeiro algoritmo · 3. Algoritmos especificações equacionais · 4. Tipos de recursão · 5. Computação como um,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,,conteudo,yes,"provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); equacoes recursivas, tipos de recursao, maquina de estados"
formalizacaoalgoritmos-recursao3,Especificações recursivas - árvores binárias,material-de-aula,2026-02-18,unidade-01-metodos-formais,Especificações Indutivas e Recursivas,Sumário · Funções Recursivas sobre Árvores · 1. Árvores polimórficas (definição indutiva) · 2. Árvores polimórficas (equações recursivas),especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,especificacao-de-conjuntos-indutivos,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); arvores
exerciciosisabelle,Exercícios - provas em Isabelle,listas,2026-02-18,unidade-01-metodos-formais,Provas por Indução,Exercícios · Formalização e prova de algoritmos como equações recursivas no Isabelle,provadores-de-teoremas,provadores-de-teoremas,especificacao-de-funcoes-recursivas,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); provas em Isabelle
revisao-p1,Exercícios para P1,listas,2026-02-18,unidade-01-metodos-formais,Exercícios de Revisão para Provas,Exercícios Revisão para P1 · Imagens Curadas,,,,,no,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); lista de revisao para P1: cobre a unidade inteira
t1-2026-1,Definição,trabalhos,2026-04-15,unidade-02-verificacao-de-programas,TDE Trabalho Discente Efetivo,Sumário · Trabalho 1 · Provas por Indução de Especificações Equacionais Recursivas · Entrega: · IMPORTANTE: · Observações:,sistema-de-prova,,,conteudo,no,"provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); UNIDADE ERRADA: computada u02, gold u01 (material_gt); subtopico seria especificacao-de-funcoes-recursivas"
t1-2026-1-thy,Arquivo .thy,codigo-professor,2026-04-15,unidade-02-verificacao-de-programas,TDE Trabalho Discente Efetivo,T1 2026 1,,,,conteudo,no,"provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); UNIDADE ERRADA: computada u02, gold u01; subtopico seria provadores-de-teoremas"
exerciciosformalizacaoalgoritmosrecursao,Exercícios - equações recursivas parte 1,listas,2026-02-18,unidade-01-metodos-formais,Especificações Indutivas e Recursivas,Exercícios · Formalização de algoritmos como equações recursivas – Parte 1,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); parte 1
revisao-p1-gabarito,Respostas,provas,2026-02-18,unidade-01-metodos-formais,Exercícios de Revisão para Provas,Exercícios Revisão para P1 · Imagens Curadas,,,,,no,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); gabarito da revisao para P1
arvores,Exemplos: provas sobre arvores,codigo-professor,2026-02-18,unidade-01-metodos-formais,Provas por Indução,arvores,provadores-de-teoremas,provadores-de-teoremas,especificacao-de-funcoes-recursivas,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); .thy: datatype arvore + prova por inducao em Isabelle
