entry_id,title,category,posting_date,unit_slug,card,evidencia,pred_subunit,gold_subunit,gold_subunits_extra,gold_fonte,scorable,notas
revisaoarquiteturapadroes,RevisaoArquiteturaPadroes,material-de-aula,2026-02-18,unidade-01-arquitetura-de-software,Revisão,Sumário · ENGENHARIA DE SOFTWARE II --- · ARQUITETURA DE SOFTWARE --- · Sistemas de Software · Aplicações Corporativas · Exemplos · Características · Aplicações Corporativas · Arquitetura de Software · Arquitetura de Software,,conceito-de-arquitetura-de-software,estilos-e-padroes-arquiteturais,conteudo,yes,"provenance=proposto-claude+aprovado-user-2026-08-25; RULING USER 2026-08-26 ('concordo com tudo'). card Revisao; Sistemas de Software, Aplicacoes Corporativas, definicao IEEE de arquitetura"
servicos,servicos,material-de-aula,2026-02-18,unidade-01-arquitetura-de-software,Revisão,Sumário · ENGENHARIA DE SOFTWARE II --- · ARQUITETURA ORIENTADA A SERVIÇOS --- · Arquitetura orientada a serviços · Arquitetura orientada a serviços · Arquitetura orientada a serviços · Arquitetura orientada a serviços · Arquitetura orientada a serviços · Arquitetura orientada a serviços · Lembrem-se!,,orientada-a-servicos,,conteudo,yes,provenance=proposto-claude+aprovado-user-2026-08-25; RULING USER 2026-08-26 ('concordo com tudo'). SOA + Web Services
web,web,material-de-aula,2026-02-18,unidade-01-arquitetura-de-software,Revisão,Sumário · ENGENHARIA DE SOFTWARE II --- · ARQUITETURA DE SISTEMAS WEB --- · Evolução das aplicações WEB · Evolução das aplicações WEB · WebSite estático · WebSite dinâmico (I) · WebSite dinâmico (II) · Aplicação WEB · Aplicação WEB: arquitetura cliente servidor,,cliente-servidor,camadas,conteudo,yes,"provenance=proposto-claude+aprovado-user-2026-08-25; RULING USER 2026-08-26 ('concordo com tudo'). arquitetura de sistemas web: cliente-servidor, camadas logicas"
microsservicos,microsservicos,material-de-aula,2026-02-18,unidade-01-arquitetura-de-software,Microsserviços,Sumário · ENGENHARIA DE SOFTWARE II --- · MICROSSERVIÇOS --- · Decomposição de Sistemas · Sistemas na Nuvem · Escalabilidade · Escalabilidad · Escalabilidade Vertical · Escalabilidade Horizontal · Monolitos,,orientada-a-microsservicos,,conteudo,yes,"provenance=proposto-claude+aprovado-user-2026-08-25; RULING USER 2026-08-26 ('concordo com tudo'). decomposicao, monolitos x microsservicos, escalabilidade"
roteiro1-introducao,Roteiro1_introducao,material-de-aula,2026-02-18,unidade-01-arquitetura-de-software,Microsserviços,Sumário · Roteiro 1: Introdução · Criando um par de microsserviços independentes · Passo 1: criando o microsserviço de câmbio · Passo 2: criando o microserviço de conversão · **Conteúdo do arquivo de propriedades:** · Conclusões · Exercício,,estudo-de-caso-arquitetura-orientada-a-microsservicos,orientada-a-microsservicos,conteudo,yes,provenance=proposto-claude+aprovado-user-2026-08-25; RULING USER 2026-08-26 ('concordo com tudo'). lab: criando um par de microsservicos = estudo de caso pratico (1.5)
roteiro1,roteiro1,codigo-professor,2026-02-18,unidade-01-arquitetura-de-software,Microsserviços,,,estudo-de-caso-arquitetura-orientada-a-microsservicos,,card,yes,"provenance=proposto-claude+aprovado-user-2026-08-25; RULING USER 2026-08-26 ('concordo com tudo'). zip sem markdown; irmao numerado do roteiro1-introducao, mesmo card"
azure,Azure,material-de-aula,2026-02-18,unidade-01-arquitetura-de-software,Microsserviços,Sumário · Método 1: · Método 2: · Escolha uma conta · PUCRS · Azure Dev Tools for Teaching · Welcome to the Azure Education Hub!,,,,-,no,provenance=proposto-claude+aprovado-user-2026-08-25; RULING USER 2026-08-26 ('concordo com tudo'). tutorial de conta Azure Dev Tools; transversal
plano,plano,cronograma,2026-02-27,unidade-01-arquitetura-de-software,Plano de Ensino,Sumário · 1.3 Estilos e padrões arquiteturais · 1.3.1 Camadas · 1.3.2 Cliente-Servidor · 1.3.3 Orientada a Serviços · 1.3.4 Orientada a Microserviços · 1.3.5 Arquitetura Serverless · 1.4 Estratégias de Construção de Arquitetura · 1.5 Estudo de caso: arquitetura orientada a microserviços · CONTEÚDO: Integração de Desenvolvimento e Operação (DevOps),,,,-,no,provenance=proposto-claude+aprovado-user-2026-08-25; RULING USER 2026-08-26 ('concordo com tudo'). cronograma
devops,devops,material-de-aula,2026-02-18,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,DevOps,Sumário · ENGENHARIA DE SOFTWARE II --- · DEVOPS · Dev · Ops · DevOps · DevOps · DevOps · Principais práticas · Competências técnicas,,conceito-de-devops,gerenciamento-da-configuracao,conteudo,yes,"provenance=proposto-claude+aprovado-user-2026-08-25; RULING USER 2026-08-26. Dev/Ops/DevOps, praticas, gerencia de configuracao"
kubernetes,Kubernetes,material-de-aula,2026-02-18,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,DevOps,Sumário · ENGENHARIA DE SOFTWARE II --- · KUBERNETES --- · O que é Kubernetes? · Como o Kubernetes Funciona · Como o Kubernetes Funciona · Como o Kubernetes Funciona · Como o Kubernetes Funciona · Como o Kubernetes Funciona · Vantagens do Uso do Kubernetes,,plataformas-de-devops,,conteudo,yes,provenance=proposto-claude+aprovado-user-2026-08-25; RULING USER 2026-08-26. plataforma
