curso,entry,grupo,categoria,card,posicao_moodle,fonte_posicao,sarc_posicao,gold,sarc_gold,motor,motor_ok,veredito,label_moodle,titulo
MF,conjuntosindutivos,AULA,material-de-aula,Especificações Indutivas e Recursivas,bloco-03 bloco-04,label: Semana 09/03/2026 a 13/03/2026: (09/03/2026): revi... || Sem,class 03-09..03-09 | 03-09 revisao de logica de predicados exerci / class 03-11..03-25 | 03-11 conjuntos indutivos e equacoes recursi; 03-16 exercicios aula; 03-18 estudo de caso listas aula,bloco-04,class 03-11..03-25 | 03-11 conjuntos indutivos e equacoes recursi; 03-16 exercicios aula; 03-18 estudo de caso listas aula,bloco-04,True,concorda,Conjuntos Indutivos,ConjuntosIndutivos
MF,correcaoterminacao,AULA,material-de-aula,Verificação de Programas,bloco-10 bloco-11 bloco-12 bloco-13,label: Semana 27/04/2026 a 01/05/2026: (27/04/2026): lógi... || Sem,class 04-27..05-04 | 04-27 logica de hoare aula; 04-29 logica de hoare aula; 05-04 exercicios aula / deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-11,deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-11,True,concorda,Correção e Terminação,CorrecaoTerminacao
MF,exerciciosconjuntosindutivos,AULA,listas,Especificações Indutivas e Recursivas,bloco-03 bloco-04,label: Semana 09/03/2026 a 13/03/2026: (09/03/2026): revi... || Sem,class 03-09..03-09 | 03-09 revisao de logica de predicados exerci / class 03-11..03-25 | 03-11 conjuntos indutivos e equacoes recursi; 03-16 exercicios aula; 03-18 estudo de caso listas aula,bloco-04,class 03-11..03-25 | 03-11 conjuntos indutivos e equacoes recursi; 03-16 exercicios aula; 03-18 estudo de caso listas aula,bloco-04,True,concorda,Exercícios - conjuntos indutivos,ExerciciosConjuntosIndutivos
MF,exercicioscorrecaoinducaomatematica,AULA,listas,Provas por Indução,bloco-05 bloco-06 bloco-07,label: Semana 30/03/2026 a 03/04/2026: (30/03/2026): Espe... || Sem,class 03-30..04-01 | 03-30 provas por inducao aula; 04-01 provas por inducao listas e arvores au / class 04-06..04-13 | 04-06 prova interativa de teoremas isabelle ; 04-08 prova interativa de teoremas isabelle ; 04-13 exercicios aula,bloco-05,class 03-30..04-01 | 03-30 provas por inducao aula; 04-01 provas por inducao listas e arvores au,bloco-05,True,concorda,Exercícios - provas de especificações recursivas,ExerciciosCorrecaoInducaoMatematica
MF,exercicioscorrecaoterminacao,AULA,listas,Verificação de Programas,bloco-10 bloco-11 bloco-12 bloco-13,label: Semana 27/04/2026 a 01/05/2026: (27/04/2026): lógi... || Sem,class 04-27..05-04 | 04-27 logica de hoare aula; 04-29 logica de hoare aula; 05-04 exercicios aula / deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-11,deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-11,True,concorda,Exercícios - terminação,ExerciciosCorrecaoTerminacao
MF,exerciciosdafny1,AULA,listas,Verificação de Programas,bloco-10 bloco-11 bloco-12 bloco-13,label: Semana 27/04/2026 a 01/05/2026: (27/04/2026): lógi... || Sem,class 04-27..05-04 | 04-27 logica de hoare aula; 04-29 logica de hoare aula; 05-04 exercicios aula / deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-12,class 05-11..05-11 | 05-11 terminacao introducao ao dafny aula,bloco-12,True,concorda,Exercícios - programação e verificação com Dafny,ExerciciosDafny1
MF,exerciciosdafny2,AULA,listas,Verificação de Programas,bloco-10 bloco-11 bloco-12 bloco-13,label: Semana 27/04/2026 a 01/05/2026: (27/04/2026): lógi... || Sem,class 04-27..05-04 | 04-27 logica de hoare aula; 04-29 logica de hoare aula; 05-04 exercicios aula / deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-13,class 05-13..05-25 | 05-13 logica de programas introducao ao dafn; 05-18 logica de programas colecoes dafny arr; 05-20 logica de programas colecoes dafny seq,bloco-11,False,concorda,Exercícios - arrays no Dafny,ExerciciosDafny2
MF,exerciciosdafny3,AULA,listas,Verificação de Programas,bloco-10 bloco-11 bloco-12 bloco-13,label: Semana 27/04/2026 a 01/05/2026: (27/04/2026): lógi... || Sem,class 04-27..05-04 | 04-27 logica de hoare aula; 04-29 logica de hoare aula; 05-04 exercicios aula / deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-13,class 05-13..05-25 | 05-13 logica de programas introducao ao dafn; 05-18 logica de programas colecoes dafny arr; 05-20 logica de programas colecoes dafny seq,bloco-13,True,concorda,Exercícios - sequências no Dafny,ExerciciosDafny3
MF,exerciciosdafny4,AULA,listas,Verificação de Programas,bloco-10 bloco-11 bloco-12 bloco-13,label: Semana 27/04/2026 a 01/05/2026: (27/04/2026): lógi... || Sem,class 04-27..05-04 | 04-27 logica de hoare aula; 04-29 logica de hoare aula; 05-04 exercicios aula / deliverable 05-06..05-06 | 05-06 logica de programas correcao parcial c,bloco-13,class 05-13..05-25 | 05-13 logica de programas introducao ao dafn; 05-18 logica de programas colecoes dafny arr; 05-20 logica de programas colecoes dafny seq,bloco-13,True,concorda,Exercícios - conjuntos e multiconjuntos no Dafny,ExerciciosDafny4
MF,exerciciosdafny5,AULA,listas,Verificação de Programas,bloco-15,label: Semana 01/06/2026 a 05/06/2026: (01/06/2026): Clas... || Sem,class 06-01..06-10 | 06-01 logica de programas orientacao a objet; 06-03 logica de programas orientacao a objet; 06-08 logica de programas orientacao a objet,bloco-15,class 06-01..06-10 | 06-01 logica de programas orientacao a objet; 06-03 logica de programas orientacao a objet; 06-08 logica de programas orientacao a objet,bloco-15,True,concorda,Exercícios - classes em Dafny,ExerciciosDafny5
