entry_id,title,category,card,posting_date,text_chars,evidencia,pred_unit,unit_do_bloco_temporal,gold_units,gold_topics,scorable,notas
eth2,GitHub - Consensys/eth2.0-dafny: Eth2.0 spec in Dafny · GitHub,bibliografia,,,0,(SEM TEXTO — PRECISA MOODLE),,unidade-02-verificacao-de-programas,unidade-02-verificacao-de-programas,,yes,"propagado de coverage_gt_MF.csv (provenance=proposto-claude, sessao 2026-08-18)"
aws-encryption-sdk,GitHub - aws/aws-encryption-sdk: AWS Encryption SDK · GitHub,bibliografia,,,0,(SEM TEXTO — PRECISA MOODLE),,unidade-01-metodos-formais,unidade-02-verificacao-de-programas,,yes,"propagado de coverage_gt_MF.csv (provenance=proposto-claude, sessao 2026-08-18)"
formalizacaoalgoritmos-recursao,FormalizacaoAlgoritmos_Recursao,material-de-aula,Especificações Indutivas e Recursivas,2026-02-18,19315,Formalizando a Noção de Algoritmo Via Equações Recursivas · 1. Introdução · 2. Um primeiro algoritmo · 3. Algoritmos especificações equacionais · 4. Tipos de recursão · 5. Computação como uma sequência de estados · 6. Máquina de estados · 7. Completando a espe,,unidade-01-metodos-formais,unidade-01-metodos-formais,,yes,proposto-claude 2026-08-19: 'Formalizando a Nocao de Algoritmo Via Equacoes Recursivas' = u01
t1-2026-1,t1_2026_1,trabalhos,TDE Trabalho Discente Efetivo,2026-04-15,3950,Trabalho 1 · Provas por Indução de Especificações Equacionais Recursivas · Entrega: · IMPORTANTE: · Observações:,unidade-01-metodos-formais,unidade-02-verificacao-de-programas,unidade-01-metodos-formais,,yes,proposto-claude 2026-08-19: enunciado 'Provas por Inducao de Especificacoes Equacionais Recursivas' = u01
t1-2026-1-thy,T1 2026 1,codigo-professor,TDE Trabalho Discente Efetivo,2026-04-15,1166,T1 2026 1,unidade-01-metodos-formais,unidade-02-verificacao-de-programas,unidade-01-metodos-formais,,yes,proposto-claude 2026-08-19: enunciado 'Provas por Inducao de Especificacoes Equacionais Recursivas' = u01
revisao-p1-gabarito,revisao_p1_gabarito,provas,Exercícios de Revisão para Provas,2026-02-18,7491,Exercícios Revisão para P1 · Imagens Curadas,unidade-02-verificacao-de-programas,unidade-01-metodos-formais,unidade-01-metodos-formais,,yes,"proposto-claude 2026-08-19 (regra Lista PX, ruling-user): P1 do MF e 'definicao indutiva de conjunto', inducao, recursao = u01"
logicadehoare,LogicaDeHoare,material-de-aula,Verificação de Programas,2026-02-18,19135,Lógica de Floyd-Hoare · Triplas de Hoare · Exemplo 1: · Exemplo 2: · Exercícios: · Linguagem de Programação Simplificada · SINTAXE (BNF): · Expressões aritméticas: · Expressões lógicas: · Comandos: · Exercício: · Cálculo de Floyd-Hoare · Exemplo: · ATRIBUIÇÃO ,,unidade-02-verificacao-de-programas,unidade-02-verificacao-de-programas,,yes,"proposto-claude 2026-08-19: headings 'Logica de Floyd-Hoare', 'Triplas de Hoare' = topico logica-de-hoare (u02)"
colecoes-arrays,Colecoes Arrays,codigo-professor,Verificação de Programas,2026-05-18,0,(SEM TEXTO — PRECISA MOODLE),unidade-01-metodos-formais,unidade-02-verificacao-de-programas,unidade-02-verificacao-de-programas,,yes,proposto-claude 2026-08-19: card 'Verificacao de Programas'; codigo Dafny de colecoes verificadas (u02)
colecoes-conjuntos,Colecoes Conjuntos,codigo-professor,Verificação de Programas,2026-05-24,0,(SEM TEXTO — PRECISA MOODLE),unidade-01-metodos-formais,unidade-02-verificacao-de-programas,unidade-02-verificacao-de-programas,,yes,"proposto-claude 2026-08-19: idem colecoes-arrays, mesma serie e mesmo card"
invariantes,Invariantes,codigo-professor,Verificação de Programas,2026-05-11,0,(SEM TEXTO — PRECISA MOODLE),,unidade-02-verificacao-de-programas,unidade-02-verificacao-de-programas,,yes,proposto-claude 2026-08-19: invariante de laco e topico da u02; card 'Verificacao de Programas'
exemplos-zip,Exemplos,codigo-professor,Especificação e Verificação de Modelos,2026-02-18,0,(SEM TEXTO — PRECISA MOODLE),unidade-02-verificacao-de-programas,unidade-03-verificacao-de-modelos,unidade-03-verificacao-de-modelos,,yes,"ruling-user 2026-08-19 (confirmado abrindo o zip): 5 arquivos .smv, sintaxe NuSMV MODULE/VAR/ASSIGN = model checking = u03"
plano,plano,cronograma,Plano de Ensino,,5564,**EMENTA** · **OBJETIVOS DE APRENDIZAGEM/COMPETÊNCIAS** · **CONTEÚDOS** · **PROCEDIMENTOS METODOLÓGICOS** · **AVALIAÇÃO** · **BIBLIOGRAFIA** · **BÁSICA:** · **COMPLEMENTAR:**,,unidade-01-metodos-formais,unidade-01-metodos-formais|unidade-02-verificacao-de-programas|unidade-03-verificacao-de-modelos,,yes,ruling-user 2026-08-19: meta-material cobre TODAS as unidades
t2-2026-1,t2_2026_1,trabalhos,TDE Trabalho Discente Efetivo,,3155,**PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL ESCOLA POLITÉCNICA** · Enunciado do Problema: · Observações:,unidade-02-verificacao-de-programas,unidade-03-verificacao-de-modelos,unidade-02-verificacao-de-programas,,yes,proposto-claude 2026-08-19 (extraido): enunciado cita 'dafny' e 'invariante' = u02
