id,title,category,source_section,moodle_label,posting_date,predicted_block_id,proposed_true_block_id,block_aulas,block_dates,block_topic,confidence,method,needs_review,evidence
archive-of-formal-proofs-355fb8,Archive of Formal Proofs,references,,,,,,,,,baixa,prediction,SIM,sem card/data -> predicao do funil
exerciciosformalizacaoalgoritmosrecursao3,ExerciciosFormalizacaoAlgoritmosRecursao3,listas,Especificações Indutivas e Recursivas,Exercícios - equações recursivas parte 3,2026-02-18,bloco-04,bloco-04,"3,4,5,6,7",5 dias · 11/03/2026 a 25/03/2026,conjuntos indutivos equacoes recursivas arvores,alta,card-manual,,card_block_map['Especificações Indutivas e Recursivas']=['bloco-04'] (source=manual)
formalizacaoalgoritmos-recursao2,FormalizacaoAlgoritmos_Recursao2,material-de-aula,Especificações Indutivas e Recursivas,Especificações recursivas - listas,2026-02-18,bloco-04,bloco-04,"3,4,5,6,7",5 dias · 11/03/2026 a 25/03/2026,conjuntos indutivos equacoes recursivas arvores,alta,card-manual,,card_block_map['Especificações Indutivas e Recursivas']=['bloco-04'] (source=manual)
exerciciosconjuntosindutivos,ExerciciosConjuntosIndutivos,listas,Especificações Indutivas e Recursivas,Exercícios - conjuntos indutivos,2026-02-18,bloco-04,bloco-04,"3,4,5,6,7",5 dias · 11/03/2026 a 25/03/2026,conjuntos indutivos equacoes recursivas arvores,alta,card-manual,,card_block_map['Especificações Indutivas e Recursivas']=['bloco-04'] (source=manual)
conjuntosindutivos,ConjuntosIndutivos,material-de-aula,Especificações Indutivas e Recursivas,Conjuntos Indutivos,2026-02-18,bloco-04,bloco-04,"3,4,5,6,7",5 dias · 11/03/2026 a 25/03/2026,conjuntos indutivos equacoes recursivas arvores,alta,card-manual,,card_block_map['Especificações Indutivas e Recursivas']=['bloco-04'] (source=manual)
logicapredicados-semantica,logicaPredicados_semantica,material-de-aula,Revisão - Lógica e Especificação,Lógica Predicados - semântica,2026-02-18,bloco-03,bloco-03,2,1 dia · 09/03/2026,logica predicados,baixa,card-multi,SIM,"card_block_map['Revisão - Lógica e Especificação']=['bloco-02', 'bloco-03'] (varios -> revisar)"
logicapredicados-sintaxe,logicaPredicados_sintaxe,material-de-aula,Revisão - Lógica e Especificação,Lógica Predicados - sintaxe,2026-02-18,bloco-03,bloco-03,2,1 dia · 09/03/2026,logica predicados,baixa,card-multi,SIM,"card_block_map['Revisão - Lógica e Especificação']=['bloco-02', 'bloco-03'] (varios -> revisar)"
logicaproposicional-sintaxe,logicaProposicional_sintaxe,material-de-aula,Revisão - Lógica e Especificação,Lógica Proposicional - sintaxe,2026-02-18,bloco-03,bloco-03,2,1 dia · 09/03/2026,logica predicados,baixa,card-multi,SIM,"card_block_map['Revisão - Lógica e Especificação']=['bloco-02', 'bloco-03'] (varios -> revisar)"
revisao,revisao,material-de-aula,Revisão - Lógica e Especificação,Conceitos essenciais,2026-02-18,bloco-02,bloco-02,1,1 dia · 04/03/2026,introducao metodos formais,baixa,card-multi,SIM,"card_block_map['Revisão - Lógica e Especificação']=['bloco-02', 'bloco-03'] (varios -> revisar)"
introducao,introducao,material-de-aula,Verificação de Programas,Introdução,2026-02-18,bloco-11,bloco-11,19,1 dia · 06/05/2026,logica programas correcao parcial total terminacao invariantes laco,baixa,card-multi,SIM,"card_block_map['Verificação de Programas']=['bloco-10', 'bloco-11', 'bloco-12', 'bloco-13', 'bloco-14', 'bloco-15'] (varios -> revisar)"
