curso,entry_id,gold,classe_diagnostico,classe_final,derrubado,expressao,fora_do_bundle,confianca,justificativa,motivo_refutador
IA,algoritmo-de-classificacao-k-nn,modelos-preditivos,B,B,0,Classificação com k-NN,0,alta,"k-NN é um algoritmo preditivo nomeado no título e em heading, mas nenhum token do bundle casa com ""Modelos Preditivos"" — o irmão vence por ""Aprendizado Supervisionado"", não por a evidência do gold já pontuar.","Passa as 4: 'Classificacao com k-NN' e heading literal; k-NN e algoritmo preditivo; gold pontua 0.000 hoje com ZERO token de overlap, entao nao e C; categoria material-de-aula. Medido: adquirir so 'k-NN' PERDE (11,9 x 15,7 do irmao, que faz 15,7 com o alias 'Aprendizado Supervisionado' colhido deste mesmo material); adquirindo a expressao alegada o gold vence (17,7). Sobrevive com margem curta."
IA,exemplo-com-k-nn,modelos-preditivos,B,B,0,Exemplo com k-NN,0,alta,"O bundle é só título/label/heading repetindo ""k-NN"", expressão de domínio concreta que pertence a Modelos Preditivos e que o motor não mapeia.","'Exemplo com k-NN' literal em titulo, label e 1o heading. Gold 0.000 hoje e nenhum concorrente pontua (irmao 0,11) — nao ha competicao, ha vazio. Medido: com 'k-NN' adquirido gold=10,7 e vence sozinho."
IA,exemplo-2-k-nn-com-iriscsv-mais-completo,modelos-preditivos,B,B,0,Exemplo 2 k-NN (com IRIS.csv) - mais completo,0,alta,"""k-NN"" aparece literal no título, label e primeiro heading; o resto é ""Célula N — Código"", então falta a relação k-NN→preditivo, não a expressão.","'Exemplo 2 k-NN (com IRIS.csv) - mais completo' literal em titulo/label/heading; resto e 'Celula N — Codigo'. Gold 0.000, irmao 0,11. Medido: com k-NN adquirido gold=10,7 e vence."
IA,exemplo-de-programa-com-k-nn-em-java,modelos-preditivos,B,C,1,Exemplo de programa com k-NN (em java),0,media,"""k-NN"" está no título e no label, mas o único heading é nome de arquivo (""Knn.java"", descartado pela regra 4), então a aquisição depende de um bundle magro — e é um dos 3 casos em que o produto também erra.","Derrubada na verificacao 3: o irmao JA pontua 5,11 e o que o faz pontuar e o alias LIXO 'java' colhido deste proprio material (tirando 'java' da lista do irmao ele cai para 0,11). Achei ainda que markdown_headings_text e VAZIO — 'Knn.java' so aparece no dossie porque o script anexa nome de arquivo extraido; o scorer nunca ve. Medido: com 'k-NN' adquirido o gold chega a 3,85 e continua perdendo de 5,11. Quem decide e ordenacao/poluicao do irmao, nao relacao ausente — aquisicao nao entrega este material."
IA,artigo-usando-k-nn-em-texto,modelos-preditivos,B,D,1,Artigo usando k-NN em texto,0,media,"A única evidência do gold é ""k-NN"" no título/label — os headings são boilerplate acadêmico (1. Introdução, Referências) — e a categoria é bibliografia, o que aproxima de D sem chegar lá porque o gold não é vazio e o termo existe.","Derrubada na verificacao 4: categoria do material e 'bibliografia' (artigo cientifico), headings sao boilerplate academico (1. Introducao, Referencias) e a unica evidencia e 'k-NN' no titulo/label. Sai do alvo por regra, mesmo tendo medido que a aquisicao viraria o caso (gold 6,4 e venceria)."
IA,k-nn-para-classificacao-exemplo-cardio,modelos-preditivos,B,B,0,K-NN para Classificação: Exemplo Cardio,0,alta,"Nome do algoritmo preditivo literal no label e no heading de abertura, sem nenhuma menção a ""modelo preditivo"" para o scorer pontuar.","'K-NN para Classificacao: Exemplo Cardio' e o label literal e o heading de abertura. Gold 0.000 hoje, zero overlap; irmao 0,11 (ninguem pontua). Medido: k-NN adquirido -> gold 10,7 e vence."
IA,k-nn-para-regressao-exemplo-imc,modelos-preditivos,B,B,0,K-NN para Regressão: exemplo IMC,0,alta,"""K-NN"" e ""Regressão"" são termos de modelagem preditiva presentes no bundle; a relação com o rótulo do gold é que está ausente.","'K-NN para Regressao: exemplo IMC' literal no label. k-NN e regressao sao modelagem preditiva. Gold 0.000, irmao 0,11. Medido: k-NN adquirido -> gold 10,7 e vence."
IA,introducao-a-redes-neurais,modelos-preditivos,B,B,0,Neurônio Artificial,0,alta,"""Neurônio Artificial"" e ""Função de transferência (ou ativação)"" são os componentes de uma rede neural, que é modelo preditivo — ligação de domínio direta, não esticada.","'Neuronio Artificial' e 'Funcao de transferencia (ou ativacao)' sao headings literais, e 'Introducao a redes neurais' esta no titulo e no heading — rede neural e modelo preditivo sem passo de esticamento. Gold 0.000 hoje (irmao 1,04). Medido: vocabulario de rede neural adquirido -> gold 27,1 e vence."
IA,rede-perceptron,modelos-preditivos,B,B,0,Rede Neural Perceptron,0,alta,"Caso canônico do enunciado: perceptron É um modelo preditivo e está literal no heading, mas o motor não conhece a relação.","'Rede Neural Perceptron' literal no 2o heading, mais 10 ocorrencias de 'Rede Perceptron - Topologia'. Gold 0.000 hoje contra irmao 1,17. Medido: 36,6 com o vocabulario adquirido — a maior margem do lote."
IA,rede-perceptron-classificacao-de-cliente,modelos-preditivos,B,B,0,Rede Perceptron - Classificacao de Cliente,0,alta,"Perceptron aplicado a classificação, literal no título/label; os headings restantes são ""Célula N — Código"".","'Rede Perceptron - Classificacao de Cliente' literal no titulo/label/heading. Hoje TODOS os topicos da unidade pontuam 0,00 — a decisao do cru veio da rota propagado-headings, nao do scorer. Medido: 26,1 e vence."
