entry_id,title,category,card,posting_date,text_chars,evidencia,pred_unit,unit_do_bloco_temporal,gold_units,gold_topics,scorable,notas
exercicios,Exercícios,listas,Gerência de Processos CPU,2026-03-10,18435,"Homework #4 --- · 2. SJF (nonpreemptive): · 3. SJF (preemptive, Shortest-next-CPU-burst): · 4. Nonpreemptive, Priority: · **Answer:**",unidade-06-gerencia-de-arquivos,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,unidade-02-gerencia-do-processador,,yes,"ruling-user 2026-08-19 (extraido): SJF, priority, round robin, CPU burst = escalonamento (u02)"
apresentacao-da-disciplina,Apresentação da Disciplina,material-de-aula,Informações Gerais,2026-03-10,7412,Sistemas Operacionais · Apresentação · Objetivos · Ementa · Programa · **UNIDADE 1: Introdução ao estudo de sistemas operacionais** · **UNIDADE 2: Gerência do Processador** · **UNIDADE 3: Programação concorrente** · UNIDADE 4: Deadlock · **UNIDADE 5: Gerência ,unidade-02-gerencia-do-processador,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,unidade-01-introducao-ao-estudo-de-sistemas-operacionais|unidade-02-gerencia-do-processador|unidade-03-programacao-concorrente|unidade-04-deadlock|unidade-05-gerencia-de-memoria|unidade-06-gerencia-de-arquivos|unidade-07-gerencia-de-entrada-e-saida,,yes,ruling-user 2026-08-19: meta-material cobre TODAS as unidades
lista-exercicios-p1-gabarito,Lista Exercícios P1 Gabarito,gabaritos,Informações Gerais,2026-05-05,11973,"1) Estados de processo · --- 2) Casos em que multithreading não melhora desempenho · 3) Ponte de pista única com semáforos · 4) Definições · 5) Chamadas de sistema, fork e exec · 6) Text, data, heap e stack · Resposta: · Alocação: · 7) Processo multithread · C",unidade-02-gerencia-do-processador,unidade-03-programacao-concorrente,unidade-01-introducao-ao-estudo-de-sistemas-operacionais|unidade-02-gerencia-do-processador|unidade-03-programacao-concorrente|unidade-04-deadlock,,yes,ruling-user 2026-08-19: Lista PX cobre as unidades da PROVA; P1 extraida do enunciado = u01|u02|u03|u04
plano-de-ensino,Plano de Ensino,cronograma,Informações Gerais,,13271,**EMENTA:** · PROCEDIMENTOS E RECURSOS: · PROCEDIMENTOS E RECURSOS · **6.2.2 Segmentação** **6.3 Estudo de casos** · **PROCEDIMENTOS E RECURSOS:** · **AValiação:** · **Onde:** · **BIBLIOGRAFIA:** · **• BÁSICA:** · - **COMPLEMENTAR** · - **SOFTWARE DE APOIO:**,,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,unidade-01-introducao-ao-estudo-de-sistemas-operacionais|unidade-02-gerencia-do-processador|unidade-03-programacao-concorrente|unidade-04-deadlock|unidade-05-gerencia-de-memoria|unidade-06-gerencia-de-arquivos|unidade-07-gerencia-de-entrada-e-saida,,yes,ruling-user 2026-08-19: meta-material cobre TODAS as unidades
questoes-do-enade-sobre-sisop,Questões do ENADE sobre SISOP,listas,Informações Gerais,2026-03-10,9303,**QUESTÃO 22** · **QUESTÃO 71** · Prova 2008 · QUESTÃO 19 · Prova 2011 · QUESTÃO 29 · QUESTÃO 20 · QUESTÃO 21,unidade-02-gerencia-do-processador,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,unidade-01-introducao-ao-estudo-de-sistemas-operacionais|unidade-02-gerencia-do-processador|unidade-03-programacao-concorrente|unidade-04-deadlock|unidade-05-gerencia-de-memoria|unidade-06-gerencia-de-arquivos|unidade-07-gerencia-de-entrada-e-saida,,yes,"ruling-user 2026-08-19: e exemplo de COMO as questoes de SO sao desenvolvidas — material meta sobre estilo de avaliacao, cobre TODAS as unidades (nao so as que cita)"
exemplo-criacao-de-processos-no-unix-linux-teste01,Exemplo Criação de Processos no Unix Linux - teste01,codigo-professor,Processo e Estruturas de Controle,2026-03-10,479,Exemplo Criação de Processos no Unix Linux - teste01,unidade-03-programacao-concorrente,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,,yes,"ruling-user 2026-08-19: resumo Gemini 'chamada de sistema fork()', 'processo pai e filho' = topico chamadas-de-sistema (u01)"
exemplo-criacao-de-processos-no-unix-linux-teste02,Exemplo Criação de Processos no Unix Linux - teste02,codigo-professor,Processo e Estruturas de Controle,2026-03-10,729,Exemplo Criação de Processos no Unix Linux - teste02,unidade-03-programacao-concorrente,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,,yes,"ruling-user 2026-08-19: resumo Gemini 'chamada de sistema fork()', 'processo pai e filho' = topico chamadas-de-sistema (u01)"
exemplo-criacao-de-processos-no-unix-linux-teste03,Exemplo Criação de Processos no Unix Linux - teste03,codigo-professor,Processo e Estruturas de Controle,2026-03-10,893,Exemplo Criação de Processos no Unix Linux - teste03,unidade-03-programacao-concorrente,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,,yes,"ruling-user 2026-08-19: resumo Gemini 'chamada de sistema fork()', 'processo pai e filho' = topico chamadas-de-sistema (u01)"
0704-laminas-comunicacao-e-sincronizacao,07.04 Lâminas Comunicação e Sincronização,material-de-aula,Sincronização e Comunicação de Processos,2026-03-10,7644,Comunicação e Sincronização · Programação Concorrente · Programação Concorrente (1) · Programação Concorrente (2) · Seção Crítica e a Condição de Corrida · Seção Crítica · Condição de Corrida (1) · Condição de Corrida (2) · Condição de Corrida (3) · Inibição d,unidade-03-programacao-concorrente,unidade-04-deadlock,unidade-03-programacao-concorrente,,yes,plano-de-ensino (2026-08-18): topico 4.2 Comunicacao e sincronizacao na u03
0904-laminas-semaforos,09.04 Lâminas Semáforos,outros,Sincronização e Comunicação de Processos,2026-03-10,4626,SemáforosComunicação e Sincronização · Definição (1) · Definição (2) · Definição (3) · Uso de Semáforos (1) · Uso de Semáforos (2) · Deficiência dos Semáforos (1) · Deficiência dos Semáforos (2),unidade-03-programacao-concorrente,unidade-04-deadlock,unidade-03-programacao-concorrente,,yes,plano-de-ensino (2026-08-18): topico 4.2 Comunicacao e sincronizacao na u03
