id,title,category,source_section,moodle_label,posting_date,predicted_block_id,proposed_true_block_id,block_aulas,block_dates,block_topic,confidence,method,needs_review,evidence
aula-17-np-completude,Aula 17 - NP-Completude,material-de-aula,Semana 12 - NP-completude,,,bloco-22,bloco-22,"26,27",2 dias · 03/06/2026 a 05/06/2026,complexidade tempo classe hard reducao problemas pspace complete,baixa,card-multi,SIM,"card_block_map['Semana 12 - NP-completude']=['bloco-21', 'bloco-22'] (varios -> revisar)"
enunciado-t2,Enunciado T2,trabalhos,Semana 13 - Trabalho T2,,,bloco-23,bloco-23,28,1 dia · 10/06/2026,trabalho,alta,card-manual,,card_block_map['Semana 13 - Trabalho T2']=['bloco-23'] (source=manual)
aula-16-exemplo-de-prova-para-revisao,Aula 16 - Exemplo de Prova para Revisão,material-de-aula,Semana 10 - Revisão para P1 e Prova P1,,,bloco-16,bloco-16,18,1 dia · 06/05/2026,para,alta,card-manual,,card_block_map['Semana 10 - Revisão para P1 e Prova P1']=['bloco-16'] (source=manual)
aula-15-teoremas-de-incompletude-de-godel,Aula 15 - Teoremas de Incompletude de Gödel,material-de-aula,Semana 9 - Teoremas de Gödel,,,bloco-14,bloco-14,16,1 dia · 29/04/2026,teoremas godel,baixa,prediction,SIM,sem card/data -> predicao do funil
aula-14-problema-da-correspondencia-de-post,Aula 14 - Problema da Correspondência de Post,material-de-aula,Semana 8 - Teorema de Rice e Problema da Correspondência de Post,Aula 14 - Problema da Correspondência de Post,2026-04-24,bloco-13,bloco-13,15,1 dia · 24/04/2026,problema correspondencia post,baixa,prediction,SIM,sem card/data -> predicao do funil
aula-13-teorema-de-rice,Aula 13 - Teorema de Rice,material-de-aula,Semana 8 - Teorema de Rice e Problema da Correspondência de Post,,,bloco-13,bloco-13,15,1 dia · 24/04/2026,problema correspondencia post,baixa,prediction,SIM,sem card/data -> predicao do funil
aula-12-entscheidungsproblem,Aula 12 - Entscheidungsproblem,material-de-aula,Semana 7- Halteproblem und Entscheidungsproblem,,,bloco-10,bloco-10,12,1 dia · 15/04/2026,halting problem,baixa,card-multi,SIM,"card_block_map['Semana 7- Halteproblem und Entscheidungsproblem']=['bloco-10', 'bloco-11'] (varios -> revisar)"
aula-11-o-problema-da-parada-halting-problem-halteproblem,"Aula 11 - O Problema da Parada (Halting Problem, Halteproblem)",material-de-aula,Semana 7- Halteproblem und Entscheidungsproblem,,,bloco-10,bloco-10,12,1 dia · 15/04/2026,halting problem,baixa,card-multi,SIM,"card_block_map['Semana 7- Halteproblem und Entscheidungsproblem']=['bloco-10', 'bloco-11'] (varios -> revisar)"
aula-10-linguagens-reconhecıveis-e-linguagens-decidıveis,Aula 10 - Linguagens Reconhecı́veis e Linguagens Decidı́veis,material-de-aula,Semana 6 - Variações de Máquinas de Turing e Linguagens Decidíveis,,,bloco-09,bloco-09,11,1 dia · 10/04/2026,linguagens reconheciveis decidiveis maquinas turing universais,baixa,prediction,SIM,sem card/data -> predicao do funil
aula-09-variacoes-de-maquinas-de-turing,Aula 09 - Variações de Máquinas de Turing,material-de-aula,Semana 6 - Variações de Máquinas de Turing e Linguagens Decidíveis,,,bloco-09,bloco-09,11,1 dia · 10/04/2026,linguagens reconheciveis decidiveis maquinas turing universais,baixa,prediction,SIM,sem card/data -> predicao do funil
aula-08-maquinas-de-turing-como-processadores-de-funcoes,Aula 08 Maquinas de Turing como Processadores de Funções,material-de-aula,Semana 5 - Codificação de Máquinas de Turing e Equivalência Entre Modelos,,,bloco-09,bloco-09,11,1 dia · 10/04/2026,linguagens reconheciveis decidiveis maquinas turing universais,baixa,prediction,SIM,sem card/data -> predicao do funil
aula07-maquinas-de-turing-e-linguagens-recursivamente-enumeraveis,Aula07 Máquinas de Turing e Linguagens Recursivamente Enumeráveis,material-de-aula,Semana 4 - Teoria de Autômatos e Introdução a Máquinas de Turing,,,bloco-09,bloco-09,11,1 dia · 10/04/2026,linguagens reconheciveis decidiveis maquinas turing universais,baixa,prediction,SIM,sem card/data -> predicao do funil
aula-06-revisao-alfabeto-cadeia-linguagem-hierarquia-de-chomsky-lemas-e-propriedades-de-automatos,"Aula 06 - Revisão Alfabeto, Cadeia, Linguagem, Hierarquia de Chomsky, Lemas e Propriedades de Autômatos",material-de-aula,Semana 4 - Teoria de Autômatos e Introdução a Máquinas de Turing,,,bloco-09,bloco-09,11,1 dia · 10/04/2026,linguagens reconheciveis decidiveis maquinas turing universais,baixa,prediction,SIM,sem card/data -> predicao do funil
revisao-alfabeto-cadeia-linguagem-hierarquia-de-chomsky-lemas-e-propriedades-de-automatos,"Revisão Alfabeto, Cadeia, Linguagem, Hierarquia de Chomsky, Lemas e Propriedades de Autômatos",material-de-aula,,,,bloco-05,bloco-05,6,1 dia · 25/03/2026,alfabeto cadeia linguagem hierarquia chomsky lemas propriedades automatos,baixa,prediction,SIM,sem card/data -> predicao do funil
enunciado-t1,Enunciado T1,trabalhos,Semana 3 - Operações de Minimização e Trabalho T1,,,bloco-03,bloco-03,"2,3,4",3 dias · 11/03/2026 a 18/03/2026,funcoes recursivas primitivas composicao parciais computaveis minimizacao,baixa,card-multi,SIM,"card_block_map['Semana 3 - Operações de Minimização e Trabalho T1']=['bloco-03', 'bloco-04'] (varios -> revisar)"
