curso,regime,entry_id,fora_do_escopo,confiante,aceito,primario,vazio,rota,passada,pred,win_slug,s1,s2,margem,razao,share_score,n_pos,n_cand,frase,exact_hits,max_tok_frase,tok_frase_doador,origem,doador,peso_doador,n_topic_tokens,n_overlap,cobertura,n_alias,pred_frase,pred_exact_hits,pred_max_tok_frase,pred_tok_frase_doador,pred_origem,pred_doador,pred_peso_doador,pred_n_topic_tokens,pred_n_overlap,pred_cobertura,pred_n_alias,pred_score,unidade,n_mat_unid,n_iguais,share_unid,reasons
MF,cru,archive-of-formal-proofs-355fb8,0,1,0,0,0,2a-propagado,2a,abordagens-para-verificacao-formal,abordagens-para-verificacao-formal,16.491999999999997,11.9424,4.549599999999998,0.72413291292748,0.578598946633884,6,8,1,6,15,15,alias,markdown_headings_text,4.4,17,11,0.6470588235294118,8,1,6,15,15,alias,markdown_headings_text,4.4,17,11,0.6470588235294118,8,16.491999999999997,unidade-01-metodos-formais,35,7,0.2,winner_score=16.49|propagado-headings
MF,cru,exerciciosformalizacaoalgoritmosrecursao3,0,1,1,1,0,1a,1a,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,9.086,1.2528000000000001,7.8332,0.13788245652652434,0.8640621185611757,4,8,1,3,8,8,alias,markdown_headings_text,4.4,15,7,0.4666666666666667,9,1,3,8,8,alias,markdown_headings_text,4.4,15,7,0.4666666666666667,9,9.086,unidade-01-metodos-formais,35,17,0.4857142857142857,winner_score=9.09
MF,cru,formalizacaoalgoritmos-recursao2,0,1,1,0,0,1a,1a,especificacao-de-conjuntos-indutivos,especificacao-de-conjuntos-indutivos,8.645999999999999,1.584,7.061999999999999,0.18320610687022904,0.8116609532344502,5,8,1,3,4,4,alias,markdown_headings_text,4.4,8,5,0.625,4,1,3,4,4,alias,markdown_headings_text,4.4,8,5,0.625,4,8.645999999999999,unidade-01-metodos-formais,35,4,0.11428571428571428,winner_score=8.65
MF,cru,exerciciosconjuntosindutivos,0,1,1,1,0,1a,1a,especificacao-de-conjuntos-indutivos,especificacao-de-conjuntos-indutivos,1.2528000000000001,0.15941376,1.09338624,0.12724597701149423,0.7884891460390655,4,8,0,0,0,0,,,0.0,8,4,0.5,4,0,0,0,0,,,0.0,8,4,0.5,4,1.2528000000000001,unidade-01-metodos-formais,35,4,0.11428571428571428,winner_score=1.25
MF,cru,conjuntosindutivos,0,1,1,1,0,2a-titulo,2a,especificacao-de-conjuntos-indutivos,exemplos-de-aplicacoes,7.056,1.584,5.4719999999999995,0.22448979591836735,0.6737417803502797,6,8,1,3,1,1,alias,markdown_headings_text,4.4,2,1,0.5,2,0,0,0,0,,,0.0,8,7,0.875,4,1.584,unidade-01-metodos-formais,35,4,0.11428571428571428,winner_score=7.06|titulo-nomeia-subtopico
MF,cru,logicapredicados-semantica,0,1,0,0,0,1a,1a,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,1.1952,0.12494592,1.07025408,0.10453975903614458,0.8823179235976459,4,8,0,0,0,0,,,0.0,15,4,0.26666666666666666,9,0,0,0,0,,,0.0,15,4,0.26666666666666666,9,1.1952,unidade-01-metodos-formais,35,17,0.4857142857142857,winner_score=1.20
MF,cru,logicapredicados-sintaxe,0,1,1,1,0,1a,1a,fundamentos-de-logica-de-primeira-ordem,fundamentos-de-logica-de-primeira-ordem,1.3536,1.0655999999999999,0.28800000000000003,0.7872340425531914,0.4013718377023085,4,8,0,0,0,0,,,0.0,2,2,1.0,2,0,0,0,0,,,0.0,2,2,1.0,2,1.3536,unidade-01-metodos-formais,35,1,0.02857142857142857,winner_score=1.35
MF,cru,logicaproposicional-sintaxe,0,1,0,0,0,1a,1a,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,0.12494592,0.01723392,0.107712,0.13793103448275862,0.7073170731707316,4,8,0,0,0,0,,,0.0,15,1,0.06666666666666667,9,0,0,0,0,,,0.0,15,1,0.06666666666666667,9,0.12494592,unidade-01-metodos-formais,35,17,0.4857142857142857,winner_score=0.12
MF,cru,revisao,0,1,0,0,0,1a,1a,especificacao-de-conjuntos-indutivos,especificacao-de-conjuntos-indutivos,8.286,1.3536,6.9323999999999995,0.16335988414192615,0.7546037714932573,5,8,1,3,3,3,alias,markdown_headings_text,4.4,8,3,0.375,4,1,3,3,3,alias,markdown_headings_text,4.4,8,3,0.375,4,8.286,unidade-01-metodos-formais,35,4,0.11428571428571428,winner_score=8.29
MF,cru,introducao,0,1,1,0,0,1a,1a,exemplos-de-aplicacoes,exemplos-de-aplicacoes,7.056,5.16,1.896,0.7312925170068028,0.3302289020947835,7,8,1,3,1,1,alias,markdown_headings_text,4.4,2,1,0.5,2,1,3,1,1,alias,markdown_headings_text,4.4,2,1,0.5,2,7.056,unidade-01-metodos-formais,35,2,0.05714285714285714,winner_score=7.06
MF,cru,provasindutivas-especificacoesrecursivas,0,1,1,1,0,1a,1a,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,9.006,1.3247999999999998,7.6812000000000005,0.1471019320453031,0.7819562872994711,5,8,1,3,6,6,alias,markdown_headings_text,4.4,15,7,0.4666666666666667,9,1,3,6,6,alias,markdown_headings_text,4.4,15,7,0.4666666666666667,9,9.006,unidade-01-metodos-formais,35,17,0.4857142857142857,winner_score=9.01
MF,cru,provasindutivas-especificacoesrecursivas-arvores,0,1,1,1,0,1a,1a,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,1.4544,1.0655999999999999,0.38880000000000003,0.7326732673267327,0.5463192148581518,4,8,0,0,0,0,,,0.0,16,6,0.375,11,0,0,0,0,,,0.0,16,6,0.375,11,1.4544,unidade-01-metodos-formais,35,17,0.4857142857142857,winner_score=1.45
MF,cru,provasindutivas-especificacoesrecursivas-listas,0,1,1,1,0,1a,1a,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,1.3247999999999998,1.0655999999999999,0.2591999999999999,0.8043478260869565,0.5231029557591361,4,8,0,0,0,0,,,0.0,16,5,0.3125,11,0,0,0,0,,,0.0,16,5,0.3125,11,1.3247999999999998,unidade-01-metodos-formais,35,17,0.4857142857142857,winner_score=1.32
MF,cru,exercicioscorrecaoinducaomatematica,0,1,1,1,0,1a,1a,especificacao-de-funcoes-recursivas,especificacao-de-funcoes-recursivas,8.905999999999999,0.15941376,8.74658624,0.017899591286772962,0.9786940524588802,4,8,1,3,7,7,alias,markdown_headings_text,4.4,15,6,0.4,9,1,3,7,7,alias,markdown_headings_text,4.4,15,6,0.4,9,8.905999999999999,unidade-01-metodos-formais,35,17,0.4857142857142857,winner_score=8.91
