subtopico,datas,guarda_chuva,letivo,fonte_data
Plano de Ensino / Visão Geral da IA,"02/03, 04/03",introdução,yes,Roteiro+SARC
Introdução à ML / Tipos de Dados,"09/03, 11/03",ML / dados,yes,Roteiro+SARC
Preparação de Dados / k-NN,"16/03, 18/03",dados / supervisionado,yes,Roteiro+SARC
k-NN (exercícios) / Redes Neurais (intro),"23/03, 25/03",supervisionado,yes,Roteiro+SARC
Perceptron / MLP,"30/03, 01/04",supervisionado,yes,Roteiro+SARC
MLP (exercícios) / Métricas,"06/04, 08/04",supervisionado,yes,Roteiro+SARC
Regressão / Árvores de Decisão,"13/04, 15/04",supervisionado,yes,Roteiro+SARC (13/04: SARC)
k-Means,"20/04 (feriado), 22/04",não-supervisionado,yes,SARC
Agrupamento Hierárquico / Dúvidas T1,"27/04, 29/04",não-supervisionado,yes,Roteiro+SARC
Apresentação T1,"04/05, 06/05",trabalho,yes,SARC
Exercícios Gerais / Prova 1 (P1),"11/05, 13/05",avaliação,yes,Roteiro+SARC
Busca Informada / Algoritmos Genéticos (AG),"18/05, 20/05",busca,yes,Card S12 + mat
Algoritmos Genéticos (AG),"25/05, 27/05 (ES Day)",busca,yes,Card S13 + mat
Hill Climbing-SA / Dijkstra,"01/06, 03/06",busca,yes,Roteiro (01/06) + Card S14
Minimax / Correção P1 / Dúvidas T2,"08/06, 10/06",busca,yes,Card S15 + mat
Busca (exercícios) / Introdução a Agentes,"15/06, 17/06",busca / agentes,yes,Roteiro+SARC
Introdução a Agentes,"22/06, 24/06 (feriado)",agentes,yes,SARC
Apresentação T2 / Prova P2,"29/06, 01/07",trabalho / avaliação,yes,SARC
Prova PS / Atendimento-Divulgação,"06/07, 08/07",avaliação,yes,SARC
Prova G2 / Aula final,"13/07, 15/07",avaliação,yes,SARC
