id,title,category,markdown_path,predicted_block_id,predicted_period,predicted_band,true_block_id
0206-laminas-gerencia-de-i-o-livro-texto,02.06 Lâminas Gerência de I O (Livro-texto),material-de-aula,content/curated/0206-laminas-gerencia-de-i-o-livro-texto.md,bloco-03,7 dias · 10/03/2026 a 31/03/2026,alta,bloco-03
0206-laminas-mecanismos-de-interrupcao,02.06 Lâminas Mecanismos de Interrupção,material-de-aula,content/curated/0206-laminas-mecanismos-de-interrupcao.md,bloco-03,7 dias · 10/03/2026 a 31/03/2026,alta,bloco-03
0205-laminas-segmentacao,02.05 Lâminas Segmentação,material-de-aula,content/curated/0205-laminas-segmentacao.md,bloco-09,6 dias · 12/05/2026 a 28/05/2026,alta,bloco-09
2105-laminas-paginacao,21.05 Lâminas Paginação,material-de-aula,content/curated/2105-laminas-paginacao.md,bloco-09,6 dias · 12/05/2026 a 28/05/2026,alta,bloco-09
1205-laminas-gerencia-de-memoria,12.05 Lâminas Gerência de Memória,material-de-aula,content/curated/1205-laminas-gerencia-de-memoria.md,bloco-09,6 dias · 12/05/2026 a 28/05/2026,alta,bloco-09
laminas-sockets,Lâminas Sockets,material-de-aula,content/curated/laminas-sockets.md,bloco-07,2 dias · 23/04/2026 a 28/04/2026,alta,bloco-07
sockets-kurose,sockets_kurose,material-de-aula,content/curated/sockets-kurose.md,bloco-03,7 dias · 10/03/2026 a 31/03/2026,alta,bloco-03
1404-laminas-ipc,14.04 Lâminas IPC,material-de-aula,content/curated/1404-laminas-ipc.md,bloco-07,2 dias · 23/04/2026 a 28/04/2026,alta,bloco-07
1404-troca-de-mensagens,14.04 Troca de Mensagens,material-de-aula,content/curated/1404-troca-de-mensagens.md,bloco-03,7 dias · 10/03/2026 a 31/03/2026,alta,bloco-03
0904-laminas-semaforos,09.04 Lâminas Semáforos,material-de-aula,content/curated/0904-laminas-semaforos.md,bloco-03,7 dias · 10/03/2026 a 31/03/2026,alta,bloco-03
0704-laminas-comunicacao-e-sincronizacao,07.04 Lâminas Comunicação e Sincronização,material-de-aula,content/curated/0704-laminas-comunicacao-e-sincronizacao.md,bloco-07,2 dias · 23/04/2026 a 28/04/2026,alta,bloco-07
c-threads,C threads,material-de-aula,content/curated/c-threads.md,bloco-03,7 dias · 10/03/2026 a 31/03/2026,alta,bloco-03
3103-threads,31.03 Threads,material-de-aula,content/curated/3103-threads.md,bloco-03,7 dias · 10/03/2026 a 31/03/2026,alta,bloco-03
exercicios-gerencia-de-processos-e-cpu,Exercicios-Gerência de Processos e CPU,listas,exercises/lists/exercicios-gerencia-de-processos-e-cpu.md,bloco-03,7 dias · 10/03/2026 a 31/03/2026,alta,bloco-03
2603-algoritmos-de-escalonamento,26.03 Algoritmos de Escalonamento,material-de-aula,content/curated/2603-algoritmos-de-escalonamento.md,bloco-03,7 dias · 10/03/2026 a 31/03/2026,alta,bloco-03
2403-escalonamento-de-processos,24.03 Escalonamento de Processos,material-de-aula,content/curated/2403-escalonamento-de-processos.md,bloco-03,7 dias · 10/03/2026 a 31/03/2026,alta,bloco-03
1903-estruturas-de-controle,19.03 Estruturas de Controle,material-de-aula,content/curated/1903-estruturas-de-controle.md,bloco-03,7 dias · 10/03/2026 a 31/03/2026,alta,bloco-03
1703-chamada-de-sistema,17.03 Chamada de Sistema,material-de-aula,content/curated/1703-chamada-de-sistema.md,bloco-03,7 dias · 10/03/2026 a 31/03/2026,alta,bloco-03
1203-processos,12.03 Processos,material-de-aula,content/curated/1203-processos.md,bloco-03,7 dias · 10/03/2026 a 31/03/2026,alta,bloco-03
aula02-introducao,aula02_introducao,material-de-aula,content/curated/aula02-introducao.md,bloco-03,7 dias · 10/03/2026 a 31/03/2026,alta,bloco-03
questoes-enade-sisop,Questões ENADE - SISOP,listas,exercises/lists/questoes-enade-sisop.md,bloco-03,7 dias · 10/03/2026 a 31/03/2026,alta,bloco-03
lista1-gab,lista1_gab,gabaritos,exercises/lists/lista1-gab.md,bloco-03,7 dias · 10/03/2026 a 31/03/2026,alta,bloco-03
lista1,lista1,listas,exercises/lists/lista1.md,bloco-03,7 dias · 10/03/2026 a 31/03/2026,alta,bloco-03
ch9br-short,ch9br_short,material-de-aula,content/curated/ch9br-short.md,bloco-09,6 dias · 12/05/2026 a 28/05/2026,alta,bloco-09
exemplo-criacao-de-processos-no-unixlinux-20260603,Exemplo Criação De Processos No Unixlinux 20260603,codigo-professor,None,bloco-03,7 dias · 10/03/2026 a 31/03/2026,alta,bloco-03
