card,n_files,candidate_block,block_aulas,block_dates,block_topic,confidence,true_block_id,evidence,file_ids
(sem card),1,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,baixa,bloco-03,sem source_section -> predicao do funil,0206-laminas-gerencia-de-i-o-livro-texto
(sem card),1,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,baixa,bloco-03,sem source_section -> predicao do funil,0206-laminas-mecanismos-de-interrupcao
(sem card),1,bloco-09,"20,21,22,23,24,25",6 dias · 12/05/2026 a 28/05/2026,gerencia memoria politicas basicas virtual paginacao segmentacao paginada,baixa,bloco-09,sem source_section -> predicao do funil,0205-laminas-segmentacao
(sem card),1,bloco-09,"20,21,22,23,24,25",6 dias · 12/05/2026 a 28/05/2026,gerencia memoria politicas basicas virtual paginacao segmentacao paginada,baixa,bloco-09,sem source_section -> predicao do funil,2105-laminas-paginacao
(sem card),1,bloco-09,"20,21,22,23,24,25",6 dias · 12/05/2026 a 28/05/2026,gerencia memoria politicas basicas virtual paginacao segmentacao paginada,baixa,bloco-09,sem source_section -> predicao do funil,1205-laminas-gerencia-de-memoria
(sem card),1,bloco-07,"15,16",2 dias · 23/04/2026 a 28/04/2026,comunicacao entre processos pipes filas,baixa,bloco-07,sem source_section -> predicao do funil,laminas-sockets
(sem card),1,bloco-07,"15,16",2 dias · 23/04/2026 a 28/04/2026,comunicacao entre processos pipes filas,baixa,bloco-07,sem source_section -> predicao do funil,1404-laminas-ipc
(sem card),1,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,baixa,bloco-03,sem source_section -> predicao do funil,1404-troca-de-mensagens
(sem card),1,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,baixa,bloco-03,sem source_section -> predicao do funil,0904-laminas-semaforos
(sem card),1,bloco-07,"15,16",2 dias · 23/04/2026 a 28/04/2026,comunicacao entre processos pipes filas,baixa,bloco-07,sem source_section -> predicao do funil,0704-laminas-comunicacao-e-sincronizacao
(sem card),1,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,baixa,bloco-03,sem source_section -> predicao do funil,3103-threads
(sem card),1,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,baixa,bloco-03,sem source_section -> predicao do funil,exercicios-gerencia-de-processos-e-cpu
