curso,entry_id,gold,extras,cru,produto,produto_acerta,na_fila,rota,unidade,unidade_certa,conf,categoria,tipo
MF,archive-of-formal-proofs-355fb8,provadores-de-teoremas,,abordagens-para-verificacao-formal,abordagens-para-verificacao-formal,0,0,propagado-headings,unidade-01-metodos-formais,1,0.276,references,url
MF,revisao,sistemas-formais,,especificacao-de-conjuntos-indutivos,sistemas-formais,1,0,1a-passada,unidade-01-metodos-formais,1,0.871,material-de-aula,pdf
MF,exerciciosespecificacao-respostas,linguagens-de-especificacao-e-logicas,,fundamentos-de-logica-de-primeira-ordem,linguagens-de-especificacao-e-logicas,1,1,propagado-headings,unidade-01-metodos-formais,1,0.122,gabaritos,pdf
MF,exerciciosespecificacao,linguagens-de-especificacao-e-logicas,,fundamentos-de-logica-de-primeira-ordem,linguagens-de-especificacao-e-logicas,1,1,propagado-headings,unidade-01-metodos-formais,1,0.122,listas,pdf
MF,arvores,provadores-de-teoremas,especificacao-de-funcoes-recursivas,abordagens-para-verificacao-formal,provadores-de-teoremas,1,0,1a-passada,unidade-01-metodos-formais,1,0.862,codigo-professor,code
MF,exemplos,provadores-de-teoremas,especificacao-de-funcoes-recursivas;especificacao-de-conjuntos-indutivos,exemplos-de-aplicacoes,exemplos-de-aplicacoes,0,0,1a-passada,unidade-01-metodos-formais,1,0.989,codigo-professor,code
MF,intro,provadores-de-teoremas,especificacao-de-conjuntos-indutivos;especificacao-de-funcoes-recursivas,fundamentos-de-logica-de-primeira-ordem,especificacao-de-conjuntos-indutivos,1,0,propagado-headings,unidade-01-metodos-formais,1,0.169,codigo-professor,code
MF,listas,provadores-de-teoremas,especificacao-de-funcoes-recursivas,abordagens-para-verificacao-formal,provadores-de-teoremas,1,0,1a-passada,unidade-01-metodos-formais,1,0.862,codigo-professor,code
MF,provas,provadores-de-teoremas,especificacao-de-funcoes-recursivas,abordagens-para-verificacao-formal,provadores-de-teoremas,1,0,1a-passada,unidade-01-metodos-formais,1,0.862,codigo-professor,code
MF,hoare,logica-de-hoare,softwares-de-suporte-a-verificacao-formal-de-programas;verificacao-de-programas,correcao-parcial-e-total,logica-de-hoare,1,0,1a-passada,unidade-02-verificacao-de-programas,1,0.964,codigo-professor,zip
MF,terminacao,correcao-parcial-e-total,invariante-e-variante-de-laco,,correcao-parcial-e-total,1,1,1a-passada,unidade-02-verificacao-de-programas,1,0.000,codigo-professor,zip
MF,tiposindutivos,softwares-de-suporte-a-verificacao-formal-de-programas,,verificacao-de-programas,verificacao-de-programas,0,0,1a-passada,unidade-02-verificacao-de-programas,1,0.862,codigo-professor,zip
SO,1903-estruturas-de-controle,conceitos-basicos,,escalonamento,conceitos-basicos,1,0,1a-passada,unidade-02-gerencia-do-processador,1,0.963,material-de-aula,pdf
SO,3103-threads,conceitos-basicos,,escalonamento,conceitos-basicos,1,1,1a-passada,unidade-02-gerencia-do-processador,0,0.963,material-de-aula,pdf
SO,exercicios,algoritmos-de-escalonamento,,,algoritmos-de-escalonamento,1,0,1a-passada,unidade-02-gerencia-do-processador,1,0.000,listas,pdf
SO,exemplo-threads-em-c-exemplo1,conceitos-basicos,,escalonamento,conceitos-basicos,1,1,propagado-headings,unidade-02-gerencia-do-processador,0,1.000,codigo-professor,code
