id,title,category,markdown_path,predicted_block_id,predicted_period,predicted_band,true_block_id
spring-640c68,sPRING,references,staging/markdown-auto/url_fetcher/spring-640c68.md,bloco-04,3 dias · 10/04/2026 a 24/04/2026,alta,bloco-04
spring-petclinic,GitHub - spring-projects/spring-petclinic: A sample Spring-based application · GitHub,codigo-aluno,None,bloco-04,3 dias · 10/04/2026 a 24/04/2026,alta,bloco-04
spring-framework-petclinic,"GitHub - spring-petclinic/spring-framework-petclinic: A Spring Framework application based on JSP, Spring MVC, Spring Data JPA, Hibernate and JDBC · GitHub",codigo-aluno,None,bloco-04,3 dias · 10/04/2026 a 24/04/2026,alta,bloco-04
spring-petclinic-rest,GitHub - spring-petclinic/spring-petclinic-rest: REST version of the Spring Petclinic sample application · GitHub,referencias,None,,,,
eshoponweb,"GitHub - dotnet-architecture/eShopOnWeb: Sample ASP.NET Core 8.0 reference application, now community supported: https://github.com/NimblePros/eShopOnWeb · GitHub",codigo-aluno,None,bloco-04,3 dias · 10/04/2026 a 24/04/2026,baixa,bloco-04
yelpcamp,"GitHub - JacobGrisham/YelpCamp: Monolithic model-view-controller full-stack web application built with Node.js, Express.js, MonogDB, Jest, EJS, and Bootstrap. Integration-tested with Jest. Server hosted on Heroku with CircleCI CI/CD, Database hosted on MongoDB Atlas, served over Cloudflare CDN with Google Domains as DNS provider. · GitHub",referencias,None,,,,
modular-monolith-nodejs,GitHub - mgce/modular-monolith-nodejs: A project presenting the implementation of the modular monolith architecture in Node.js. · GitHub,referencias,None,,,,
modular-monolith-nestjs,GitHub - jsantanders/modular-monolith-nestjs: A Modular Monolith application with Domain-Driven Design approach. Using NestJS as a backend framework. · GitHub,codigo-aluno,None,bloco-01,3 dias · 06/03/2026 a 20/03/2026,alta,bloco-01
sam-newman-3ebf05,Sam Newman,references,staging/markdown-auto/url_fetcher/sam-newman-3ebf05.md,bloco-07,2 dias · 22/05/2026 a 29/05/2026,alta,bloco-07
what-are-microservices-2c819d,What are microservices?,references,staging/markdown-auto/url_fetcher/what-are-microservices-2c819d.md,bloco-01,3 dias · 06/03/2026 a 20/03/2026,alta,bloco-01
patterns-for-api-design-4b69be,Patterns for API Design,references,staging/markdown-auto/url_fetcher/patterns-for-api-design-4b69be.md,bloco-01,3 dias · 06/03/2026 a 20/03/2026,alta,bloco-01
microservices-93899a,microservices,references,staging/markdown-auto/url_fetcher/microservices-93899a.md,bloco-01,3 dias · 06/03/2026 a 20/03/2026,alta,bloco-01
guias-de-arquitetura-do-aplicativo-net-75b4b8,Guias de arquitetura do aplicativo .NET,references,staging/markdown-auto/url_fetcher/guias-de-arquitetura-do-aplicativo-net-75b4b8.md,bloco-01,3 dias · 06/03/2026 a 20/03/2026,alta,bloco-01
the-spring-petclinic-community-512e7f,The Spring PetClinic Community,references,staging/markdown-auto/url_fetcher/the-spring-petclinic-community-512e7f.md,bloco-04,3 dias · 10/04/2026 a 24/04/2026,alta,bloco-04
exemplos-e-praticas-recomendadas-de-arquitetura-de-referencia-c164ea,Exemplos e práticas recomendadas de arquitetura de referência,references,staging/markdown-auto/url_fetcher/exemplos-e-praticas-recomendadas-de-arquitetura-de-referencia-c164ea.md,bloco-01,3 dias · 06/03/2026 a 20/03/2026,alta,bloco-01
spring-security-e618bc,Spring Security,references,staging/markdown-auto/url_fetcher/spring-security-e618bc.md,bloco-04,3 dias · 10/04/2026 a 24/04/2026,alta,bloco-04
overview-spring-security-docs-700-api-f91854,Overview (spring-security-docs 7.0.0 API),references,staging/markdown-auto/url_fetcher/overview-spring-security-docs-700-api-f91854.md,bloco-04,3 dias · 10/04/2026 a 24/04/2026,alta,bloco-04
spring-security-samples,GitHub - spring-projects/spring-security-samples · GitHub,referencias,None,,,,
rabbitmq-one-broker-to-queue-them-all-rabbitmq-5b4eaa,RabbitMQ: One broker to queue them all | RabbitMQ,references,staging/markdown-auto/url_fetcher/rabbitmq-one-broker-to-queue-them-all-rabbitmq-5b4eaa.md,bloco-01,3 dias · 06/03/2026 a 20/03/2026,alta,bloco-01
spring-amqp-a70a79,Spring AMQP,references,staging/markdown-auto/url_fetcher/spring-amqp-a70a79.md,bloco-04,3 dias · 10/04/2026 a 24/04/2026,alta,bloco-04
resilience4j-b04e80,resilience4j,references,staging/markdown-auto/url_fetcher/resilience4j-b04e80.md,bloco-06,1 dia · 15/05/2026,alta,bloco-06
spring-cloud-circuit-breaker-f78df2,Spring Cloud Circuit Breaker,references,staging/markdown-auto/url_fetcher/spring-cloud-circuit-breaker-f78df2.md,bloco-06,1 dia · 15/05/2026,alta,bloco-06
spring-cloud-gateway-49e0da,Spring Cloud Gateway,references,staging/markdown-auto/url_fetcher/spring-cloud-gateway-49e0da.md,bloco-04,3 dias · 10/04/2026 a 24/04/2026,alta,bloco-04
spring-cloud-loadbalancer-spring-cloud-commons-f8bf2b,Spring Cloud LoadBalancer :: Spring Cloud Commons,references,staging/markdown-auto/url_fetcher/spring-cloud-loadbalancer-spring-cloud-commons-f8bf2b.md,bloco-04,3 dias · 10/04/2026 a 24/04/2026,alta,bloco-04
eureka,GitHub - Netflix/eureka: AWS Service registry for resilient mid-tier load balancing and failover. · GitHub,referencias,None,,,,
spring-cloud-netflix-0e99c3,Spring Cloud Netflix,references,staging/markdown-auto/url_fetcher/spring-cloud-netflix-0e99c3.md,bloco-04,3 dias · 10/04/2026 a 24/04/2026,alta,bloco-04
spring-cloud-openfeign-79c19e,Spring Cloud OpenFeign,references,staging/markdown-auto/url_fetcher/spring-cloud-openfeign-79c19e.md,bloco-04,3 dias · 10/04/2026 a 24/04/2026,alta,bloco-04
spring-cloud-188005,Spring Cloud,references,staging/markdown-auto/url_fetcher/spring-cloud-188005.md,bloco-04,3 dias · 10/04/2026 a 24/04/2026,alta,bloco-04
spring-boot-612cac,Spring Boot,references,staging/markdown-auto/url_fetcher/spring-boot-612cac.md,bloco-04,3 dias · 10/04/2026 a 24/04/2026,alta,bloco-04
