id,title,category,source_section,moodle_label,posting_date,predicted_block_id,proposed_true_block_id,block_aulas,block_dates,block_topic,confidence,method,needs_review,evidence
o-que-é-inteligência-artificial-ia-oracle-brasil-43437f,O que é Inteligência Artificial (IA)? | Oracle Brasil,references,,,,bloco-04,bloco-04,"3,4",2 dias · 11/03/2026 a 16/03/2026,tipos dados preparacao,baixa,prediction,SIM,sem card/data -> predicao do funil
ia-responsável-7c4626,IA Responsável,references,,,,bloco-01,bloco-01,0,1 dia · 02/03/2026,plano ensino programatico cronograma forma datas avaliacao bibliografia historico,baixa,prediction,SIM,sem card/data -> predicao do funil
aprendizadonaosupervisionado-agrupamento-parte1,AprendizadoNaoSupervisionado-Agrupamento - parte1,material-de-aula,Semana 8 - 20 04 a 24 4 - ML - Aprendizado Não Supervisionado,Aula sobre Agrupamento  - parte 1 (particional),2026-04-22,bloco-05,bloco-05,"5,6,7,8,9,10,11,12,13",9 dias · 18/03/2026 a 15/04/2026,abordagem supervisionada rede neural introducao perceptron analise resultados arvores decisao means,baixa,prediction,SIM,sem card/data -> predicao do funil
aprendizadonaosupervisionado-agrupamento-parte2,AprendizadoNaoSupervisionado-Agrupamento - parte2,material-de-aula,Semana 9 - 27 04 a 01 05 - ML - Aprendizado Não Supervisionado,Aula sobre Agrupamento - parte 2 (hierarquico),2026-02-24,bloco-06,bloco-06,"14,15,16",3 dias · 20/04/2026 a 27/04/2026,suspensao abordagem supervisionada means hierarquico analise resultados,baixa,prediction,SIM,sem card/data -> predicao do funil
aprendizadosupervisionado-arvoresdedecisao-duncan,AprendizadoSupervisionado-ArvoresDeDecisao-Duncan,material-de-aula,,,,bloco-04,bloco-04,"3,4",2 dias · 11/03/2026 a 16/03/2026,tipos dados preparacao,baixa,prediction,SIM,sem card/data -> predicao do funil
mlp-novaversao,mlp_novaVersao,material-de-aula,Semana 5 -30 03 a 01 04 ML - Aprendizado Supervisionado,MLP,2026-02-24,bloco-05,bloco-05,"5,6,7,8,9,10,11,12,13",9 dias · 18/03/2026 a 15/04/2026,abordagem supervisionada rede neural introducao perceptron analise resultados arvores decisao means,baixa,prediction,SIM,sem card/data -> predicao do funil
redesperceptron2023-02,RedesPerceptron2023_02,material-de-aula,Semana 4 - 23 03 a 27 03 - Machine Learning Aprendizado Supervisionado,Rede Perceptron,2026-02-24,bloco-05,bloco-05,"5,6,7,8,9,10,11,12,13",9 dias · 18/03/2026 a 15/04/2026,abordagem supervisionada rede neural introducao perceptron analise resultados arvores decisao means,baixa,prediction,SIM,sem card/data -> predicao do funil
aula01-introducao-ia,aula01_Introducao_IA,material-de-aula,Semana 1 - 02 03 a 06 03 - Plano de Ensino e Introdução a IA,Visão Geral - Introdução e Histórico,2026-02-24,bloco-04,bloco-04,"3,4",2 dias · 11/03/2026 a 16/03/2026,tipos dados preparacao,baixa,prediction,SIM,sem card/data -> predicao do funil
p1-2024-02-ia,P1_2024_02_IA,provas,TDE Trabalho Discente Efetivo,Prova 1 2024/02,2026-02-24,bloco-08,bloco-08,"18,19,20",3 dias · 04/05/2026 a 11/05/2026,trabalho gerais,baixa,prediction,SIM,sem card/data -> predicao do funil
como-analisar-resultados-sse-comcorrecoes,Como Analisar Resultados - SSE_comCorrecoes,material-de-aula,Semana 6 - 06 04 a 10 04 - ML - Aprendizado Supervisionado,"Como analisar resultados: Acc, Pr, Re e F1",2026-04-08,bloco-04,bloco-04,"3,4",2 dias · 11/03/2026 a 16/03/2026,tipos dados preparacao,baixa,prediction,SIM,sem card/data -> predicao do funil
inteligencia-artificial-aula-29-aprendizagem-de-maquina-medidas-de-avaliacao,Inteligencia Artificial Aula 29 - Aprendizagem de Maquina Medidas de avaliação,material-de-aula,,,,bloco-04,bloco-04,"3,4",2 dias · 11/03/2026 a 16/03/2026,tipos dados preparacao,baixa,prediction,SIM,sem card/data -> predicao do funil
perceptron-equacaodereta,Perceptron-equaçãodeReta,material-de-aula,Semana 5 -30 03 a 01 04 ML - Aprendizado Supervisionado,Rede Perceptron e Equação de Reta,2026-02-24,bloco-05,bloco-05,"5,6,7,8,9,10,11,12,13",9 dias · 18/03/2026 a 15/04/2026,abordagem supervisionada rede neural introducao perceptron analise resultados arvores decisao means,baixa,prediction,SIM,sem card/data -> predicao do funil
introducaoredesneurais-2023-02,IntroducaoRedesNeurais_2023_02,material-de-aula,Semana 4 - 23 03 a 27 03 - Machine Learning Aprendizado Supervisionado,Introducao a redes neurais,2026-02-24,bloco-05,bloco-05,"5,6,7,8,9,10,11,12,13",9 dias · 18/03/2026 a 15/04/2026,abordagem supervisionada rede neural introducao perceptron analise resultados arvores decisao means,baixa,prediction,SIM,sem card/data -> predicao do funil
aprendizadosupervisionado-classificacao-knn,AprendizadoSupervisionado-Classificacao - kNN,material-de-aula,Semana 3 - 16 03 a 20 03 - Machine Learning e Dados,Algoritmo de Classificação k-NN,2026-02-24,bloco-04,bloco-04,"3,4",2 dias · 11/03/2026 a 16/03/2026,tipos dados preparacao,baixa,prediction,SIM,sem card/data -> predicao do funil
caracteristicasdosdados,CaracteristicasDosDados,material-de-aula,Semana 2 - 09 03 a 13 03 - Introdução a IA (continuação) e Introdução a ML,Características dos Dados,2026-02-24,bloco-04,bloco-04,"3,4",2 dias · 11/03/2026 a 16/03/2026,tipos dados preparacao,baixa,prediction,SIM,sem card/data -> predicao do funil
introducaoml-atualizacao2025,IntroducaoML - atualização2025,material-de-aula,Semana 2 - 09 03 a 13 03 - Introdução a IA (continuação) e Introdução a ML,Introdução a ML,2026-02-24,bloco-04,bloco-04,"3,4",2 dias · 11/03/2026 a 16/03/2026,tipos dados preparacao,baixa,prediction,SIM,sem card/data -> predicao do funil
