id,inferred_title,concepts,card,funil_band,funil_block,funil_period,gemini_primary,gemini_period,resolver_block,resolver_period,resolver_unit,true_block_id
t1-2026-1-thy,Definições de Funções Recursivas Primitivas e Propriedades em Isabelle/HOL,recursão primitiva; tipos indutivos; números naturais; listas; definição formal; lemas; teoremas,True,baixa,bloco-05,2 dias · 30/03/2026 a 01/04/2026,bloco-04,5 dias · 11/03/2026 a 25/03/2026,bloco-04,5 dias · 11/03/2026 a 25/03/2026,unidade-01-metodos-formais,
arvores,Definição de Árvores Binárias e Prova por Indução em Isabelle/HOL,árvore binária; tipo de dado indutivo; recursão; função espelho; indução estrutural; prova de teorema; Isabelle/HOL,True,media,bloco-06,3 dias · 06/04/2026 a 13/04/2026,bloco-05,2 dias · 30/03/2026 a 01/04/2026,bloco-05,2 dias · 30/03/2026 a 01/04/2026,unidade-01-metodos-formais,
exemplos,"Exemplos de Definição de Tipos Indutivos, Predicados e Funções Recursivas em Isabelle",tipos indutivos; predicados indutivos; funções recursivas; definição por recursão primitiva; regras de simplificação; regras de indução; Isabelle/HOL,True,alta,bloco-06,3 dias · 06/04/2026 a 13/04/2026,bloco-04,5 dias · 11/03/2026 a 25/03/2026,bloco-04,5 dias · 11/03/2026 a 25/03/2026,unidade-01-metodos-formais,
intro,"Definição de Tipos Indutivos, Funções Recursivas e Provas por Indução em Isabelle",Tipo Indutivo; Recursão Primitiva; Prova por Indução; Datatype; Teorema; Isabelle/HOL; Regra de Indução,True,baixa,bloco-06,3 dias · 06/04/2026 a 13/04/2026,bloco-04,5 dias · 11/03/2026 a 25/03/2026,bloco-05,2 dias · 30/03/2026 a 01/04/2026,unidade-01-metodos-formais,
listas,Definição Recursiva de Concatenação de Listas e Prova de Associatividade em Isabelle,lista; função recursiva; concatenação de listas; indução estrutural; associatividade; prova interativa; Isabelle/HOL,True,alta,bloco-06,3 dias · 06/04/2026 a 13/04/2026,bloco-05,2 dias · 30/03/2026 a 01/04/2026,bloco-05,2 dias · 30/03/2026 a 01/04/2026,unidade-01-metodos-formais,
provas,Demonstração de propriedades indutivas e funções em Isabelle/HOL,Isabelle/HOL; Prova por indução; Definições recursivas; Tipos de dados indutivos; Sintaxe de prova Isar; Associatividade de funções,True,media,bloco-05,2 dias · 30/03/2026 a 01/04/2026,bloco-06,3 dias · 06/04/2026 a 13/04/2026,bloco-04,5 dias · 11/03/2026 a 25/03/2026,unidade-01-metodos-formais,
classes-parte1,Definição básica de classe e métodos em Dafny,"Classes; Objetos; Campos; Métodos; Contratos de método (modifies, ensures); old(valor); Asserções; Heap",False,media,bloco-16,5 dias · 15/06/2026 a 29/06/2026,bloco-15,4 dias · 01/06/2026 a 10/06/2026,bloco-15,4 dias · 01/06/2026 a 10/06/2026,unidade-02-verificacao-de-programas,
colecoes-arrays,Definição de Tipos Indutivos Simples (Datatype) em Dafny,datatype; tipos indutivos; predicados; imutabilidade; construtores de tipo,False,alta,bloco-13,4 dias · 13/05/2026 a 25/05/2026,bloco-04,5 dias · 11/03/2026 a 25/03/2026,bloco-13,4 dias · 13/05/2026 a 25/05/2026,unidade-02-verificacao-de-programas,
colecoes-conjuntos,Definição e Uso de Tipos Indutivos Simples (Datatype) em Dafny,datatype; tipo indutivo; construtores; predicados; verificação de tipo,False,alta,bloco-13,4 dias · 13/05/2026 a 25/05/2026,bloco-04,5 dias · 11/03/2026 a 25/03/2026,bloco-13,4 dias · 13/05/2026 a 25/05/2026,unidade-02-verificacao-de-programas,
colecoes-sequences,Definição de Tipos Indutivos Simples (Datatype) em Dafny,datatype; tipo indutivo; verificação de propriedades; predicado; imutabilidade,False,alta,bloco-13,4 dias · 13/05/2026 a 25/05/2026,bloco-04,5 dias · 11/03/2026 a 25/03/2026,bloco-13,4 dias · 13/05/2026 a 25/05/2026,unidade-02-verificacao-de-programas,
