curso,arquivo,topico,termo,classe,fonte_declarada,nota
MF,llm,1.1 Sistemas Formais,LINGUAGENS FORMAIS,llm-compilado,,
MF,llm,1.1 Sistemas Formais,Alfabeto e palavra,llm-compilado,,
MF,llm,1.1 Sistemas Formais,Linguagem sobre um alfabeto,llm-compilado,,
MF,llm,1.1 Sistemas Formais,Linguagens artificiais,llm-compilado,,
MF,llm,1.1 Sistemas Formais,Hierarquia de Chomsky,llm-compilado,,
MF,llm,1.2 Linguagens de Especificação e Lógicas,Linguagem de Especificação Formal,llm-compilado,,
MF,llm,1.2 Linguagens de Especificação e Lógicas,Especificação Formal,llm-compilado,,
MF,llm,1.2 Linguagens de Especificação e Lógicas,asserções lógicas,llm-compilado,,
MF,llm,1.2 Linguagens de Especificação e Lógicas,LÓGICA PROPOSICIONAL,llm-compilado,,
MF,llm,1.2 Linguagens de Especificação e Lógicas,Proposição,llm-compilado,,
MF,llm,1.2 Linguagens de Especificação e Lógicas,Composição de Proposições,llm-compilado,,
MF,llm,1.2 Linguagens de Especificação e Lógicas,Fórmulas bem-formadas,llm-compilado,,
MF,llm,1.2 Linguagens de Especificação e Lógicas,Fórmulas mal-formadas,llm-compilado,,
MF,llm,1.2 Linguagens de Especificação e Lógicas,Semântica dos Operadores,llm-compilado,,
MF,llm,1.2 Linguagens de Especificação e Lógicas,Consequência Lógica,llm-compilado,,
MF,llm,1.2 Linguagens de Especificação e Lógicas,Teoremas,llm-compilado,,
MF,llm,1.2 Linguagens de Especificação e Lógicas,Equivalências,llm-compilado,,
MF,llm,1.2.1 Fundamentos de Lógica de Primeira Ordem,LÓGICA DE PREDICADOS,llm-compilado,,
MF,llm,1.2.1 Fundamentos de Lógica de Primeira Ordem,Quantificadores,llm-compilado,,
MF,llm,1.2.1 Fundamentos de Lógica de Primeira Ordem,Assinatura,llm-compilado,,
MF,llm,1.2.1 Fundamentos de Lógica de Primeira Ordem,Fórmulas atômicas,llm-compilado,,
MF,llm,1.2.1 Fundamentos de Lógica de Primeira Ordem,Avaliação de Termos,llm-compilado,,
MF,llm,1.2.2 Especificação de Conjuntos Indutivos,Conjuntos Indutivos,llm-compilado,,
MF,llm,1.2.2 Especificação de Conjuntos Indutivos,Definição por indução,llm-compilado,,
MF,llm,1.2.2 Especificação de Conjuntos Indutivos,Axioma,llm-compilado,,
MF,llm,1.2.2 Especificação de Conjuntos Indutivos,Regra,llm-compilado,,
MF,llm,1.2.2 Especificação de Conjuntos Indutivos,Árvores de prova,llm-compilado,,
MF,llm,1.2.2 Especificação de Conjuntos Indutivos,Relação de pertinência,llm-compilado,,
MF,llm,1.2.2 Especificação de Conjuntos Indutivos,Relação de inclusão,llm-compilado,,
MF,llm,1.2.2 Especificação de Conjuntos Indutivos,Conjunto das partes,llm-compilado,,
MF,llm,1.2.3 Especificação de Funções Recursivas,Funções Recursivas sobre Listas,llm-compilado,,
MF,llm,1.2.3 Especificação de Funções Recursivas,Funções Recursivas sobre Árvores,llm-compilado,,
MF,llm,1.2.3 Especificação de Funções Recursivas,equações recursivas,llm-compilado,,
MF,llm,1.2.3 Especificação de Funções Recursivas,especificações equacionais,llm-compilado,,
MF,llm,1.2.3 Especificação de Funções Recursivas,Tipos de recursão,llm-compilado,,
MF,llm,1.2.3 Especificação de Funções Recursivas,Listas polimórficas,llm-compilado,,
MF,llm,1.2.3 Especificação de Funções Recursivas,Árvores polimórficas,llm-compilado,,
MF,llm,1.2.3 Especificação de Funções Recursivas,Princípio da indução matemática,llm-compilado,,
MF,llm,1.2.3 Especificação de Funções Recursivas,Indução Estrutural sobre Árvores,llm-compilado,,
MF,llm,1.2.3 Especificação de Funções Recursivas,Indução Estrutural sobre Listas,llm-compilado,,
MF,llm,1.3 Abordagens para Verificação Formal,Validação,llm-compilado,,
MF,llm,1.3 Abordagens para Verificação Formal,VERIFICAÇÃO FORMAL DE SISTEMAS,llm-compilado,,
MF,llm,1.3 Abordagens para Verificação Formal,Formal Verification,llm-compilado,,
MF,llm,1.3.3 Provadores de Teoremas,Isabelle,llm-compilado,,
MF,llm,1.3.3 Provadores de Teoremas,Isar,llm-compilado,,
MF,llm,1.4 Exemplos de Aplicações,Ariane 5,llm-compilado,,
MF,llm,1.4 Exemplos de Aplicações,Therac-25,llm-compilado,,
MF,llm,1.4 Exemplos de Aplicações,Pentium FDIV,llm-compilado,,
MF,llm,1.4 Exemplos de Aplicações,Eth2.0 spec,llm-compilado,,
MF,llm,1.4 Exemplos de Aplicações,AWS Encryption SDK,llm-compilado,,
MF,llm,1.4 Exemplos de Aplicações,Gödelian Ontological Argument,llm-compilado,,
MF,llm,2.1 Lógica de Hoare,Lógica de Floyd-Hoare,llm-compilado,,
MF,llm,2.1 Lógica de Hoare,Triplas de Hoare,llm-compilado,,
MF,llm,2.1 Lógica de Hoare,Cálculo de Floyd-Hoare,llm-compilado,,
MF,llm,2.1 Lógica de Hoare,Atribuição,llm-compilado,,
MF,llm,2.1 Lógica de Hoare,Composição,llm-compilado,,
MF,llm,2.1 Lógica de Hoare,Consequência,llm-compilado,,
MF,llm,2.1.1 Pré e Pós Condições,PreForte,llm-compilado,,
MF,llm,2.1.1 Pré e Pós Condições,PosFraco,llm-compilado,,
MF,llm,2.1.2 Correção Parcial e Total,Correção parcial,llm-compilado,,
MF,llm,2.1.2 Correção Parcial e Total,Correção total,llm-compilado,,
MF,llm,2.1.2 Correção Parcial e Total,Correção de Algoritmos,llm-compilado,,
MF,llm,2.1.2 Correção Parcial e Total,Terminação,llm-compilado,,
MF,llm,2.1.2 Correção Parcial e Total,Ordens bem-fundamentadas,llm-compilado,,
MF,llm,2.1.3 Invariante e Variante de Laço,Invariante de laço,llm-compilado,,
MF,llm,2.1.3 Invariante e Variante de Laço,Invariantes de laço,llm-compilado,,
MF,llm,2.1.3 Invariante e Variante de Laço,Princípio da invariante,llm-compilado,,
MF,llm,2.1.3 Invariante e Variante de Laço,Invariantes,llm-compilado,,
MF,llm,1.3.2 Verificação de Programas,Formalização de algoritmos,llm-compilado,,
MF,llm,3.2 Fundamentos de Lógicas Temporais,LogicaTemporal,llm-compilado,,
MF,llm,3.3 Especificação de Propriedades para Sistemas Sequenciais e Concorrentes,Sistemas Concorrentes,llm-compilado,,
MF,llm,3.3 Especificação de Propriedades para Sistemas Sequenciais e Concorrentes,Propriedades,llm-compilado,,
MF,llm,3.3 Especificação de Propriedades para Sistemas Sequenciais e Concorrentes,Justiça,llm-compilado,,
MF,llm,3.3 Especificação de Propriedades para Sistemas Sequenciais e Concorrentes,Sistemas,llm-compilado,,
MF,llm,3.4 Softwares de Suporte à Verificação Formal de Modelos,NuSMV,llm-compilado,,
MF,llm,3.4 Softwares de Suporte à Verificação Formal de Modelos,NuXMV,llm-compilado,,
MF,llm,3.4 Softwares de Suporte à Verificação Formal de Modelos,Fasten,llm-compilado,,
MF,llm,1.3.1 Verificação de Modelos (Model Checking),Verificação de modelos,llm-compilado,,
MF,llm,1.3.1 Verificação de Modelos (Model Checking),verificacaomodelos,llm-compilado,,
MF,llm,1.3.1 Verificação de Modelos (Model Checking),Modelo,llm-compilado,,
MF,llm,1.3.1 Verificação de Modelos (Model Checking),Modelos,llm-compilado,,
SO,manual/cru,6.2.1 Paginação,about,auto-professor,secao,
SO,manual/cru,6.2.1 Paginação,laminas,auto-professor,secao,
SO,manual/cru,6.2.1 Paginação,livro,auto-professor,secao,
SO,manual/cru,6.2.1 Paginação,logica,auto-professor,secao,
SO,manual/cru,6.2.1 Paginação,segmentos,auto-professor,secao,
SO,manual/cru,6.2.1 Paginação,versus,auto-professor,secao,
SO,manual/cru,1.1 Serviços dos sistemas operacionais,abstrata,auto-professor,secao,
SO,manual/cru,1.1 Serviços dos sistemas operacionais,fato,auto-professor,secao,
SO,manual/cru,7.1 Arquivos,laminas,auto-professor,secao,
SO,manual/cru,7.1 Arquivos,massa,auto-professor,secao,
SO,manual/cru,7.1 Arquivos,mecanico,auto-professor,secao,
SO,manual/cru,3.1 Conceitos básicos,Comunicação entre Processos,veto,,"veto 12/09 (user, orch-fix-defect): o compilador LLM de 11/09 doou estes 2 a 3.1 (u02) e o bloco-09 ('comunicacao entre processos pipes filas', 23/04) virou u03 -> u02, levando 4 materiais (2 confiantes); o plano tem 4.2 Comunicacao e sincronizacao de processos em u03. Medido: os dois fora -> u03; um so nao basta."
SO,manual/cru,3.1 Conceitos básicos,Pipes,veto,,"veto 12/09 (user, orch-fix-defect): o compilador LLM de 11/09 doou estes 2 a 3.1 (u02) e o bloco-09 ('comunicacao entre processos pipes filas', 23/04) virou u03 -> u02, levando 4 materiais (2 confiantes); o plano tem 4.2 Comunicacao e sincronizacao de processos em u03. Medido: os dois fora -> u03; um so nao basta."
SO,llm,1.1 Evolução histórica,Histórico,llm-compilado,,
SO,llm,1.1 Evolução histórica,Sistemas de Lotes,llm-compilado,,
SO,llm,1.1 Evolução histórica,Sistemas de Tempo Compartilhado,llm-compilado,,
SO,llm,1.1 Evolução histórica,Batch Multiprogramming,llm-compilado,,
SO,llm,1.1 Serviços dos sistemas operacionais,Process management,llm-compilado,,
SO,llm,1.1 Serviços dos sistemas operacionais,File management,llm-compilado,,
SO,llm,1.1 Serviços dos sistemas operacionais,Directory and file system management,llm-compilado,,
