curso,unit_slug,slug,code,kind,label
MF,unidade-01-metodos-formais,sistemas-formais,1.1,topic,Sistemas Formais
MF,unidade-01-metodos-formais,linguagens-de-especificacao-e-logicas,1.2,topic,Linguagens de Especificação e Lógicas
MF,unidade-01-metodos-formais,fundamentos-de-logica-de-primeira-ordem,1.2.1,subtopic,Fundamentos de Lógica de Primeira Ordem
MF,unidade-01-metodos-formais,especificacao-de-conjuntos-indutivos,1.2.2,subtopic,Especificação de Conjuntos Indutivos
MF,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas,1.2.3,subtopic,Especificação de Funções Recursivas
MF,unidade-01-metodos-formais,abordagens-para-verificacao-formal,1.3,topic,Abordagens para Verificação Formal
MF,unidade-01-metodos-formais,provadores-de-teoremas,1.3.3,subtopic,Provadores de Teoremas
MF,unidade-01-metodos-formais,exemplos-de-aplicacoes,1.4,topic,Exemplos de Aplicações
MF,unidade-02-verificacao-de-programas,logica-de-hoare,2.1,topic,Lógica de Hoare
MF,unidade-02-verificacao-de-programas,pre-e-pos-condicoes,2.1.1,subtopic,Pré e Pós Condições
MF,unidade-02-verificacao-de-programas,correcao-parcial-e-total,2.1.2,subtopic,Correção Parcial e Total
MF,unidade-02-verificacao-de-programas,invariante-e-variante-de-laco,2.1.3,subtopic,Invariante e Variante de Laço
MF,unidade-02-verificacao-de-programas,sistema-de-prova,2.1.4,subtopic,Sistema de Prova
MF,unidade-02-verificacao-de-programas,softwares-de-suporte-a-verificacao-formal-de-programas,2.2,topic,Softwares de Suporte à Verificação Formal de Programas
MF,unidade-02-verificacao-de-programas,verificacao-de-programas,1.3.2,subtopic,Verificação de Programas
MF,unidade-03-verificacao-de-modelos,maquinas-de-estado,3.1,topic,Máquinas de Estado
MF,unidade-03-verificacao-de-modelos,modelos-de-kripke,3.1.1,subtopic,Modelos de Kripke
MF,unidade-03-verificacao-de-modelos,fundamentos-de-logicas-temporais,3.2,topic,Fundamentos de Lógicas Temporais
