entry_id,title,category,posting_date,unit_slug,card,evidencia,pred_subunit,gold_subunit,gold_subunits_extra,gold_fonte,scorable,notas
definicao-e-historico,Definição e Histórico,material-de-aula,2026-03-10,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,Introdução aos Sistemas Operacionais,Sumário · Sistemas Operacionais · Sistema de Computação · Visão Abstrata · Visão Abstrata · Fato · Um Sistema Operacional... · Definição (1) · Definição (2) · Definição (3),,evolucao-historica,servicos-dos-sistemas-operacionais,conteudo,yes,"provenance=proposto-claude+aprovado-user-2026-08-25; card 'Introducao aos Sistemas Operacionais'; headings Definicao(1)(2)(3) + Funcao + Organizacao Tipica + Historico(1)(2). Split real: primario historico (nomeado no titulo e topico proprio), extra servicos (funcao do SO)"
1203-processos,12.03 Processos,material-de-aula,2026-03-10,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,Processo e Estruturas de Controle,Sumário · Processos · O que é um Processo? · Definição (1) · Definição (2) · Definição (3) · Definição (4) · Overhead · Chamadas de Sistema (SVCs) · Process management,,chamadas-de-sistema,servicos-dos-sistemas-operacionais,conteudo,yes,"provenance=proposto-claude+aprovado-user-2026-08-25; 12.03 = DATA da aula (ruling user), card 'Processo e Estruturas de Controle'. Heading 'Chamadas de Sistema (SVCs)' + tabelas Process/File management = taxonomia de syscall. RETIRADA a suspeita de erro de unidade: as 6 entries do card estao em u01 e nenhuma esta na lista de erro de unidade do eval_eixos"
1703-chamada-de-sistema,17.03 Chamada de Sistema,material-de-aula,2026-03-10,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,Processo e Estruturas de Controle,Sumário · Chamada de SistemasCriação de Processos · Resumo · Chamada de Sistema para Criação de Processos · Criação de processos · Criação de processos no Linux · A chamada *fork()* · Estrutura geral do *fork()* · Prática (1) · Prática (2),,chamadas-de-sistema,,conteudo,yes,"provenance=proposto-claude+aprovado-user-2026-08-25; fork(), syscalls Unix/Linux, criacao de processos - caso limpo"
exemplo-criacao-de-processos-no-unix-linux-filho,Exemplo Criação de Processos no Unix Linux - filho,codigo-professor,2026-03-10,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,Processo e Estruturas de Controle,Exemplo Criação de Processos no Unix Linux - filho,,chamadas-de-sistema,,card,yes,provenance=proposto-claude+aprovado-user-2026-08-25; fonte C de apoio; card 'Processo e Estruturas de Controle' (regra do user: apoio rotula pelo card)
exemplo-criacao-de-processos-no-unix-linux-teste01,Exemplo Criação de Processos no Unix Linux - teste01,codigo-professor,2026-03-10,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,Processo e Estruturas de Controle,Exemplo Criação de Processos no Unix Linux - teste01,,chamadas-de-sistema,,card,yes,provenance=proposto-claude+aprovado-user-2026-08-25; idem filho
exemplo-criacao-de-processos-no-unix-linux-teste02,Exemplo Criação de Processos no Unix Linux - teste02,codigo-professor,2026-03-10,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,Processo e Estruturas de Controle,Exemplo Criação de Processos no Unix Linux - teste02,,chamadas-de-sistema,,card,yes,provenance=proposto-claude+aprovado-user-2026-08-25; idem filho
exemplo-criacao-de-processos-no-unix-linux-teste03,Exemplo Criação de Processos no Unix Linux - teste03,codigo-professor,2026-03-10,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,Processo e Estruturas de Controle,Exemplo Criação de Processos no Unix Linux - teste03,,chamadas-de-sistema,,card,yes,provenance=proposto-claude+aprovado-user-2026-08-25; idem filho
biblioteca-em-c-pthread,Biblioteca em C - pthread,bibliografia,2026-03-10,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,Threads,Sumário · Linux Threads · Resumindo... Modelo M:n · Modelo de Multithreading do S.O. Solaris (1) · Bibliotecas de Threads (2) · Biblioteca Pthreads – Algumas Operações · Thread APIs vs. System calls para Processos · Bibliotecas de Threads <sup>(1)</sup> · Criação de Threads: `pthread_create()` (1) · Criação de Threads: `pthread_create()` (2),,chamadas-de-sistema,,card,yes,"provenance=proposto-claude+aprovado-user-2026-08-25; RULING USER 2026-08-25 opcao (a). Card 'Threads'; heading 'Thread APIs vs. System calls para Processos'; o proprio bloco-03 (true_unit=u01, gold_units_SO) tem topic_text terminando em 'chamadas sistema'. RETRATACAO: propus antes que a UNIDADE estivesse errada - estava invertido. ground_truth_SO col.3 e true_block_id: biblioteca=bloco-03(u01) esta certa; quem erra sao exemplo-threads-em-c-1/2/3, true=bloco-06(u04 deadlock). Tambem retirado o achado 'card estilhacado': o card Threads junta bloco-03 e bloco-06 (um mes de distancia) - card e secao do Moodle, bloco e janela temporal; nao e incoerencia"
plano-de-ensino,Plano de Ensino,cronograma,,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,Informações Gerais,Sumário · **EMENTA:** · PROCEDIMENTOS E RECURSOS: · PROCEDIMENTOS E RECURSOS: · PROCEDIMENTOS E RECURSOS: · PROCEDIMENTOS E RECURSOS · **6.2.2 Segmentação** **6.3 Estudo de casos** · **PROCEDIMENTOS E RECURSOS:** · **PROCEDIMENTOS E RECURSOS:** · **PROCEDIMENTOS E RECURSOS:**,,,,-,no,"provenance=proposto-claude+aprovado-user-2026-08-25; cronograma transversal, card 'Informacoes Gerais'"
programa,Programa,outros,,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,Informações Gerais,Sumário · **EMENTA:** · PROCEDIMENTOS E RECURSOS: · PROCEDIMENTOS E RECURSOS: · PROCEDIMENTOS E RECURSOS: · PROCEDIMENTOS E RECURSOS · **6.2.2 Segmentação** **6.3 Estudo de casos** · **PROCEDIMENTOS E RECURSOS:** · **PROCEDIMENTOS E RECURSOS:** · PROCEDIMENTOS E RECURSOS:,,,,-,no,provenance=proposto-claude+aprovado-user-2026-08-25; RULING USER: MESMO ARQUIVO do plano-de-ensino - 'programa' e o nome original do arquivo baixado direto do Moodle. Headings identicos. Duplicata no manifest com categorias diferentes (cronograma vs outros)
apresentacao-da-disciplina,Apresentação da Disciplina,material-de-aula,2026-03-10,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,Informações Gerais,Sumário · Sistemas Operacionais · Apresentação · Objetivos · Ementa · Programa · **UNIDADE 1: Introdução ao estudo de sistemas operacionais** · Programa · **UNIDADE 2: Gerência do Processador** · Programa,,,,-,no,provenance=proposto-claude+aprovado-user-2026-08-25; card 'Informacoes Gerais'; conteudo e Apresentacao/Objetivos/Ementa/Programa + lista UNIDADE 1..3 - meta de disciplina
questoes-do-enade-sobre-sisop,Questões do ENADE sobre SISOP,listas,2026-03-10,unidade-01-introducao-ao-estudo-de-sistemas-operacionais,Informações Gerais,Sumário · **QUESTÃO 22** · **QUESTÃO 71** · Prova 2008 · QUESTÃO 19 · Prova 2011 · QUESTÃO 29 · QUESTÃO 20 · QUESTÃO 21,,,,-,no,"provenance=proposto-claude+aprovado-user-2026-08-25; card 'Informacoes Gerais'; lista ENADE multi-unidade (abre com paginacao de memoria = u05). E o problema da FASE 4 (exercicios/listas/provas antigas), nao de subunidade"
1903-estruturas-de-controle,19.03 Estruturas de Controle,material-de-aula,2026-03-10,unidade-02-gerencia-do-processador,Processo e Estruturas de Controle,Sumário · ProcessosEstruturas de Controle · O que é um Recurso Computacional? · Processos e Recursos · Processos e recursos · Imagem do processo · Imagem do processo na memória · Bloco de Controle do Processo (PCB) · Informações típicas do BCP · BCPs e as filas do sistema,,conceitos-basicos,,conteudo,yes,"provenance=proposto-claude+aprovado-user-2026-08-25; bloco-04 -> u02 (gold OK). PCB, imagem do processo na memoria, informacoes de controle, recurso computacional = conceitos basicos"
2403-escalonamento-de-processos,24.03 Escalonamento de Processos,material-de-aula,2026-03-10,unidade-02-gerencia-do-processador,Gerência de Processos CPU,Sumário · Escalonamento de Processos · Definição (1) · Definição (2) · Troca de Contexto · Definição · Ações na Troca de Contexto · Troca de Contexto · O Escalonador ( “Scheduler” ) · Definição,,escalonamento,,conteudo,yes,"provenance=proposto-claude+aprovado-user-2026-08-25; bloco-04 -> u02 (gold OK). Troca de Contexto, Scheduler, Dispatcher, Criterios de Alocacao = escalonamento (o CONCEITO, nao os algoritmos)"
2603-algoritmos-de-escalonamento,26.03 Algoritmos de Escalonamento,material-de-aula,2026-03-10,unidade-02-gerencia-do-processador,Gerência de Processos CPU,Sumário · Algoritmos de Escalonamento · Algoritmos de Escalonamento · Algoritmos de Escalonamento · FCFS - *First-Come-First-Served* (1) · FCFS - First-Come-First-Served (2) · SJF - *Shortest Job First* (1) · SJF - Shortest Job First (2) · Prioridade (1) · Prioridade (2),,algoritmos-de-escalonamento,,conteudo,yes,"provenance=proposto-claude+aprovado-user-2026-08-25; bloco-04 -> u02 (gold OK). FCFS, SJF, Prioridade, Round-Robin = os algoritmos"
3103-threads,31.03 Threads,material-de-aula,2026-03-10,unidade-02-gerencia-do-processador,Threads,Sumário · Threads · Definição (1) · Exemplo de Programa Multithread (1) · Exemplo de Programa Multithread (2) · - Servidor Web · Definição (2) · Definição (3) · Definição (4) · Definição (5),,conceitos-basicos,,conteudo,yes,"provenance=proposto-claude+aprovado-user-2026-08-25; bloco-04 -> u02 (gold OK). Definicao(1..5), Threads vs Processos, exemplo servidor web. u02 NAO tem topico de threads; conceitos-basicos e o encaixe menos ruim. Motor hoje prediz 'escalonamento'. Ver item aberto da lacuna 'threads' na taxonomia"
exercicios,Exercícios,listas,2026-03-10,unidade-02-gerencia-do-processador,Gerência de Processos CPU,"Sumário · Homework #4 --- · 2. SJF (nonpreemptive): · 3. SJF (preemptive, Shortest-next-CPU-burst): · 4. Nonpreemptive, Priority: · **Answer:** · **Answer:**",,algoritmos-de-escalonamento,,conteudo,yes,"provenance=proposto-claude+aprovado-user-2026-08-25; RULING USER 2026-08-25: o gold de UNIDADE do exercicios esta errado - card 'Gerencia de Processos CPU' => u02. Respaldo: 2403-escalonamento e 2603-algoritmos estao no MESMO card com gold bloco-04; so o exercicios ficou em bloco-03. O posting_date 2026-03-10 que sustentava bloco-03 e artefato de download em lote (dezenas de entries do SO tem essa data). PENDENTE DE APLICACAO no ato da FASE 1: ground_truth_SO.csv:24 bloco-03/bdcc7b26 -> bloco-04/e4f7e22a (efeito medido: bloco 186->185, unidade 178->179). Subunidade: Homework #4 com SJF nonpreemptive/preemptive e Priority = algoritmos"
