curso,entry_id,categoria,tipo,gold_primario,gold_extras,cru,produto,produto_acerta,conf,winner_score,passada,reasons,unidade,secao_moodle,titulo
MF,archive-of-formal-proofs-355fb8,references,url,provadores-de-teoremas,,abordagens-para-verificacao-formal,abordagens-para-verificacao-formal,0,0.276,16.49,2a:propagado-headings,winner_score=16.49 | propagado-headings,unidade-01-metodos-formais,,Archive of Formal Proofs
MF,logicapredicados-semantica,material-de-aula,pdf,fundamentos-de-logica-de-primeira-ordem,,especificacao-de-funcoes-recursivas,fundamentos-de-logica-de-primeira-ordem,1,0.895,1.20,1a,winner_score=1.20,unidade-01-metodos-formais,Revisão - Lógica e Especificação,logicaPredicados_semantica
MF,logicaproposicional-sintaxe,material-de-aula,pdf,linguagens-de-especificacao-e-logicas,fundamentos-de-logica-de-primeira-ordem,especificacao-de-funcoes-recursivas,linguagens-de-especificacao-e-logicas,1,0.862,0.12,1a,winner_score=0.12,unidade-01-metodos-formais,Revisão - Lógica e Especificação,logicaProposicional_sintaxe
MF,revisao,material-de-aula,pdf,sistemas-formais,,especificacao-de-conjuntos-indutivos,sistemas-formais,1,0.837,8.29,1a,winner_score=8.29,unidade-01-metodos-formais,Revisão - Lógica e Especificação,revisao
MF,exerciciosespecificacao-respostas,gabaritos,pdf,linguagens-de-especificacao-e-logicas,,especificacao-de-funcoes-recursivas,linguagens-de-especificacao-e-logicas,1,0.624,1.12,1a,winner_score=1.12,unidade-01-metodos-formais,Revisão - Lógica e Especificação,ExerciciosEspecificacao_respostas
MF,arvores,codigo-professor,code,provadores-de-teoremas,especificacao-de-funcoes-recursivas,abordagens-para-verificacao-formal,provadores-de-teoremas,1,0.862,0.91,1a,winner_score=0.91,unidade-01-metodos-formais,Provas por Indução,arvores
MF,exemplos,codigo-professor,code,provadores-de-teoremas,especificacao-de-funcoes-recursivas;especificacao-de-conjuntos-indutivos,exemplos-de-aplicacoes,exemplos-de-aplicacoes,0,0.989,11.09,1a,winner_score=11.09,unidade-01-metodos-formais,Provas por Indução,exemplos
MF,intro,codigo-professor,code,provadores-de-teoremas,especificacao-de-conjuntos-indutivos;especificacao-de-funcoes-recursivas,abordagens-para-verificacao-formal,especificacao-de-conjuntos-indutivos,1,0.677,2.90,2a:propagado-headings,winner_score=2.90 | propagado-headings,unidade-01-metodos-formais,Provas por Indução,intro
MF,listas,codigo-professor,code,provadores-de-teoremas,especificacao-de-funcoes-recursivas,abordagens-para-verificacao-formal,provadores-de-teoremas,1,0.862,0.91,1a,winner_score=0.91,unidade-01-metodos-formais,Provas por Indução,listas
MF,provas,codigo-professor,code,provadores-de-teoremas,especificacao-de-funcoes-recursivas,abordagens-para-verificacao-formal,provadores-de-teoremas,1,0.862,0.91,1a,winner_score=0.91,unidade-01-metodos-formais,Provas por Indução,provas
MF,hoare,codigo-professor,zip,logica-de-hoare,softwares-de-suporte-a-verificacao-formal-de-programas;verificacao-de-programas,correcao-parcial-e-total,logica-de-hoare,1,0.964,3.49,1a,winner_score=3.49,unidade-02-verificacao-de-programas,Verificação de Programas,Hoare
MF,tiposindutivos,codigo-professor,zip,softwares-de-suporte-a-verificacao-formal-de-programas,,verificacao-de-programas,verificacao-de-programas,0,0.862,0.12,1a,winner_score=0.12,unidade-02-verificacao-de-programas,Verificação de Programas,Tiposindutivos
SO,1903-estruturas-de-controle,material-de-aula,pdf,conceitos-basicos,,escalonamento,conceitos-basicos,1,0.946,2.00,1a,winner_score=2.00,unidade-02-gerencia-do-processador,Processo e Estruturas de Controle,19.03 Estruturas de Controle
SO,exercicios,listas,pdf,algoritmos-de-escalonamento,,,algoritmos-de-escalonamento,1,0.000,0,1a,sem-sinal (winner_score=0),unidade-02-gerencia-do-processador,Gerência de Processos CPU,Exercícios
SO,exemplo-threads-em-c-exemplo3,codigo-professor,code,conceitos-basicos,,escalonamento,conceitos-basicos,1,1.000,11.09,2a:propagado-headings,winner_score=11.09 | propagado-headings,unidade-02-gerencia-do-processador,Threads,Exemplo threads em C - exemplo3
IA,algoritmo-de-classificacao-k-nn,material-de-aula,pdf,modelos-preditivos,,introducao-ao-aprendizado-de-maquina,modelos-preditivos,1,0.917,1.30,1a,winner_score=1.30,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 3 - 16.03 a 20.03 - Machine Learning e Dados,Algoritmo de Classificação k-NN
