id,title,category,markdown_path,predicted_block_id,predicted_period,predicted_band,true_block_id
o-que-é-inteligência-artificial-ia-oracle-brasil-43437f,O que é Inteligência Artificial (IA)? | Oracle Brasil,references,content/curated/o-que-é-inteligência-artificial-ia-oracle-brasil-43437f.md,bloco-04,2 dias · 11/03/2026 a 16/03/2026,alta,bloco-04
ia-responsável-7c4626,IA Responsável,references,content/curated/ia-responsável-7c4626.md,bloco-01,1 dia · 02/03/2026,alta,bloco-01
aprendizadonaosupervisionado-agrupamento-parte1,AprendizadoNaoSupervisionado-Agrupamento - parte1,material-de-aula,content/curated/aprendizadonaosupervisionado-agrupamento-parte1.md,bloco-05,9 dias · 18/03/2026 a 15/04/2026,alta,bloco-05
aprendizadonaosupervisionado-agrupamento-parte2,AprendizadoNaoSupervisionado-Agrupamento - parte2,material-de-aula,content/curated/aprendizadonaosupervisionado-agrupamento-parte2.md,bloco-06,3 dias · 20/04/2026 a 27/04/2026,alta,bloco-06
aprendizadosupervisionado-arvoresdedecisao-duncan,AprendizadoSupervisionado-ArvoresDeDecisao-Duncan,material-de-aula,content/curated/aprendizadosupervisionado-arvoresdedecisao-duncan.md,bloco-04,2 dias · 11/03/2026 a 16/03/2026,alta,bloco-04
mlp-novaversao,mlp_novaVersao,material-de-aula,content/curated/mlp-novaversao.md,bloco-05,9 dias · 18/03/2026 a 15/04/2026,alta,bloco-05
redesperceptron2023-02,RedesPerceptron2023_02,material-de-aula,content/curated/redesperceptron2023-02.md,bloco-05,9 dias · 18/03/2026 a 15/04/2026,alta,bloco-05
aula01-introducao-ia,aula01_Introducao_IA,material-de-aula,content/curated/aula01-introducao-ia.md,bloco-04,2 dias · 11/03/2026 a 16/03/2026,alta,bloco-04
p1-2024-02-ia,P1_2024_02_IA,provas,exams/past-exams/p1-2024-02-ia.md,bloco-08,3 dias · 04/05/2026 a 11/05/2026,alta,bloco-08
como-analisar-resultados-sse-comcorrecoes,Como Analisar Resultados - SSE_comCorrecoes,material-de-aula,content/curated/como-analisar-resultados-sse-comcorrecoes.md,bloco-04,2 dias · 11/03/2026 a 16/03/2026,alta,bloco-04
inteligencia-artificial-aula-29-aprendizagem-de-maquina-medidas-de-avaliacao,Inteligencia Artificial Aula 29 - Aprendizagem de Maquina Medidas de avaliação,material-de-aula,content/curated/inteligencia-artificial-aula-29-aprendizagem-de-maquina-medidas-de-avaliacao.md,bloco-04,2 dias · 11/03/2026 a 16/03/2026,alta,bloco-04
perceptron-equacaodereta,Perceptron-equaçãodeReta,material-de-aula,content/curated/perceptron-equacaodereta.md,bloco-05,9 dias · 18/03/2026 a 15/04/2026,alta,bloco-05
introducaoredesneurais-2023-02,IntroducaoRedesNeurais_2023_02,material-de-aula,content/curated/introducaoredesneurais-2023-02.md,bloco-05,9 dias · 18/03/2026 a 15/04/2026,alta,bloco-05
aprendizadosupervisionado-classificacao-knn,AprendizadoSupervisionado-Classificacao - kNN,material-de-aula,content/curated/aprendizadosupervisionado-classificacao-knn.md,bloco-04,2 dias · 11/03/2026 a 16/03/2026,alta,bloco-04
caracteristicasdosdados,CaracteristicasDosDados,material-de-aula,content/curated/caracteristicasdosdados.md,bloco-04,2 dias · 11/03/2026 a 16/03/2026,alta,bloco-04
introducaoml-atualizacao2025,IntroducaoML - atualização2025,material-de-aula,content/curated/introducaoml-atualizacao2025.md,bloco-04,2 dias · 11/03/2026 a 16/03/2026,alta,bloco-04
