entry_id,title,category,posting_date,unit_slug,card,evidencia,pred_subunit,gold_subunit,gold_subunits_extra,gold_fonte,scorable,notas
caracteristicas-dos-dados,Características dos Dados,material-de-aula,2026-02-24,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 2 - 09.03 a 13.03 - Introdução a IA (continuação) e Introdução a ML,"Sumário · Abstract background with a network of red lines and 3D cubes.The background of the slide is an abstract digital illustration. It features a complex network of thin, red, glowing lines that connect various points, creating a web-like structure. Scattered throughout this network are numerous 3D cubes of varying sizes and orientations. Some cubes are dark grey or black, while others are lig",,introducao-ao-aprendizado-de-maquina,,conteudo,yes,"provenance=proposto-claude+aprovado-user-2026-08-25; RULING USER 2026-08-25 ('aparentemente faz sentido'): no IA rotula-se por CONTEUDO mesmo nos notebooks - eles SAO a aula (exemplo pratico de um modelo), nao material de apoio. Card nomeia o PARADIGMA; conteudo nomeia o MODELO. Sem.2; tipos/caracteristicas de dados = preparacao, pre-modelo"
introducao-a-ml,Introdução a ML,material-de-aula,2026-02-24,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 2 - 09.03 a 13.03 - Introdução a IA (continuação) e Introdução a ML,"Sumário · Abstract geometric background with various shapes like circles, squares, and lines, some with patterns like dots or stripes.Machine Learning · Conceito · **Machine Learning** · Conceito · Por que estudar Machine Learning? · **Razões Práticas:** · **Razões Filosóficas:** · Machine Learning usa aprendizado indutivo. · Machine Learning usa aprendizado indutivo.",,introducao-ao-aprendizado-de-maquina,paradigmas-de-aprendizado,conteudo,yes,"provenance=proposto-claude+aprovado-user-2026-08-25; RULING USER 2026-08-25 ('aparentemente faz sentido'): no IA rotula-se por CONTEUDO mesmo nos notebooks - eles SAO a aula (exemplo pratico de um modelo), nao material de apoio. Card nomeia o PARADIGMA; conteudo nomeia o MODELO. Sem.2; aula de abertura de ML; extra paradigmas porque e onde supervisionado x nao-supervisionado e apresentado"
analise-exploratoria-de-dados-exemplo-1,Análise Exploratória de Dados - Exemplo 1,codigo-professor,,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 3 - 16.03 a 20.03 - Machine Learning e Dados,Análise Exploratória de Dados - Exemplo 1 · Célula 1 — Markdown · **Análise Exploratória: Planta IRIS** · Célula 2 — Código · Célula 3 — Markdown · Célula 4 — Código · Célula 5 — Markdown · Célula 6 — Código · Célula 7 — Markdown · **Inicio da Análise Exploratória dos Dados**,,introducao-ao-aprendizado-de-maquina,,conteudo,yes,"provenance=proposto-claude+aprovado-user-2026-08-25; RULING USER 2026-08-25 ('aparentemente faz sentido'): no IA rotula-se por CONTEUDO mesmo nos notebooks - eles SAO a aula (exemplo pratico de um modelo), nao material de apoio. Card nomeia o PARADIGMA; conteudo nomeia o MODELO. Sem.3; EDA sobre IRIS (pandas/seaborn) = preparacao de dados, nenhum modelo treinado"
analise-exploratoria-dos-dados-exemplo-2,Analise Exploratória dos Dados - Exemplo 2,codigo-professor,2026-02-24,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 3 - 16.03 a 20.03 - Machine Learning e Dados,Analise Exploratória dos Dados - Exemplo 2 · Célula 1 — Markdown · **Aula 02 - Preparação de Dados : Análise** · Célula 2 — Markdown · Célula 3 — Código · Célula 4 — Markdown · Célula 5 — Código · Célula 6 — Markdown · Célula 7 — Markdown,,introducao-ao-aprendizado-de-maquina,,conteudo,yes,"provenance=proposto-claude+aprovado-user-2026-08-25; RULING USER 2026-08-25 ('aparentemente faz sentido'): no IA rotula-se por CONTEUDO mesmo nos notebooks - eles SAO a aula (exemplo pratico de um modelo), nao material de apoio. Card nomeia o PARADIGMA; conteudo nomeia o MODELO. Sem.3; idem exemplo-1"
algoritmo-de-classificacao-k-nn,Algoritmo de Classificação k-NN,material-de-aula,2026-02-24,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 3 - 16.03 a 20.03 - Machine Learning e Dados,Sumário · Aprendizado Supervisionado · Classificação com k-NN · Roteiro · Subáreas da Inteligência Artificial · Aprendizado Supervisionado · Aprendizado Supervisionado · Aprendizado Supervisionado · Aprendizado Supervisionado · Classificação,,modelos-preditivos,,conteudo,yes,"provenance=proposto-claude+aprovado-user-2026-08-25; RULING USER 2026-08-25 ('aparentemente faz sentido'): no IA rotula-se por CONTEUDO mesmo nos notebooks - eles SAO a aula (exemplo pratico de um modelo), nao material de apoio. Card nomeia o PARADIGMA; conteudo nomeia o MODELO. Sem.3; aula do k-NN = modelo preditivo (classificacao)"
exemplo-com-k-nn,Exemplo com k-NN,codigo-professor,,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 3 - 16.03 a 20.03 - Machine Learning e Dados,Exemplo com k-NN · Célula 1 — Código · Célula 2 — Código · Célula 3 — Código · Célula 4 — Código · Célula 5 — Código · Célula 6 — Código · Célula 7 — Código · Célula 8 — Código · Célula 9 — Código,,modelos-preditivos,,conteudo,yes,"provenance=proposto-claude+aprovado-user-2026-08-25; RULING USER 2026-08-25 ('aparentemente faz sentido'): no IA rotula-se por CONTEUDO mesmo nos notebooks - eles SAO a aula (exemplo pratico de um modelo), nao material de apoio. Card nomeia o PARADIGMA; conteudo nomeia o MODELO. Sem.3; sklearn.neighbors sobre IRIS_train"
exemplo-2-k-nn-com-iriscsv-mais-completo,Exemplo 2 k-NN (com IRIS.csv) - mais completo,codigo-professor,,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 3 - 16.03 a 20.03 - Machine Learning e Dados,Exemplo 2 k-NN (com IRIS.csv) - mais completo · Célula 1 — Código · Célula 2 — Código · Célula 3 — Código · Célula 4 — Código · Célula 5 — Código · Célula 6 — Código · Célula 7 — Código · Célula 8 — Código · Célula 9 — Código,,modelos-preditivos,,conteudo,yes,"provenance=proposto-claude+aprovado-user-2026-08-25; RULING USER 2026-08-25 ('aparentemente faz sentido'): no IA rotula-se por CONTEUDO mesmo nos notebooks - eles SAO a aula (exemplo pratico de um modelo), nao material de apoio. Card nomeia o PARADIGMA; conteudo nomeia o MODELO. Sem.3; k-NN sklearn, IRIS"
exemplo-de-programa-com-k-nn-em-java,Exemplo de programa com k-NN (em java),codigo-professor,2026-02-24,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 3 - 16.03 a 20.03 - Machine Learning e Dados,,,modelos-preditivos,,conteudo,yes,"provenance=proposto-claude+aprovado-user-2026-08-25; RULING USER 2026-08-25 ('aparentemente faz sentido'): no IA rotula-se por CONTEUDO mesmo nos notebooks - eles SAO a aula (exemplo pratico de um modelo), nao material de apoio. Card nomeia o PARADIGMA; conteudo nomeia o MODELO. Sem.3; k-NN em Java; motor hoje deixa VAZIO"
artigo-usando-k-nn-em-texto,Artigo usando k-NN em texto,bibliografia,2026-02-24,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 3 - 16.03 a 20.03 - Machine Learning e Dados,Sumário · Um Estudo sobre Categorização Hierárquica de uma Grande Coleção de Textos em Língua Portuguesa · 1. Introdução · 2. Trabalhos Relacionados · 3. Coleção PLN-BR CATEG · 4. Configuração dos Experimentos · 5. Análise dos Resultados · 6. Considerações Finais · Referências,,modelos-preditivos,,conteudo,yes,"provenance=proposto-claude+aprovado-user-2026-08-25; RULING USER 2026-08-25 ('aparentemente faz sentido'): no IA rotula-se por CONTEUDO mesmo nos notebooks - eles SAO a aula (exemplo pratico de um modelo), nao material de apoio. Card nomeia o PARADIGMA; conteudo nomeia o MODELO. Sem.3; categorizacao hierarquica de textos com k-NN (coverage_gt ja o poe em paradigmas/supervisionado; aqui o modelo manda)"
k-nn-para-classificacao-exemplo-cardio,K-NN para Classificação Exemplo Cardio,codigo-professor,,unidade-de-aprendizagem-05-aprendizado-de-maquina,Semana 4 - 23.03 a 27.03 - Machine Learning Aprendizado Supervisionado,K-NN para Classificação Exemplo Cardio · Célula 1 — Markdown · Célula 2 — Código · Célula 3 — Markdown · Célula 4 — Código · Célula 5 — Código · Célula 6 — Markdown · Célula 7 — Código · Célula 8 — Markdown · Célula 9 — Código,,modelos-preditivos,,conteudo,yes,"provenance=proposto-claude+aprovado-user-2026-08-25; RULING USER 2026-08-25 ('aparentemente faz sentido'): no IA rotula-se por CONTEUDO mesmo nos notebooks - eles SAO a aula (exemplo pratico de um modelo), nao material de apoio. Card nomeia o PARADIGMA; conteudo nomeia o MODELO. Sem.4; k-NN classificacao, dataset cardio"
