origin,plugin_enabled,path,real_path,name,description_chars,description,sha256,bytes,codex_disabled,claude_override,disable_model_invocation
.agents/skills,local-discovery,C:\Users\Humberto\.agents\skills\context7-mcp\SKILL.md,C:\Users\Humberto\.agents\skills\context7-mcp\SKILL.md,context7-mcp,265,"This skill should be used when the user asks about libraries, frameworks, API references, or needs code examples. Activates for setup questions, code generation involving libraries, or mentions of specific frameworks like React, Vue, Next.js, Prisma, Supabase, etc.",6f07fd4d6cbf96c00c66ef859c2981efb0795315069f55af30c0ae4f28b77690,2124,False,,False
.agents/skills,local-discovery,C:\Users\Humberto\.agents\skills\dispatching-parallel-agents\SKILL.md,C:\Users\Humberto\.agents\skills\dispatching-parallel-agents\SKILL.md,dispatching-parallel-agents,106,Use when facing 2+ independent tasks that can be worked on without shared state or sequential dependencies,1968923066f3b707eb01d1992cdf4c42284c3855f70253b9cd5000ff45fca13c,6078,False,,False
.agents/skills,local-discovery,C:\Users\Humberto\.agents\skills\executing-plans\SKILL.md,C:\Users\Humberto\.agents\skills\executing-plans\SKILL.md,executing-plans,104,Use when you have a written implementation plan to execute in a separate session with review checkpoints,c4c3d8b628c51114cd165fb8246fe02744cd8be180032328391252e653028d9b,2305,False,,False
.agents/skills,local-discovery,C:\Users\Humberto\.agents\skills\find-skills\SKILL.md,C:\Users\Humberto\.agents\skills\find-skills\SKILL.md,find-skills,303,"Helps users discover and install agent skills when they ask questions like ""how do I do X"", ""find a skill for X"", ""is there a skill that can..."", or express interest in extending capabilities. This skill should be used when the user is looking for functionality that might exist as an installable skill.",1e85f6f9686e145aca4a124e3b704b9bbea9aa87e08515c1e352eee70f6e6e7a,5446,False,,False
.agents/skills,local-discovery,C:\Users\Humberto\.agents\skills\finishing-a-development-branch\SKILL.md,C:\Users\Humberto\.agents\skills\finishing-a-development-branch\SKILL.md,finishing-a-development-branch,101,"Use when implementation is complete, all tests pass, and you need to decide how to integrate the work",8db5a922b242dd4e1bf824cb91c13b3e8d8e8a86d6ceaf7f0774eb9cce909d65,7781,False,,False
.agents/skills,local-discovery,C:\Users\Humberto\.agents\skills\graphify\SKILL.md,C:\Users\Humberto\.agents\skills\graphify\SKILL.md,graphify-windows,353,"Use for any question about a codebase, its architecture, file relationships, or project content — especially when graphify-out/ exists, where the question should be treated as a graphify query first. Turns any input (code, docs, papers, images, videos) into a persistent knowledge graph with god nodes, community detection, and query/path/explain tools.",112376eae251617b9cab237b0488bb2cace67831b5dfa52d49d9258f41a44dc5,39434,False,,False
.agents/skills,local-discovery,C:\Users\Humberto\.agents\skills\learned\heredoc-git-bash-windows\SKILL.md,C:\Users\Humberto\.agents\skills\learned\heredoc-git-bash-windows\SKILL.md,heredoc-git-bash-windows,0,,29523695ef2d90fc69b7070bcee9b554ed2c8c95669c81e733ef88417152c9fd,2591,False,,False
.agents/skills,local-discovery,C:\Users\Humberto\.agents\skills\learned\medir-uso-antes-de-remover\SKILL.md,C:\Users\Humberto\.agents\skills\learned\medir-uso-antes-de-remover\SKILL.md,medir-uso-antes-de-remover,0,,c1ad22fdc91af719c01ca67bc218f9e6cd66a46d291d4927945e91c43910c0df,1959,False,,False
.agents/skills,local-discovery,C:\Users\Humberto\.agents\skills\learned\mex-check-falso-positivo\SKILL.md,C:\Users\Humberto\.agents\skills\learned\mex-check-falso-positivo\SKILL.md,mex-check-falso-positivo,0,,cebf1ec3fd1e2729bdbdb0f635c0f972598935c3df2008a639305b703c08f59d,1971,False,,False
.agents/skills,local-discovery,C:\Users\Humberto\.agents\skills\receiving-code-review\SKILL.md,C:\Users\Humberto\.agents\skills\receiving-code-review\SKILL.md,receiving-code-review,234,"Use when receiving code review feedback, before implementing suggestions, especially if feedback seems unclear or technically questionable - requires technical rigor and verification, not performative agreement or blind implementation",091df1629510af1b92fc4abd6f96732ebedb4cb2c0f3457e8f2740b0504a2438,6203,False,,False
.agents/skills,local-discovery,C:\Users\Humberto\.agents\skills\requesting-code-review\SKILL.md,C:\Users\Humberto\.agents\skills\requesting-code-review\SKILL.md,requesting-code-review,107,"Use when completing tasks, implementing major features, or before merging to verify work meets requirements",d71cc01ba56d2325cf8af5f7c11837819b63ecd57de0bfdb812f7f3ff7751df8,2956,False,,False
.agents/skills,local-discovery,C:\Users\Humberto\.agents\skills\subagent-driven-development\SKILL.md,C:\Users\Humberto\.agents\skills\subagent-driven-development\SKILL.md,subagent-driven-development,85,Use when executing implementation plans with independent tasks in the current session,8dd1b8e698edec3700c6d89517dbe96febd3bacd3f6ea21c1a3569c62ea104b5,32339,False,,False
.agents/skills,local-discovery,C:\Users\Humberto\.agents\skills\systematic-debugging\SKILL.md,C:\Users\Humberto\.agents\skills\systematic-debugging\SKILL.md,systematic-debugging,91,"Use when encountering any bug, test failure, or unexpected behavior, before proposing fixes",808fc5717aa88ad65efff312b11c186294d3e6ee301afb584e2f86599b137787,9465,False,,False
.agents/skills,local-discovery,C:\Users\Humberto\.agents\skills\test-driven-development\SKILL.md,C:\Users\Humberto\.agents\skills\test-driven-development\SKILL.md,test-driven-development,79,"Use when implementing any feature or bugfix, before writing implementation code",bf1b8216e523851a411e91d429a7c1c2a173e79d88957bc78e348218d50edd54,9015,False,,False
.agents/skills,local-discovery,C:\Users\Humberto\.agents\skills\troglodita\SKILL.md,C:\Users\Humberto\.agents\skills\troglodita\SKILL.md,troglodita,302,"Modo de comunicação ultra-comprimido para PT-BR. Corta uso de tokens ~70% mantendo precisão técnica total. Diagnósticos em telegrafia, ações no imperativo. Níveis: leve, total (padrão), máximo. Ativa quando user diz ""modo troglodita"", ""fala curta"", ""menos tokens"", ""seja breve"", ou invoca /troglodita.
",218da4eab5901414bd34e960e7df992ecfbb552c1c45e323233c56489dd1a51a,3195,False,,False
