curso,topico,unidade,materiais_na_unidade,suporte_por_frase,suporte_por_token,carente_forte,carente_fraco,e_alvo_do_gold
CG,2d-3d-mao-direita-e-mao-esquerda,unidade-04-processo-de-visualizacao-2d,18,0,3,0,1,0
CG,a-matematica-das-projecoes-planares,unidade-06-processo-de-visualizacao-3d,10,1,3,0,0,0
CG,algoritmo-do-pintor,unidade-06-processo-de-visualizacao-3d,10,2,2,0,0,0
CG,algoritmo-z-buffer,unidade-06-processo-de-visualizacao-3d,10,1,5,0,0,0
CG,algoritmos-de-deteccao-e-calculo-de-interseccao,unidade-02-fundamentos-matematicos,16,0,4,0,1,0
CG,algoritmos-de-geometria-computacional,unidade-02-fundamentos-matematicos,16,1,6,0,0,0
CG,algoritmos-de-poligonos,unidade-02-fundamentos-matematicos,16,0,7,0,1,0
CG,algoritmos-de-quantizacao-e-amostragem,unidade-03-processamento-de-imagens-e-visao-computacional,17,0,2,0,1,0
CG,algoritmos-de-rasterizacao,unidade-04-processo-de-visualizacao-2d,18,0,0,1,0,0
CG,algoritmos-de-remocao-de-elementos-ocultos,unidade-06-processo-de-visualizacao-3d,10,0,2,0,1,0
CG,aplicacoes,unidade-01-introducao-ao-processamento-grafico,12,9,9,0,0,0
CG,areas-relacionadas,unidade-01-introducao-ao-processamento-grafico,12,1,2,0,0,0
CG,arvores-bsp,unidade-06-processo-de-visualizacao-3d,10,2,2,0,0,0
CG,b-spline,unidade-07-representacao-e-modelagem-de-objetos,15,1,3,0,0,0
CG,bezier-e-algoritmo-de-casteljau,unidade-07-representacao-e-modelagem-de-objetos,15,10,11,0,0,0
CG,catmull-rom,unidade-07-representacao-e-modelagem-de-objetos,15,5,5,0,0,0
CG,conceito-de-camera-sintetica,unidade-06-processo-de-visualizacao-3d,10,0,4,0,1,1
CG,conceitos,unidade-01-introducao-ao-processamento-grafico,12,4,4,0,0,0
CG,conceitos-basicos-de-ray-tracing-e-radiosidade,unidade-08-sintese-de-imagens-realisticas,5,0,3,0,1,0
CG,cores-e-tipos-de-imagens,unidade-03-processamento-de-imagens-e-visao-computacional,17,0,13,0,1,0
CG,desenho-de-linhas,unidade-04-processo-de-visualizacao-2d,18,0,10,0,1,0
CG,digitalizacao,unidade-07-representacao-e-modelagem-de-objetos,15,0,0,1,0,0
CG,eliminacao-de-faces-traseiras,unidade-06-processo-de-visualizacao-3d,10,0,2,0,1,0
CG,entidades-geometricas,unidade-02-fundamentos-matematicos,16,0,0,1,0,0
CG,enumeracao-espacial,unidade-07-representacao-e-modelagem-de-objetos,15,1,2,0,0,0
CG,filtros,unidade-03-processamento-de-imagens-e-visao-computacional,17,4,4,0,0,0
CG,formas-de-representacao,unidade-07-representacao-e-modelagem-de-objetos,15,0,4,0,1,0
CG,geometria-solida-construtiva-csg,unidade-07-representacao-e-modelagem-de-objetos,15,2,4,0,0,0
CG,hermite,unidade-07-representacao-e-modelagem-de-objetos,15,5,5,0,0,0
CG,instanciamento-de-primitivas,unidade-07-representacao-e-modelagem-de-objetos,15,2,2,0,0,0
CG,introducao-e-exemplos-de-aplicacoes,unidade-03-processamento-de-imagens-e-visao-computacional,17,0,5,0,1,0
CG,mapeamento-de-textura,unidade-08-sintese-de-imagens-realisticas,5,1,2,0,0,0
CG,metodos-de-sombreamento-flat-gouraud-phong,unidade-08-sintese-de-imagens-realisticas,5,0,4,0,1,0
CG,modelos-de-iluminacao-luz-pontual-direcional-spot,unidade-08-sintese-de-imagens-realisticas,5,0,4,0,1,0
CG,modelos-de-reflexao-ambiente-difusa-especular,unidade-08-sintese-de-imagens-realisticas,5,0,5,0,1,0
CG,operacoes-com-vetores,unidade-02-fundamentos-matematicos,16,1,4,0,0,0
CG,origens,unidade-01-introducao-ao-processamento-grafico,12,4,4,0,0,0
CG,paralela,unidade-06-processo-de-visualizacao-3d,10,5,5,0,0,0
CG,perspectiva,unidade-06-processo-de-visualizacao-3d,10,6,6,0,0,0
CG,pipeline-de-visualizacao-3d,unidade-06-processo-de-visualizacao-3d,10,0,4,0,1,0
CG,preenchimento-de-poligonos,unidade-04-processo-de-visualizacao-2d,18,0,1,0,1,0
CG,projecoes,unidade-06-processo-de-visualizacao-3d,10,3,3,0,0,0
CG,recorte,unidade-04-processo-de-visualizacao-2d,18,5,5,0,0,0
CG,representacao-aramada,unidade-07-representacao-e-modelagem-de-objetos,15,1,4,0,0,0
CG,representacao-de-curvas-parametricas,unidade-07-representacao-e-modelagem-de-objetos,15,3,11,0,0,0
CG,segmentacao,unidade-03-processamento-de-imagens-e-visao-computacional,17,8,10,0,0,1
CG,sistema-de-coordenadas-cartesianas,unidade-04-processo-de-visualizacao-2d,18,0,8,0,1,1
CG,superficies-limitantes,unidade-07-representacao-e-modelagem-de-objetos,15,0,0,1,0,0
CG,tecnicas-de-modelagem-3d,unidade-07-representacao-e-modelagem-de-objetos,15,0,6,0,1,1
CG,varredura,unidade-07-representacao-e-modelagem-de-objetos,15,2,2,0,0,0
CG,vetorial-ou-matricial,unidade-07-representacao-e-modelagem-de-objetos,15,0,1,0,1,0
CG,visao-computacional-e-conceito-de-reconhecimento-de-padroes,unidade-03-processamento-de-imagens-e-visao-computacional,17,0,2,0,1,0
ES2,arquitetura-serverless,unidade-01-arquitetura-de-software,15,3,12,0,0,0
ES2,camadas,unidade-01-arquitetura-de-software,15,5,5,0,0,0
ES2,cliente-servidor,unidade-01-arquitetura-de-software,15,6,12,0,0,0
ES2,conceito-de-arquitetura-de-software,unidade-01-arquitetura-de-software,15,1,11,0,0,0
ES2,conceito-de-devops,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,20,0,1,0,1,0
ES2,entrega-continua-cd,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,20,0,6,0,1,0
ES2,estilos-e-padroes-arquiteturais,unidade-01-arquitetura-de-software,15,3,9,0,0,0
ES2,estrategias-de-construcao-de-arquitetura,unidade-01-arquitetura-de-software,15,1,11,0,0,0
ES2,estudo-de-caso-arquitetura-orientada-a-microsservicos,unidade-01-arquitetura-de-software,15,6,13,0,0,1
ES2,estudo-de-caso-integracao-e-implantacao-de-microsservicos,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,20,9,12,0,0,0
ES2,gerenciamento-da-configuracao,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,20,0,13,0,1,0
ES2,integracao-continua-ci,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,20,1,5,0,0,0
ES2,monitoramento-continuo,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,20,0,3,0,1,0
ES2,orientada-a-microsservicos,unidade-01-arquitetura-de-software,15,1,9,0,0,0
ES2,orientada-a-servicos,unidade-01-arquitetura-de-software,15,4,11,0,0,0
ES2,plataformas-de-devops,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,20,0,3,0,1,0
ES2,visoes-arquiteturais-estrutural-e-dinamica,unidade-01-arquitetura-de-software,15,1,8,0,0,0
FR,conceito-de-protocolo-de-redes-pessoais-locais-metropolitanas-e-de-longa-distancia,unidade-01-introducao-a-redes-de-computadores,6,1,2,0,0,0
FR,conceitos-de-redes-de-computadores-e-internet,unidade-01-introducao-a-redes-de-computadores,6,1,4,0,0,0
FR,funcoes-e-caracteristicas-do-nivel-de-aplicacao,unidade-02-nivel-de-aplicacao,16,0,8,0,1,0
FR,implementacao-de-sockets,unidade-02-nivel-de-aplicacao,16,0,3,0,1,1
FR,modelos-osi-e-tcpip,unidade-01-introducao-a-redes-de-computadores,6,5,5,0,0,0
FR,paradigmas-clienteservidor-e-p2p,unidade-02-nivel-de-aplicacao,16,0,14,0,1,0
FR,protocolos-de-aplicacao-para-infraestrutura-dns-dhcp-snmp-nat,unidade-02-nivel-de-aplicacao,16,0,10,0,1,0
FR,protocolos-de-aplicacao-para-o-usuario-http-https-smtp-pop3-imap,unidade-02-nivel-de-aplicacao,16,0,12,0,1,0
IA,agentes-em-logica,unidade-de-aprendizagem-03-raciocinio-planejamento-e-representacao-de-conhecimento,2,0,0,1,0,0
IA,algoritmos-de-busca-com-informacao,unidade-de-aprendizagem-02-solucao-de-problemas,14,13,14,0,0,0
IA,breve-historico-de-ia,unidade-de-aprendizagem-01-visao-geral,4,0,2,0,1,0
IA,busca-adversaria,unidade-de-aprendizagem-02-solucao-de-problemas,14,2,14,0,0,0
IA,busca-informada-heuristica,unidade-de-aprendizagem-02-solucao-de-problemas,14,1,10,0,0,0
IA,conceituacao,unidade-de-aprendizagem-01-visao-geral,4,1,2,0,0,0
IA,introducao-a-agentes-em-ambientes-deterministicos,unidade-de-aprendizagem-02-solucao-de-problemas,14,5,8,0,0,0
IA,introducao-ao-aprendizado-de-maquina,unidade-de-aprendizagem-05-aprendizado-de-maquina,39,10,34,0,0,0
IA,metricas-de-avaliacao,unidade-de-aprendizagem-05-aprendizado-de-maquina,39,1,17,0,0,0
IA,modelos-descritivos,unidade-de-aprendizagem-05-aprendizado-de-maquina,39,0,4,0,1,1
IA,modelos-preditivos,unidade-de-aprendizagem-05-aprendizado-de-maquina,39,0,4,0,1,1
IA,paradigmas-de-aprendizado,unidade-de-aprendizagem-05-aprendizado-de-maquina,39,1,18,0,0,0
IA,planejamento-classico,unidade-de-aprendizagem-03-raciocinio-planejamento-e-representacao-de-conhecimento,2,1,2,0,0,0
IA,problemas-de-otimizacao,unidade-de-aprendizagem-02-solucao-de-problemas,14,3,7,0,0,0
IA,questoes-filosoficas-de-ia,unidade-de-aprendizagem-01-visao-geral,4,0,2,0,1,0
IA,representacao-de-problemas,unidade-de-aprendizagem-02-solucao-de-problemas,14,0,9,0,1,0
IA,subareas-e-disciplinas-afins,unidade-de-aprendizagem-01-visao-geral,4,0,2,0,1,0
MF,abordagens-para-verificacao-formal,unidade-01-metodos-formais,35,3,12,0,0,0
MF,correcao-parcial-e-total,unidade-02-verificacao-de-programas,26,8,10,0,0,0
MF,especificacao-de-conjuntos-indutivos,unidade-01-metodos-formais,35,4,28,0,0,0
MF,especificacao-de-funcoes-recursivas,unidade-01-metodos-formais,35,9,30,0,0,0
MF,especificacao-de-propriedades-para-sistemas-sequenciais-e-concorrentes,unidade-03-verificacao-de-modelos,5,0,3,0,1,0
MF,exemplos-de-aplicacoes,unidade-01-metodos-formais,35,6,6,0,0,0
MF,fundamentos-de-logica-de-primeira-ordem,unidade-01-metodos-formais,35,1,9,0,0,0
MF,fundamentos-de-logicas-temporais,unidade-03-verificacao-de-modelos,5,0,2,0,1,0
MF,invariante-e-variante-de-laco,unidade-02-verificacao-de-programas,26,1,11,0,0,0
MF,linguagens-de-especificacao-e-logicas,unidade-01-metodos-formais,35,1,7,0,0,0
MF,logica-de-hoare,unidade-02-verificacao-de-programas,26,4,15,0,0,0
MF,logica-temporal-linear,unidade-03-verificacao-de-modelos,5,1,3,0,0,0
MF,logica-temporal-ramificada,unidade-03-verificacao-de-modelos,5,0,2,0,1,0
MF,maquinas-de-estado,unidade-03-verificacao-de-modelos,5,0,4,0,1,0
MF,modelos-de-kripke,unidade-03-verificacao-de-modelos,5,0,4,0,1,0
MF,pre-e-pos-condicoes,unidade-02-verificacao-de-programas,26,5,5,0,0,0
MF,provadores-de-teoremas,unidade-01-metodos-formais,35,2,13,0,0,1
MF,sistema-de-prova,unidade-02-verificacao-de-programas,26,0,8,0,1,0
MF,sistemas-formais,unidade-01-metodos-formais,35,2,2,0,0,0
MF,softwares-de-suporte-a-verificacao-formal-de-modelos,unidade-03-verificacao-de-modelos,5,0,3,0,1,0
MF,softwares-de-suporte-a-verificacao-formal-de-programas,unidade-02-verificacao-de-programas,26,0,2,0,1,0
MF,verificacao-de-modelos-model-checking,unidade-03-verificacao-de-modelos,5,2,4,0,0,0
MF,verificacao-de-programas,unidade-02-verificacao-de-programas,26,5,21,0,0,0
SO,algoritmos-de-escalonamento,unidade-02-gerencia-do-processador,11,1,6,0,0,0
