curso,entry_id,gold,confiante,produto_acerta,label_do_gold,label_no_texto,alias_cru_no_texto,n_alias_cru,n_alias_llm,tokens_label,tokens_no_texto,tokens_presentes,texto_vazio
MF,archive-of-formal-proofs-355fb8,provadores-de-teoremas,1,0,Provadores de Teoremas,0,,2,0,2,0,,0
MF,logicapredicados-semantica,fundamentos-de-logica-de-primeira-ordem,1,1,Fundamentos de Lógica de Primeira Ordem,0,,1,0,4,1,logica,0
MF,logicaproposicional-sintaxe,linguagens-de-especificacao-e-logicas,1,1,Linguagens de Especificação e Lógicas,0,,1,0,3,0,,0
MF,revisao,sistemas-formais,1,1,Sistemas Formais,0,,2,0,2,1,formais,0
MF,exerciciosespecificacao-respostas,linguagens-de-especificacao-e-logicas,1,1,Linguagens de Especificação e Lógicas,0,,1,0,3,2,especificacao;linguagens,0
MF,exerciciosespecificacao,linguagens-de-especificacao-e-logicas,0,1,Linguagens de Especificação e Lógicas,0,,1,0,3,2,especificacao;linguagens,0
MF,logicaproposicional-semantica,linguagens-de-especificacao-e-logicas,0,1,Linguagens de Especificação e Lógicas,0,,1,0,3,0,,0
MF,arvores,provadores-de-teoremas,1,1,Provadores de Teoremas,0,,2,0,2,0,,0
MF,exemplos,provadores-de-teoremas,1,0,Provadores de Teoremas,0,,2,0,2,0,,0
MF,intro,provadores-de-teoremas,1,1,Provadores de Teoremas,0,,2,0,2,0,,0
MF,listas,provadores-de-teoremas,1,1,Provadores de Teoremas,0,,2,0,2,0,,0
MF,provas,provadores-de-teoremas,1,1,Provadores de Teoremas,0,,2,0,2,0,,0
MF,hoare,logica-de-hoare,1,1,Lógica de Hoare,0,,3,0,2,2,hoare;logica,0
MF,terminacao,correcao-parcial-e-total,0,1,Correção Parcial e Total,0,,3,0,3,0,,0
MF,tiposindutivos,softwares-de-suporte-a-verificacao-formal-de-programas,1,0,Softwares de Suporte à Verificação Formal de Programas,0,,1,0,5,0,,0
SO,1903-estruturas-de-controle,conceitos-basicos,1,1,Conceitos básicos,0,,1,0,2,0,,0
SO,3103-threads,conceitos-basicos,0,1,Conceitos básicos,0,,1,0,2,0,,0
SO,exercicios,algoritmos-de-escalonamento,1,1,Algoritmos de escalonamento,0,,1,0,2,0,,0
SO,exemplo-threads-em-c-exemplo1,conceitos-basicos,0,1,Conceitos básicos,0,,1,0,2,0,,0
SO,exemplo-threads-em-c-exemplo2,conceitos-basicos,0,1,Conceitos básicos,0,,1,0,2,0,,0
SO,exemplo-threads-em-c-exemplo3,conceitos-basicos,1,1,Conceitos básicos,0,,1,0,2,0,,0
IA,algoritmo-de-classificacao-k-nn,modelos-preditivos,1,1,Modelos Preditivos,0,,2,0,2,0,,0
IA,exemplo-com-k-nn,modelos-preditivos,1,1,Modelos Preditivos,0,,2,0,2,0,,0
IA,exemplo-2-k-nn-com-iriscsv-mais-completo,modelos-preditivos,1,1,Modelos Preditivos,0,,2,0,2,0,,0
IA,exemplo-de-programa-com-k-nn-em-java,modelos-preditivos,1,0,Modelos Preditivos,0,,2,0,2,0,,0
IA,artigo-usando-k-nn-em-texto,modelos-preditivos,1,1,Modelos Preditivos,0,,2,0,2,1,modelos,0
IA,k-nn-para-classificacao-exemplo-cardio,modelos-preditivos,1,1,Modelos Preditivos,0,,2,0,2,0,,0
IA,k-nn-para-regressao-exemplo-imc,modelos-preditivos,1,1,Modelos Preditivos,0,,2,0,2,0,,0
IA,introducao-a-redes-neurais,modelos-preditivos,1,1,Modelos Preditivos,0,,2,0,2,0,,0
IA,rede-perceptron,modelos-preditivos,1,1,Modelos Preditivos,0,,2,0,2,0,,0
IA,rede-perceptron-classificacao-de-cliente,modelos-preditivos,1,1,Modelos Preditivos,0,,2,0,2,0,,0
IA,rede-perceptron-classificacao-planta-iris,modelos-preditivos,1,1,Modelos Preditivos,0,,2,0,2,0,,0
IA,rede-perceptron-exemplo-atualizado,modelos-preditivos,1,1,Modelos Preditivos,0,,2,0,2,0,,0
IA,rede-perceptron-or-em-python,modelos-preditivos,1,1,Modelos Preditivos,0,,2,0,2,0,,0
IA,rede-perceptron-reconhecendo-letras,modelos-preditivos,1,1,Modelos Preditivos,0,,2,0,2,0,,0
IA,exercicio-2-solucao-com-rede-perceptron-atualizado,modelos-preditivos,1,1,Modelos Preditivos,0,,2,0,2,0,,0
IA,mlp,modelos-preditivos,1,1,Modelos Preditivos,0,,2,0,2,1,modelos,0
IA,mlp-xoripynb,modelos-preditivos,1,0,Modelos Preditivos,0,,2,0,2,0,,0
IA,mlp-classificacao-iris-atualizado,modelos-preditivos,1,1,Modelos Preditivos,0,,2,0,2,0,,0
IA,mlp-regressao-cardio,modelos-preditivos,1,1,Modelos Preditivos,0,,2,0,2,0,,0
IA,rede-perceptron-e-equacao-de-reta,modelos-preditivos,1,1,Modelos Preditivos,0,,2,0,2,0,,0
IA,xor-backpropagation-em-python,modelos-preditivos,1,1,Modelos Preditivos,0,,2,0,2,0,,0
IA,mlp-classificacao-inadimplencia-normalizacao-e-gridsearchcv,modelos-preditivos,1,1,Modelos Preditivos,0,,2,0,2,0,,0
IA,como-analisar-resultados-acc-pr-re-e-f1,metricas-de-avaliacao,1,1,Métricas de Avaliação,0,,2,0,2,1,avaliacao,0
IA,arvores-de-decisao,modelos-preditivos,1,1,Modelos Preditivos,0,,2,0,2,1,modelos,0
IA,exemplo-1-arvores-de-decisao-classificacao-planta-iris,modelos-preditivos,1,1,Modelos Preditivos,0,,2,0,2,0,,0
IA,exemplo-2-arvores-de-decisao-regressao-diabetes,modelos-preditivos,1,1,Modelos Preditivos,0,,2,0,2,0,,0
IA,aula-sobre-agrupamento-parte-1-particional,modelos-descritivos,1,1,Modelos Descritivos,0,,2,0,2,0,,0
IA,agrupamento-usando-k-means-exemplo-1-ipynb,modelos-descritivos,1,1,Modelos Descritivos,0,,2,0,2,0,,0
IA,agrupamento-usando-k-means-exemplo-2-ipynb,modelos-descritivos,1,1,Modelos Descritivos,0,,2,0,2,0,,0
IA,artigo-usando-agrupamento,modelos-descritivos,1,1,Modelos Descritivos,0,,2,0,2,0,,0
IA,survey-on-clustering,modelos-descritivos,1,1,Modelos Descritivos,0,,2,0,2,0,,0
IA,aula-sobre-agrupamento-parte-2-hierarquico,modelos-descritivos,1,0,Modelos Descritivos,0,,2,0,2,0,,0
IA,agrupamento-hierarquico-exemplo-1,modelos-descritivos,1,1,Modelos Descritivos,0,,2,0,2,0,,0
IA,agrupamento-hierarquico-exemplo-2-use-o-dataset-da-planta-iris,modelos-descritivos,1,1,Modelos Descritivos,0,,2,0,2,0,,0
ES2,revisaoarquiteturapadroes,conceito-de-arquitetura-de-software,1,1,Conceito de arquitetura de software,0,,1,0,3,3,arquitetura;conceito;software,0
ES2,microsservicos,orientada-a-microsservicos,1,1,Orientada a Microsserviços,0,,2,0,2,1,microsservicos,0
ES2,roteiro1,estudo-de-caso-arquitetura-orientada-a-microsservicos,0,1,Estudo de caso: arquitetura orientada a microsserviços,0,,2,0,3,0,,0
ES2,devops,conceito-de-devops,1,1,Conceito de DevOps,0,,1,0,2,1,devops,0
ES2,kubernetes,plataformas-de-devops,0,1,Plataformas de DevOps,0,,1,0,2,0,,0
ES2,roteiro2-nameserver,estudo-de-caso-arquitetura-orientada-a-microsservicos,1,1,Estudo de caso: arquitetura orientada a microsserviços,0,,2,0,3,1,arquitetura,0
ES2,roteiro2,estudo-de-caso-arquitetura-orientada-a-microsservicos,0,1,Estudo de caso: arquitetura orientada a microsserviços,0,,2,0,3,0,,0
ES2,microsservicos6,estudo-de-caso-integracao-e-implantacao-de-microsservicos,1,1,Estudo de Caso: integração e implantação de microsserviços,0,,22,0,3,0,,0
ES2,roteiro8-autenticacao-autorizacao,estudo-de-caso-integracao-e-implantacao-de-microsservicos,1,1,Estudo de Caso: integração e implantação de microsserviços,0,,22,0,3,0,,0
TCC,aula-06-revisao-alfabeto-cadeia-linguagem-hierarquia-de-chomsky-lemas-e-propriedades-de-automatos,,1,0,,0,,0,0,0,0,,0
TCC,aula-09-variacoes-de-maquinas-de-turing,variacoes-de-maquinas-de-turing,0,1,Variações de Máquinas de Turing,1,,1,0,3,3,maquinas;turing;variacoes,0
TCC,aula-10-linguagens-reconhecıveis-e-linguagens-decidıveis-pdf,linguagens-reconheciveis-e-decidiveis,1,1,Linguagens Reconhecíveis e Decidíveis,0,Recapitulação: Classes de Linguagens,3,0,3,3,decidiveis;linguagens;reconheciveis,0
CG,atividade,conceito-de-camera-sintetica,0,1,Conceito de Câmera Sintética,0,,1,0,3,0,,0
CG,basico3d-py,conceito-de-camera-sintetica,1,0,Conceito de Câmera Sintética,0,,1,0,3,0,,0
CG,opengl3d,conceito-de-camera-sintetica,0,1,Conceito de Câmera Sintética,0,,1,0,3,2,camera;sintetica,0
CG,opengl3dcpp-vdi,conceito-de-camera-sintetica,0,0,Conceito de Câmera Sintética,0,,1,0,3,0,,0
CG,opengl3dcpp,conceito-de-camera-sintetica,0,0,Conceito de Câmera Sintética,0,,1,0,3,0,,0
CG,vis3d,projecoes,0,1,Projeções,1,,1,0,1,1,projecoes,0
CG,programabasico3d,modelos-de-reflexao-ambiente-difusa-especular,1,0,"Modelos de Reflexão: ambiente, difusa, especular",0,,0,0,5,1,ambiente,0
CG,exercicio-com-animacao,operacoes-com-vetores,0,0,Operações com vetores,0,,1,0,2,0,,0
CG,matematica,operacoes-com-vetores,0,1,Operações com vetores,0,,1,0,2,0,,0
CG,animacao-v2,,0,0,,0,,0,0,0,0,,0
CG,exercicios-teoricos-sobre-processo-de-visualizacao-2d,sistema-de-coordenadas-cartesianas,1,0,Sistema de Coordenadas Cartesianas,0,,1,0,3,0,,0
CG,instanciamento,,0,0,,0,,0,0,0,0,,0
CG,mapeamento,sistema-de-coordenadas-cartesianas,0,1,Sistema de Coordenadas Cartesianas,0,,1,0,3,2,coordenadas;sistema,0
CG,pagina-com-videos-sobre-instanciamento,,1,0,,0,,0,0,0,0,,0
CG,transformacoesgeometricas,,0,0,,0,,0,0,0,0,,0
CG,transformacoesgl,,0,0,,0,,0,0,0,0,,0
CG,remocaoderuido,filtros,0,1,Filtros,0,,1,0,1,0,,0
CG,introducaoprocimg,filtros,1,1,Filtros,1,,1,0,1,1,filtros,0
CG,exercicios-teoricos-sobre-processo-de-visualizacao-2d-html,sistema-de-coordenadas-cartesianas,1,0,Sistema de Coordenadas Cartesianas,0,,1,0,3,0,,0
CG,pagina-com-videos-sobre-fundamentos-matematicos-para-computacao-grafica-d1d4a9,entidades-geometricas,1,0,Entidades geométricas,0,,1,0,2,0,,0
CG,videos-sobre-algoritmos-de-detecao-de-colisao-bd7d84,algoritmos-de-deteccao-e-calculo-de-interseccao,1,1,Algoritmos de detecção e cálculo de intersecção,0,,1,0,4,1,algoritmos,0
CG,pagina-com-videos-sobre-mapeamento-9f410e,sistema-de-coordenadas-cartesianas,0,0,Sistema de Coordenadas Cartesianas,0,,1,0,3,0,,0
CG,video-sobre-mapeamento-em-opengl-1dad3c,sistema-de-coordenadas-cartesianas,0,0,Sistema de Coordenadas Cartesianas,0,,1,0,3,0,,0
CG,pagina-com-videos-sobre-introducao-ao-processamento-de-imagens-61f156,introducao-e-exemplos-de-aplicacoes,1,1,Introdução e Exemplos de Aplicações,0,,1,0,0,0,,0
CG,paginas-com-videos-sobre-modelagem-geometrica-f2614a,tecnicas-de-modelagem-3d,1,0,Técnicas de Modelagem 3D,0,,0,0,2,2,modelagem;tecnicas,0
CG,pagina-com-videos-sobre-visualizacao-3d-35a833,pipeline-de-visualizacao-3d,0,0,Pipeline de visualização 3D,0,,1,0,2,1,visualizacao,0
FR,01-protocolos-de-rede,conceito-de-protocolo-de-redes-pessoais-locais-metropolitanas-e-de-longa-distancia,1,1,"Conceito de protocolo de redes pessoais, locais, metropolitanas e de longa distância",0,,1,0,8,2,protocolo;redes,0
FR,03-tipos-de-redes,conceito-de-protocolo-de-redes-pessoais-locais-metropolitanas-e-de-longa-distancia,1,1,"Conceito de protocolo de redes pessoais, locais, metropolitanas e de longa distância",0,,1,0,8,6,distancia;locais;longa;metropolitanas;pessoais;redes,0
FR,04-camada-de-aplicacao,funcoes-e-caracteristicas-do-nivel-de-aplicacao,1,1,Funções e características do nível de aplicação,0,,1,0,3,1,nivel,0
FR,04-protocolo-http,protocolos-de-aplicacao-para-o-usuario-http-https-smtp-pop3-imap,1,1,"Protocolos de aplicação para o usuário (HTTP, HTTPS, SMTP, POP3, IMAP)",0,,1,0,7,3,http;https;usuario,0
FR,05-protocolo-dns,protocolos-de-aplicacao-para-infraestrutura-dns-dhcp-snmp-nat,1,1,"Protocolos de aplicação para infraestrutura (DNS, DHCP, SNMP, NAT)",0,,1,0,4,1,protocolos,0
FR,unidade2-exercicios-http,protocolos-de-aplicacao-para-o-usuario-http-https-smtp-pop3-imap,1,1,"Protocolos de aplicação para o usuário (HTTP, HTTPS, SMTP, POP3, IMAP)",0,,1,0,7,3,http;https;usuario,0
FR,08-desenvolvimento-de-aplicacoes,implementacao-de-sockets,0,1,Implementação de sockets,0,,1,0,2,1,sockets,0
FR,udp-example-c,implementacao-de-sockets,1,1,Implementação de sockets,0,,1,0,2,0,,0
FR,udp-example-java,implementacao-de-sockets,1,1,Implementação de sockets,0,,1,0,2,0,,0
FR,tcp-chat-c,implementacao-de-sockets,1,1,Implementação de sockets,0,,1,0,2,0,,0
FR,tcp-example,implementacao-de-sockets,1,1,Implementação de sockets,0,,1,0,2,0,,0
