id,title,category,source_section,moodle_label,posting_date,predicted_block_id,proposed_true_block_id,block_aulas,block_dates,block_topic,confidence,method,needs_review,evidence
spring-640c68,sPRING,references,,,,bloco-04,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,prediction,SIM,sem card/data -> predicao do funil
spring-petclinic,GitHub - spring-projects/spring-petclinic: A sample Spring-based application · GitHub,codigo-aluno,,,,bloco-04,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,prediction,SIM,sem card/data -> predicao do funil
spring-framework-petclinic,"GitHub - spring-petclinic/spring-framework-petclinic: A Spring Framework application based on JSP, Spring MVC, Spring Data JPA, Hibernate and JDBC · GitHub",codigo-aluno,,,,bloco-04,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,prediction,SIM,sem card/data -> predicao do funil
eshoponweb,"GitHub - dotnet-architecture/eShopOnWeb: Sample ASP.NET Core 8.0 reference application, now community supported: https://github.com/NimblePros/eShopOnWeb · GitHub",codigo-aluno,,,,bloco-04,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,prediction,SIM,sem card/data -> predicao do funil
modular-monolith-nestjs,GitHub - jsantanders/modular-monolith-nestjs: A Modular Monolith application with Domain-Driven Design approach. Using NestJS as a backend framework. · GitHub,codigo-aluno,,,,bloco-01,bloco-01,"0,1,2",3 dias · 06/03/2026 a 20/03/2026,disciplina conceitos arquitetura baseada servicos monolitica microservicos,baixa,prediction,SIM,sem card/data -> predicao do funil
sam-newman-3ebf05,Sam Newman,references,,,,bloco-07,bloco-07,"11,12",2 dias · 22/05/2026 a 29/05/2026,implantacao microservicos conteineres,baixa,prediction,SIM,sem card/data -> predicao do funil
what-are-microservices-2c819d,What are microservices?,references,,,,bloco-01,bloco-01,"0,1,2",3 dias · 06/03/2026 a 20/03/2026,disciplina conceitos arquitetura baseada servicos monolitica microservicos,baixa,prediction,SIM,sem card/data -> predicao do funil
patterns-for-api-design-4b69be,Patterns for API Design,references,,,,bloco-01,bloco-01,"0,1,2",3 dias · 06/03/2026 a 20/03/2026,disciplina conceitos arquitetura baseada servicos monolitica microservicos,baixa,prediction,SIM,sem card/data -> predicao do funil
microservices-93899a,microservices,references,,,,bloco-01,bloco-01,"0,1,2",3 dias · 06/03/2026 a 20/03/2026,disciplina conceitos arquitetura baseada servicos monolitica microservicos,baixa,prediction,SIM,sem card/data -> predicao do funil
guias-de-arquitetura-do-aplicativo-net-75b4b8,Guias de arquitetura do aplicativo .NET,references,,,,bloco-01,bloco-01,"0,1,2",3 dias · 06/03/2026 a 20/03/2026,disciplina conceitos arquitetura baseada servicos monolitica microservicos,baixa,prediction,SIM,sem card/data -> predicao do funil
the-spring-petclinic-community-512e7f,The Spring PetClinic Community,references,,,,bloco-04,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,prediction,SIM,sem card/data -> predicao do funil
exemplos-e-praticas-recomendadas-de-arquitetura-de-referencia-c164ea,Exemplos e práticas recomendadas de arquitetura de referência,references,,,,bloco-01,bloco-01,"0,1,2",3 dias · 06/03/2026 a 20/03/2026,disciplina conceitos arquitetura baseada servicos monolitica microservicos,baixa,prediction,SIM,sem card/data -> predicao do funil
spring-security-e618bc,Spring Security,references,,,,bloco-04,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,prediction,SIM,sem card/data -> predicao do funil
overview-spring-security-docs-700-api-f91854,Overview (spring-security-docs 7.0.0 API),references,,,,bloco-04,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,prediction,SIM,sem card/data -> predicao do funil
rabbitmq-one-broker-to-queue-them-all-rabbitmq-5b4eaa,RabbitMQ: One broker to queue them all | RabbitMQ,references,,,,bloco-01,bloco-01,"0,1,2",3 dias · 06/03/2026 a 20/03/2026,disciplina conceitos arquitetura baseada servicos monolitica microservicos,baixa,prediction,SIM,sem card/data -> predicao do funil
spring-amqp-a70a79,Spring AMQP,references,,,,bloco-04,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,prediction,SIM,sem card/data -> predicao do funil
resilience4j-b04e80,resilience4j,references,,,,bloco-06,bloco-06,10,1 dia · 15/05/2026,microservicos spring circuit breaker,baixa,prediction,SIM,sem card/data -> predicao do funil
spring-cloud-circuit-breaker-f78df2,Spring Cloud Circuit Breaker,references,,,,bloco-06,bloco-06,10,1 dia · 15/05/2026,microservicos spring circuit breaker,baixa,prediction,SIM,sem card/data -> predicao do funil
spring-cloud-gateway-49e0da,Spring Cloud Gateway,references,,,,bloco-04,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,prediction,SIM,sem card/data -> predicao do funil
spring-cloud-loadbalancer-spring-cloud-commons-f8bf2b,Spring Cloud LoadBalancer :: Spring Cloud Commons,references,,,,bloco-04,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,prediction,SIM,sem card/data -> predicao do funil
spring-cloud-netflix-0e99c3,Spring Cloud Netflix,references,,,,bloco-04,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,prediction,SIM,sem card/data -> predicao do funil
spring-cloud-openfeign-79c19e,Spring Cloud OpenFeign,references,,,,bloco-04,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,prediction,SIM,sem card/data -> predicao do funil
spring-cloud-188005,Spring Cloud,references,,,,bloco-04,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,prediction,SIM,sem card/data -> predicao do funil
spring-boot-612cac,Spring Boot,references,,,,bloco-04,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,prediction,SIM,sem card/data -> predicao do funil
microsservices-126e62,Microsservices,references,,,,bloco-04,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,prediction,SIM,sem card/data -> predicao do funil
revisaoarquiteturapadroes,Revisaoarquiteturapadroes,material-de-aula,Revisão,Arquitetura e padrões: revisão de conceitos,2026-02-18,bloco-01,bloco-01,"0,1,2",3 dias · 06/03/2026 a 20/03/2026,disciplina conceitos arquitetura baseada servicos monolitica microservicos,baixa,prediction,SIM,sem card/data -> predicao do funil
microsservicos,microsservicos,material-de-aula,Microsserviços,Microsserviços,2026-02-18,bloco-01,bloco-01,"0,1,2",3 dias · 06/03/2026 a 20/03/2026,disciplina conceitos arquitetura baseada servicos monolitica microservicos,baixa,prediction,SIM,sem card/data -> predicao do funil
web,Web,material-de-aula,Revisão,Sistemas na web: revisão de conceitos,2026-02-18,bloco-01,bloco-01,"0,1,2",3 dias · 06/03/2026 a 20/03/2026,disciplina conceitos arquitetura baseada servicos monolitica microservicos,baixa,prediction,SIM,sem card/data -> predicao do funil
roteiro1-introducao,Roteiro1 Introducao,material-de-aula,Microsserviços,Roteiro 1,2026-02-18,bloco-04,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,prediction,SIM,sem card/data -> predicao do funil
roteiro2-nameserver,Roteiro2_nameserver,material-de-aula,Microsserviços,Roteiro 2,2026-02-18,bloco-04,bloco-04,"5,6,7",3 dias · 10/04/2026 a 24/04/2026,microservicos spring discovery gateway,baixa,prediction,SIM,sem card/data -> predicao do funil
