id,title,category,source_section,moodle_label,posting_date,predicted_block_id,proposed_true_block_id,block_aulas,block_dates,block_topic,confidence,method,needs_review,evidence
0206-laminas-gerencia-de-i-o-livro-texto,02.06 Lâminas Gerência de I O (Livro-texto),material-de-aula,,,,bloco-03,bloco-10,26,1 dia · 02/06/2026,enunciado gerencia,media,date,SIM,data 02/06 no nome -> bloco unico bloco-10
0206-laminas-mecanismos-de-interrupcao,02.06 Lâminas Mecanismos de Interrupção,material-de-aula,,,,bloco-03,bloco-10,26,1 dia · 02/06/2026,enunciado gerencia,media,date,SIM,data 02/06 no nome -> bloco unico bloco-10
0205-laminas-segmentacao,02.05 Lâminas Segmentação,material-de-aula,,,,bloco-09,bloco-08,"17,18,19",3 dias · 30/04/2026 a 07/05/2026,parte trabalho,media,date,SIM,data 02/05 no nome -> bloco unico bloco-08
2105-laminas-paginacao,21.05 Lâminas Paginação,material-de-aula,,,,bloco-09,bloco-09,"20,21,22,23,24,25",6 dias · 12/05/2026 a 28/05/2026,gerencia memoria politicas basicas virtual paginacao segmentacao paginada,media,date,SIM,data 21/05 no nome -> bloco unico bloco-09
1205-laminas-gerencia-de-memoria,12.05 Lâminas Gerência de Memória,material-de-aula,,,,bloco-09,bloco-09,"20,21,22,23,24,25",6 dias · 12/05/2026 a 28/05/2026,gerencia memoria politicas basicas virtual paginacao segmentacao paginada,media,date,SIM,data 12/05 no nome -> bloco unico bloco-09
laminas-sockets,Lâminas Sockets,material-de-aula,,,,bloco-07,bloco-07,"15,16",2 dias · 23/04/2026 a 28/04/2026,comunicacao entre processos pipes filas,baixa,prediction,SIM,sem card/data -> predicao do funil
sockets-kurose,sockets_kurose,material-de-aula,Sincronização e Comunicação de Processos,Lâminas: CS 4244 Internet Programming Sockets Programming,2026-03-10,bloco-03,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,baixa,prediction,SIM,sem card/data -> predicao do funil
1404-laminas-ipc,14.04 Lâminas IPC,material-de-aula,,,,bloco-07,bloco-05,"10,11,12,13",4 dias · 07/04/2026 a 16/04/2026,gerencia processador sincronizacao deadlock especificacao,media,date,SIM,data 14/04 no nome -> bloco unico bloco-05
1404-troca-de-mensagens,14.04 Troca de Mensagens,material-de-aula,,,,bloco-03,bloco-05,"10,11,12,13",4 dias · 07/04/2026 a 16/04/2026,gerencia processador sincronizacao deadlock especificacao,media,date,SIM,data 14/04 no nome -> bloco unico bloco-05
0904-laminas-semaforos,09.04 Lâminas Semáforos,material-de-aula,,,,bloco-03,bloco-05,"10,11,12,13",4 dias · 07/04/2026 a 16/04/2026,gerencia processador sincronizacao deadlock especificacao,media,date,SIM,data 09/04 no nome -> bloco unico bloco-05
0704-laminas-comunicacao-e-sincronizacao,07.04 Lâminas Comunicação e Sincronização,material-de-aula,,,,bloco-07,bloco-05,"10,11,12,13",4 dias · 07/04/2026 a 16/04/2026,gerencia processador sincronizacao deadlock especificacao,media,date,SIM,data 07/04 no nome -> bloco unico bloco-05
c-threads,C threads,material-de-aula,Threads,Biblioteca em C - pthread,2026-03-10,bloco-03,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,baixa,prediction,SIM,sem card/data -> predicao do funil
3103-threads,31.03 Threads,material-de-aula,,,,bloco-03,bloco-03,"2,3,4,5,6,7,8",7 dias · 10/03/2026 a 31/03/2026,historico evolucao sistemas operacionais estruturas processos chamadas sistema gerencia processador escalonamento threads exclusao mutua,media,date,SIM,data 31/03 no nome -> bloco unico bloco-03
