id,title,category,markdown_path,predicted_block_id,predicted_period,predicted_band,true_block_id
aula-17-np-completude,Aula 17 - NP-Completude,material-de-aula,content/curated/aula-17-np-completude.md,bloco-22,2 dias · 03/06/2026 a 05/06/2026,alta,bloco-22
problema-weighted-max-cut,Problema Weighted Max-Cut,bibliografia,content/curated/problema-weighted-max-cut.md,,,,
enunciado-t2,Enunciado T2,trabalhos,content/curated/enunciado-t2.md,bloco-23,1 dia · 10/06/2026,alta,bloco-23
aula-16-exemplo-de-prova-para-revisao,Aula 16 - Exemplo de Prova para Revisão,material-de-aula,content/curated/aula-16-exemplo-de-prova-para-revisao.md,bloco-16,1 dia · 06/05/2026,alta,bloco-16
aula-15-teoremas-de-incompletude-de-godel,Aula 15 - Teoremas de Incompletude de Gödel,material-de-aula,content/curated/aula-15-teoremas-de-incompletude-de-godel.md,bloco-14,1 dia · 29/04/2026,alta,bloco-14
aula-14-problema-da-correspondencia-de-post,Aula 14 - Problema da Correspondência de Post,material-de-aula,content/curated/aula-14-problema-da-correspondencia-de-post.md,bloco-13,1 dia · 24/04/2026,alta,bloco-13
aula-13-teorema-de-rice,Aula 13 - Teorema de Rice,material-de-aula,content/curated/aula-13-teorema-de-rice.md,bloco-13,1 dia · 24/04/2026,alta,bloco-13
aula-12-entscheidungsproblem,Aula 12 - Entscheidungsproblem,material-de-aula,content/curated/aula-12-entscheidungsproblem.md,bloco-10,1 dia · 15/04/2026,alta,bloco-10
aula-11-o-problema-da-parada-halting-problem-halteproblem,"Aula 11 - O Problema da Parada (Halting Problem, Halteproblem)",material-de-aula,content/curated/aula-11-o-problema-da-parada-halting-problem-halteproblem.md,bloco-10,1 dia · 15/04/2026,alta,bloco-10
aula-10-linguagens-reconhecıveis-e-linguagens-decidıveis,Aula 10 - Linguagens Reconhecı́veis e Linguagens Decidı́veis,material-de-aula,content/curated/aula-10-linguagens-reconhecıveis-e-linguagens-decidıveis.md,bloco-09,1 dia · 10/04/2026,alta,bloco-09
aula-09-variacoes-de-maquinas-de-turing,Aula 09 - Variações de Máquinas de Turing,material-de-aula,content/curated/aula-09-variacoes-de-maquinas-de-turing.md,bloco-09,1 dia · 10/04/2026,alta,bloco-09
aula-08-maquinas-de-turing-como-processadores-de-funcoes,Aula 08 Maquinas de Turing como Processadores de Funções,material-de-aula,content/curated/aula-08-maquinas-de-turing-como-processadores-de-funcoes.md,bloco-09,1 dia · 10/04/2026,alta,bloco-09
aula07-maquinas-de-turing-e-linguagens-recursivamente-enumeraveis,Aula07 Máquinas de Turing e Linguagens Recursivamente Enumeráveis,material-de-aula,content/curated/aula07-maquinas-de-turing-e-linguagens-recursivamente-enumeraveis.md,bloco-09,1 dia · 10/04/2026,alta,bloco-09
aula-06-revisao-alfabeto-cadeia-linguagem-hierarquia-de-chomsky-lemas-e-propriedades-de-automatos,"Aula 06 - Revisão Alfabeto, Cadeia, Linguagem, Hierarquia de Chomsky, Lemas e Propriedades de Autômatos",material-de-aula,staging/markdown-auto/pymupdf4llm/aula-06-revisao-alfabeto-cadeia-linguagem-hierarquia-de-chomsky-lemas-e-propriedades-de-automatos.md,bloco-06,2 dias · 27/03/2026 a 01/04/2026,alta,bloco-06
revisao-alfabeto-cadeia-linguagem-hierarquia-de-chomsky-lemas-e-propriedades-de-automatos,"Revisão Alfabeto, Cadeia, Linguagem, Hierarquia de Chomsky, Lemas e Propriedades de Autômatos",material-de-aula,content/curated/revisao-alfabeto-cadeia-linguagem-hierarquia-de-chomsky-lemas-e-propriedades-de-automatos.md,bloco-05,1 dia · 25/03/2026,alta,bloco-05
enunciado-t1,Enunciado T1,trabalhos,content/curated/enunciado-t1.md,bloco-03,3 dias · 11/03/2026 a 18/03/2026,alta,bloco-03
aula-05-minimizacao-de-funcoes-recursivas-parciais,Aula 05 - Minimização de Funções Recursivas Parciais,material-de-aula,content/curated/aula-05-minimizacao-de-funcoes-recursivas-parciais.md,bloco-03,3 dias · 11/03/2026 a 18/03/2026,alta,bloco-03
aula-04-funcoes-computaveis-funcoes-recursivas-parciais,Aula 04  Funções Computáveis Funções Recursivas Parciais,material-de-aula,content/curated/aula-04-funcoes-computaveis-funcoes-recursivas-parciais.md,bloco-03,3 dias · 11/03/2026 a 18/03/2026,alta,bloco-03
aula-03-funcoes-recursivas-primitivas-e-composicao-de-funcoes,Aula 03 - Funções Recursivas Primitivas e Composição de Funções,material-de-aula,content/curated/aula-03-funcoes-recursivas-primitivas-e-composicao-de-funcoes.md,bloco-03,3 dias · 11/03/2026 a 18/03/2026,alta,bloco-03
aula-02-conjuntos-enumeraveis-e-nao-enumeraveis-argumento-da-diagonalizacao-de-cantor,Aula 02 - Conjuntos Enumeráveis e Não-Enumeráveis; Argumento da Diagonalização de Cantor,material-de-aula,content/curated/aula-02-conjuntos-enumeraveis-e-nao-enumeraveis-argumento-da-diagonalizacao-de-cantor.md,bloco-02,1 dia · 06/03/2026,alta,bloco-02
aula-01-apresentacao-da-disciplina-revisao-de-teoria-de-conjuntos-e-enumerabilidade,"Aula 01 - Apresentação da Disciplina, Revisão de Teoria de Conjuntos e Enumerabilidade",material-de-aula,content/curated/aula-01-apresentacao-da-disciplina-revisao-de-teoria-de-conjuntos-e-enumerabilidade.md,bloco-01,1 dia · 04/03/2026,alta,bloco-01
referencia-reducibility-among-combinatorial-problems,Referência- REDUCIBILITY AMONG COMBINATORIAL PROBLEMS,bibliografia,None,,,,
aula-16-classes-de-problemas-e-complexidade,Aula 16 - Classes de Problemas e Complexidade,material-de-aula,None,bloco-19,3 dias · 15/05/2026 a 22/05/2026,alta,bloco-19
