curso,entry_id,bloco,unidade,sub_aceito,sub_primario,pred_bloco,pred_unidade,pred_sub
MF,eth2,1,0,,,bloco-01,unidade-01-metodos-formais,abordagens-para-verificacao-formal
MF,aws-encryption-sdk,1,0,,,bloco-01,unidade-01-metodos-formais,abordagens-para-verificacao-formal
MF,archive-of-formal-proofs-355fb8,1,1,0,0,bloco-01,unidade-01-metodos-formais,abordagens-para-verificacao-formal
MF,exerciciosformalizacaoalgoritmosrecursao3,1,1,1,1,bloco-04,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas
MF,formalizacaoalgoritmos-recursao2,1,1,1,1,bloco-04,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas
MF,exerciciosconjuntosindutivos,1,1,1,1,bloco-04,unidade-01-metodos-formais,especificacao-de-conjuntos-indutivos
MF,conjuntosindutivos,1,1,1,1,bloco-04,unidade-01-metodos-formais,especificacao-de-conjuntos-indutivos
MF,logicapredicados-semantica,1,1,1,1,bloco-03,unidade-01-metodos-formais,fundamentos-de-logica-de-primeira-ordem
MF,logicapredicados-sintaxe,1,1,1,1,bloco-03,unidade-01-metodos-formais,fundamentos-de-logica-de-primeira-ordem
MF,logicaproposicional-sintaxe,1,1,1,0,bloco-03,unidade-01-metodos-formais,fundamentos-de-logica-de-primeira-ordem
MF,revisao,0,1,0,0,bloco-04,unidade-01-metodos-formais,especificacao-de-conjuntos-indutivos
MF,introducao,0,1,1,1,bloco-01,unidade-01-metodos-formais,abordagens-para-verificacao-formal
MF,provasindutivas-especificacoesrecursivas,1,1,1,1,bloco-05,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas
MF,provasindutivas-especificacoesrecursivas-arvores,1,1,1,1,bloco-05,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas
MF,provasindutivas-especificacoesrecursivas-listas,1,1,1,1,bloco-05,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas
MF,exercicioscorrecaoinducaomatematica,1,1,1,1,bloco-05,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas
MF,exerciciosespecificacao-respostas,1,1,0,0,bloco-03,unidade-01-metodos-formais,fundamentos-de-logica-de-primeira-ordem
MF,exerciciosespecificacao,1,1,0,0,bloco-03,unidade-01-metodos-formais,fundamentos-de-logica-de-primeira-ordem
MF,exerciciosformalizacaoalgoritmosrecursao2,1,1,1,1,bloco-04,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas
MF,exerciciosisabelle2,1,1,1,0,bloco-06,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas
MF,logicaproposicional-semantica,1,1,1,0,bloco-03,unidade-01-metodos-formais,fundamentos-de-logica-de-primeira-ordem
MF,exerciciosformalizacaoalgoritmosrecursao-respostas,0,1,1,1,bloco-03,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas
MF,formalizacaoalgoritmos-recursao,1,1,1,1,bloco-04,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas
MF,formalizacaoalgoritmos-recursao3,1,1,1,1,bloco-04,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas
MF,exerciciosisabelle,1,1,1,0,bloco-06,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas
MF,revisao-p1,1,1,,,bloco-07,unidade-01-metodos-formais,
MF,t1-2026-1,1,0,,,bloco-11,unidade-02-verificacao-de-programas,sistema-de-prova
MF,t1-2026-1-thy,1,0,,,bloco-11,unidade-02-verificacao-de-programas,
MF,exerciciosformalizacaoalgoritmosrecursao,1,1,1,1,bloco-04,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas
MF,revisao-p1-gabarito,1,1,,,bloco-07,unidade-01-metodos-formais,
MF,arvores,1,1,0,0,bloco-05,unidade-01-metodos-formais,abordagens-para-verificacao-formal
MF,exemplos,1,1,0,0,bloco-06,unidade-01-metodos-formais,exemplos-de-aplicacoes
MF,intro,0,1,1,0,bloco-05,unidade-01-metodos-formais,especificacao-de-funcoes-recursivas
MF,listas,1,1,0,0,bloco-05,unidade-01-metodos-formais,abordagens-para-verificacao-formal
MF,provas,1,1,0,0,bloco-06,unidade-01-metodos-formais,abordagens-para-verificacao-formal
MF,correcaoterminacao,1,1,1,1,bloco-11,unidade-02-verificacao-de-programas,correcao-parcial-e-total
MF,exercicioscorrecaoterminacao,1,1,1,1,bloco-11,unidade-02-verificacao-de-programas,correcao-parcial-e-total
MF,exerciciosformalizacaoalgoritmosinvariantes,1,1,1,1,bloco-11,unidade-02-verificacao-de-programas,invariante-e-variante-de-laco
MF,formalizacaoalgoritmos-invarianteslaco,1,1,1,1,bloco-11,unidade-02-verificacao-de-programas,invariante-e-variante-de-laco
MF,logicadehoare,1,1,1,1,bloco-10,unidade-02-verificacao-de-programas,logica-de-hoare
MF,logicadehoare2,1,1,1,0,bloco-10,unidade-02-verificacao-de-programas,invariante-e-variante-de-laco
MF,exerciciosdafny1,1,1,1,0,bloco-12,unidade-02-verificacao-de-programas,verificacao-de-programas
MF,exerciciosdafny2,0,1,1,0,bloco-11,unidade-02-verificacao-de-programas,verificacao-de-programas
