entry_id,title,category,card,posting_date,text_chars,evidencia,pred_unit,unit_do_bloco_temporal,gold_units,gold_topics,scorable,notas
revisao-p1,revisao_p1,listas,Exercícios Revisão para Provas,2026-04-24,7746,Exercícios – Revisão para P1 · Imagens Curadas,unidade-01-arquitetura-de-software,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,unidade-01-arquitetura-de-software,,yes,"ruling-user 2026-08-19: revisao P1; conteudo cita estilos-e-padroes, camadas, cliente-servidor, microsservicos = so u01"
microsservicos2,microsservicos2,material-de-aula,Microsserviços,2026-02-18,16014,ENGENHARIA DE SOFTWARE II --- · MICROSSERVIÇOS --- · Decisões Arquiteturais · Padrões de Projeto · PADRÕES --- · Service Discovery · Service Registry · Client-Side Discovery · Server-Side Discovery · Netflix Eureka,unidade-01-arquitetura-de-software,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,unidade-01-arquitetura-de-software,,yes,ruling-user 2026-08-19: a serie de microsservicos cobre a unidade que fala de microsservicos (u01)
microsservicos3,microsservicos3,material-de-aula,Microsserviços,2026-02-18,20236,ENGENHARIA DE SOFTWARE II --- · MICROSSERVIÇOS --- · Decisões Arquiteturais · Padrões de Projeto · PADRÕES --- · API Gateway · BFF · Variation: Backends for frontends · Using a single custom **API Gateway service** · Using multiple **API Gateways** / **BFF**,unidade-01-arquitetura-de-software,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,unidade-01-arquitetura-de-software,,yes,ruling-user 2026-08-19: a serie de microsservicos cobre a unidade que fala de microsservicos (u01)
roteiro2-nameserver,Roteiro2_nameserver,material-de-aula,Microsserviços,2026-02-18,20925,Roteiro 2: Discovery (Name Server) e Balanceamento de Carga · Introdução · Passo 1: criando o “name server” · Passo 2: registrando os microserviços no “name server” · Passo 3: comunicando através do “name server” · Passo 4: explorando balanceamento de carga · ,unidade-01-arquitetura-de-software,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,unidade-01-arquitetura-de-software,,yes,ruling-user 2026-08-19: a serie de microsservicos cobre a unidade que fala de microsservicos (u01)
microsservicos5,microsservicos5,material-de-aula,Microsserviços,2026-02-18,26159,ENGENHARIA DE SOFTWARE II --- · MICROSSERVIÇOS --- · Decisões Arquiteturais · Padrões de Projeto · PADRÕES --- · Serviço em contêiner · Máquina virtual X contêiner · Máquina Virtual · Contêiner · Vantagens · Arquitetura do Docker · Docker · O Que São Ambientes,unidade-01-arquitetura-de-software,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,unidade-01-arquitetura-de-software,,yes,ruling-user 2026-08-19: a serie de microsservicos cobre a unidade que fala de microsservicos (u01)
microsservicos7,microsservicos7,material-de-aula,Microsserviços,2026-02-18,27277,ENGENHARIA DE SOFTWARE II --- · MICROSSERVIÇOS --- · Decisões Arquiteturais · Padrões de Projeto · PADRÕES --- · Pontos Chave · Comunicação entre Microserviços · Comunicação direta ou indireta · Comunicação síncrona ou assíncrona · Comunicação Assíncrona · Arq,unidade-01-arquitetura-de-software,unidade-03-testes-de-software,unidade-01-arquitetura-de-software,,yes,ruling-user 2026-08-19: a serie de microsservicos cobre a unidade que fala de microsservicos (u01)
roteiro2,roteiro2,codigo-professor,Microsserviços,2026-02-18,0,(SEM TEXTO — PRECISA MOODLE),unidade-01-arquitetura-de-software,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,unidade-01-arquitetura-de-software,,yes,ruling-user 2026-08-19: a serie de microsservicos cobre a unidade que fala de microsservicos (u01)
roteiro3,roteiro3,codigo-professor,Microsserviços,2026-02-18,0,(SEM TEXTO — PRECISA MOODLE),unidade-01-arquitetura-de-software,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,unidade-01-arquitetura-de-software,,yes,ruling-user 2026-08-19: a serie de microsservicos cobre a unidade que fala de microsservicos (u01)
roteiro4-circuitbreaker,Roteiro4_circuitbreaker,material-de-aula,Microsserviços,2026-02-18,21385,Roteiro 4: Circuit Breaker · Introdução · Passo 1: configurando as dependências no “api gateway” · Passo 2: configurando rotas no “gateway” com “circuit breaker” · Passo 3: explorando o “circuit breaker” no “api gateway” · Exercício · Passo 4: configurando as ,unidade-01-arquitetura-de-software,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,unidade-01-arquitetura-de-software,,yes,ruling-user 2026-08-19: a serie de microsservicos cobre a unidade que fala de microsservicos (u01)
roteiro5,roteiro5,codigo-professor,Microsserviços,2026-06-05,0,(SEM TEXTO — PRECISA MOODLE),unidade-01-arquitetura-de-software,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,unidade-01-arquitetura-de-software,,yes,ruling-user 2026-08-19: a serie de microsservicos cobre a unidade que fala de microsservicos (u01)
roteiro5-conteiners,Roteiro5_conteiners,material-de-aula,Microsserviços,2026-02-18,22786,Roteiro 5: Container · Introdução · Passo 1: criando um executável Java · Passo 2: criando uma imagem para o microsserviço de câmbio · Passo 3: criando uma imagem para cada um dos demais microserviços · Passo 4: configurando o processo de “multi-stage build” ·,unidade-01-arquitetura-de-software,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,unidade-01-arquitetura-de-software,,yes,ruling-user 2026-08-19: a serie de microsservicos cobre a unidade que fala de microsservicos (u01)
roteiro7,roteiro7,codigo-professor,Microsserviços,2026-06-05,0,(SEM TEXTO — PRECISA MOODLE),unidade-02-integracao-de-desenvolvimento-e-operacao-devops,unidade-03-testes-de-software,unidade-01-arquitetura-de-software,,yes,ruling-user 2026-08-19: a serie de microsservicos cobre a unidade que fala de microsservicos (u01)
roteiro7-filas,Roteiro7_filas,material-de-aula,Microsserviços,2026-06-05,29932,Roteiro 7: Comunicação por Filas · Introdução · Fanout exchange routing · Passo 1: configurando a imagem do RabbitMQ no “compose.yaml” · Passo 2: configurando o microserviço produtor · Passo 3: configurando o microserviço consumidor · Passo 4: colocando o sist,unidade-01-arquitetura-de-software,unidade-03-testes-de-software,unidade-01-arquitetura-de-software,,yes,ruling-user 2026-08-19: a serie de microsservicos cobre a unidade que fala de microsservicos (u01)
roteiro7-history-service,roteiro7_history-service,codigo-professor,Microsserviços,2026-06-05,0,(SEM TEXTO — PRECISA MOODLE),unidade-01-arquitetura-de-software,unidade-03-testes-de-software,unidade-01-arquitetura-de-software,,yes,ruling-user 2026-08-19: a serie de microsservicos cobre a unidade que fala de microsservicos (u01)
roteiro8-autenticacao-autorizacao,Roteiro8_autenticacao_autorizacao,material-de-aula,Microsserviços,2026-06-13,14337,Engenharia de Software II · Microserviços · Roteiro 8: Autenticação e Autorização · Introdução · Passo 1: criando uma conta Auth0 · Passo 2: criando uma API REST · Passo 3: configurando Auth0 · Passo 4: testando a API REST · Exercícios,unidade-01-arquitetura-de-software,unidade-03-testes-de-software,unidade-01-arquitetura-de-software,,yes,ruling-user 2026-08-19: a serie de microsservicos cobre a unidade que fala de microsservicos (u01)
azure,Azure,material-de-aula,Microsserviços,,12152,Método 1: · Método 2: · Escolha uma conta · PUCRS · Azure Dev Tools for Teaching · Welcome to the Azure Education Hub!,unidade-01-arquitetura-de-software,unidade-03-testes-de-software,unidade-01-arquitetura-de-software,,yes,ruling-user 2026-08-19: a serie de microsservicos cobre a unidade que fala de microsservicos (u01)
microsservicos4,microsservicos4,material-de-aula,Microsserviços,,13656,ENGENHARIA DE SOFTWARE II --- · MICROSSERVIÇOS --- · Decisões Arquiteturais · Padrões de Projeto · PADRÕES --- · Resiliência · Circuit Breaker · Imagens Curadas,unidade-01-arquitetura-de-software,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,unidade-01-arquitetura-de-software,,yes,ruling-user 2026-08-19: a serie de microsservicos cobre a unidade que fala de microsservicos (u01)
roteiro3-gateway,Roteiro3_gateway,material-de-aula,Microsserviços,,15307,Roteiro 3: Gateway · Introdução · Passo 1: criando o “gateway” · Passo 2: configurando rotas no “gateway” · Passo 3: configurando ações globais · Exercício,unidade-01-arquitetura-de-software,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,unidade-01-arquitetura-de-software,,yes,ruling-user 2026-08-19: a serie de microsservicos cobre a unidade que fala de microsservicos (u01)
roteiro4,roteiro4,codigo-professor,Microsserviços,,0,(SEM TEXTO — PRECISA MOODLE),unidade-01-arquitetura-de-software,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,unidade-01-arquitetura-de-software,,yes,ruling-user 2026-08-19: a serie de microsservicos cobre a unidade que fala de microsservicos (u01)
