entry_id,title,category,posting_date,unit_slug,card,evidencia,pred_subunit,gold_subunit,gold_subunits_extra,gold_fonte,scorable,notas
intro,Página sobre Origens da Computação Gráfica,outros,,unidade-01-introducao-ao-processamento-grafico,1 - Origens da Computação Gráfica,intro · Conteúdo Extraído,,origens,conceitos;areas-relacionadas,conteudo; oraculo Moodle 06/09,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); pagina 'Origens' mas o texto e a classificacao de CG passiva/interativa (Rogers e Adams) = conceitos | 06/09 user: secao do Moodle 'Origens da Computacao Grafica' e o oraculo -> primario origens; conceitos/areas-relacionadas viram extras
origensdacomputacaografica,Slides,material-de-aula,,unidade-01-introducao-ao-processamento-grafico,1 - Origens da Computação Gráfica,Origens da Computação Gráfica · WHIRLWIND · SAGE - Semi-Automatic Ground Enviroment · Sketchpad -** A Man-Machine Graphical Communication System · Sketchpad -** A Man-Machine Graphical Communication S,origens,origens,,conteudo,yes,"provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); Whirlwind, SAGE, Sketchpad, mouse"
segmentacaopptx,Slides,material-de-aula,,unidade-03-processamento-de-imagens-e-visao-computacional,10 - Segmentação de Imagens,Segmentação · Segmentação de Imagens · Convolução · Segmentação por descontinuidades · Segmentação por Descontinuidades · Segmentação por Descontinuidades · Segmentação por descontinuidades · Segmenta,segmentacao,segmentacao,,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user)
segmentacaodetexturas,Texto sobre Matrizes de Co-ocorrência de Níveis de Cinza,outros,,unidade-03-processamento-de-imagens-e-visao-computacional,10 - Segmentação de Imagens,SEGMENTAÇÃO DE TEXTURAS · Material elaborado com base no texto de Pedro Xerxenesky Revisado e editado por Márcio Sarroglia Pinho/PUCRS** pinho@pucrs.br · Figura 1: (a) Imagem original. (b) média aritm,segmentacao,segmentacao,,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); co-ocorrencia de niveis de cinza para segmentar texturas
morfologiamatematicapptx,Slides,material-de-aula,,unidade-03-processamento-de-imagens-e-visao-computacional,11 - Morfologia Matemática,Morfologia Matemática · Morfologia Matemática · Morfologia Matemática · Morfologia Matemática · w Dilatação · Morfologia Matemática · Morfologia Matemática · Imagens Curadas,cores-e-tipos-de-imagens,segmentacao,filtros,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); u03 por pino (oraculo: sessao 12 entre processamento de imagens e exercicios); plano sem topico de morfologia -> segmentacao (dilatacao/erosao sobre imagens binarias)
csg,Modelagem por CSG com Polígonos,outros,,unidade-07-representacao-e-modelagem-de-objetos,12 - Modelagem Geométrica,Fundamentos de Computação Gráfica **Modelagem Geométrica · Imagens Curadas,geometria-solida-construtiva-csg,geometria-solida-construtiva-csg,tecnicas-de-modelagem-3d,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); u07 por pino; CSG com poligonos
modelagem3d,Página sobre Modelagem Geométrica,outros,,unidade-07-representacao-e-modelagem-de-objetos,12 - Modelagem Geométrica,Modelagem3D · Conteúdo Extraído,representacao-aramada,formas-de-representacao,tecnicas-de-modelagem-3d;representacao-aramada;superficies-limitantes,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); u07 por pino; pagina 'Modelagem de Solidos': formas de armazenamento de solidos
atividade,Atividade,outros,,unidade-06-processo-de-visualizacao-3d,13 - Computação Gráfica 3D,atividade · Conteúdo Extraído,conceito-de-camera-sintetica,conceito-de-camera-sintetica,projecoes,conteudo,yes,"provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); tarefas: coordenadas do observador e do alvo, mover o observador"
basico3d-py,Projeto de OpenGL 3D em Python,codigo-professor,,unidade-06-processo-de-visualizacao-3d,13 - Computação Gráfica 3D,Basico3D-PY,perspectiva,conceito-de-camera-sintetica,pipeline-de-visualizacao-3d;projecoes,conteudo,yes,"provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); resumo: cena 3D, gluLookAt, iluminacao, ModelView"
opengl3d,Introdução à OpenGL 3D,outros,,unidade-06-processo-de-visualizacao-3d,13 - Computação Gráfica 3D,"OpenGL3D · Conteúdo Extraído · Instalação de exemplo 3D Utilize um dos projetos disponíveis nesta página : https://www.inf.pucrs.br/pinho/CG/Aulas/OpenGL/OpenGL.html, conforme a linguagem de sua prefe",conceito-de-camera-sintetica,conceito-de-camera-sintetica,projecoes;pipeline-de-visualizacao-3d,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); 'funcoes de projecao e manipulacao da camera em OpenGL'
opengl3dcpp-vdi,Projeto VDI de OpenGL 3D em C++,codigo-professor,,unidade-06-processo-de-visualizacao-3d,13 - Computação Gráfica 3D,OpenGL3DCPP-VDI,conceito-de-camera-sintetica,conceito-de-camera-sintetica,projecoes;pipeline-de-visualizacao-3d,card,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); bundle misto (2D/3D/Bezier/imagens); rotulado pelo LABEL 'Projeto VDI de OpenGL 3D' + card 13 — RULING pendente: apoio misto rotula pelo card?
opengl3dcpp,Projeto de OpenGL 3D em C++,codigo-professor,,unidade-06-processo-de-visualizacao-3d,13 - Computação Gráfica 3D,OpenGL3DCPP,perspectiva,conceito-de-camera-sintetica,projecoes;pipeline-de-visualizacao-3d,card,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); bundle misto; LABEL 'Projeto de OpenGL 3D em C++' + card 13 — RULING pendente
vis3d,Visualização 3D - Projeção,outros,,unidade-06-processo-de-visualizacao-3d,13 - Computação Gráfica 3D,"Vis3d · Conteúdo Extraído · Computação Gráfica Visualização 3D · INTRODUÇÃO · PROJEÇÕES · PROJEÇÃO PARALELA ORTOGRÁFICA · PROJEÇÃO PERSPECTIVA · Como calcular o valor de ""D"" ?",paralela,projecoes,paralela;perspectiva;conceito-de-camera-sintetica;a-matematica-das-projecoes-planares,conteudo,yes,"provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); PROJECOES, paralela ortografica, perspectiva, observador, sistema da camera"
basico3d-cpp,Projeto em C++,codigo-professor,,unidade-07-representacao-e-modelagem-de-objetos,14 - Exercícios sobre Modelagem Geométrica,Basico3D-CPP,representacao-de-curvas-parametricas,tecnicas-de-modelagem-3d,varredura;bezier-e-algoritmo-de-casteljau,conteudo,yes,"provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); u07 por pino; card 14 'Exercicios sobre Modelagem'; resumo: extrusao de poligonos, Bezier"
basico3d-py-zip,Projeto em Python,codigo-professor,,unidade-07-representacao-e-modelagem-de-objetos,14 - Exercícios sobre Modelagem Geométrica,Basico3D-PY,tecnicas-de-modelagem-3d,tecnicas-de-modelagem-3d,varredura,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); u07 por pino; modelagem por extrusao
exerciciodemodelagem,Descrição da Atividade,listas,,unidade-07-representacao-e-modelagem-de-objetos,14 - Exercícios sobre Modelagem Geométrica,EXERCÍCIO DE MODELAGEM 3D · INTRODUÇÃO · CONFIGURAÇÃO DO PROGRAMA · Em C++: · Em Python: · ATIVIDADES · 1) Observe a função **init. · 2) Observe a função **CriaObjetoPorExtrusao** .,tecnicas-de-modelagem-3d,varredura,tecnicas-de-modelagem-3d,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); u07 por pino; CriaObjetoPorExtrusao (extrusao = varredura)
elemoculto,Slides,material-de-aula,,unidade-06-processo-de-visualizacao-3d,15 - Remoção de Elementos Ocultos,Remoção de Elementos Ocultos · Introdução · n Eliminação de superfícies escondidas · Introdução · Introdução · Introdução · Introdução · Introdução,algoritmo-z-buffer,algoritmos-de-remocao-de-elementos-ocultos,eliminacao-de-faces-traseiras;algoritmo-do-pintor;algoritmo-z-buffer;arvores-bsp,conteudo,yes,"provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); slides-roteiro da remocao de elementos ocultos (faces traseiras, z-buffer, pintor)"
exemplozbuffer,Exemplo de Zbuffer,outros,,unidade-06-processo-de-visualizacao-3d,15 - Remoção de Elementos Ocultos,ExemploZbuffer,algoritmo-z-buffer,algoritmo-z-buffer,,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user)
iluminacao,Página sobre Síntese de Imagens Realísticas - Iluminação e Sobreamento,outros,,unidade-08-sintese-de-imagens-realisticas,16 - Síntese de Imagens Realísticas,Iluminacao · Conteúdo Extraído · SÍNTESE DE IMAGENS REALÍSTICAS,modelos-de-reflexao-ambiente-difusa-especular,modelos-de-iluminacao-luz-pontual-direcional-spot,modelos-de-reflexao-ambiente-difusa-especular;metodos-de-sombreamento-flat-gouraud-phong,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); pagina: modelos de iluminacao + modelos de tonalizacao
programabasico3d,Código utilizado em aula ,codigo-professor,,unidade-08-sintese-de-imagens-realisticas,16 - Síntese de Imagens Realísticas,OpenGL-CPP\ProgramaBasico3D.cpp,modelos-de-reflexao-ambiente-difusa-especular,modelos-de-reflexao-ambiente-difusa-especular,modelos-de-iluminacao-luz-pontual-direcional-spot;projecoes,conteudo,yes,provenance=proposto-claude 2026-09-05 (aguarda aprovacao do user); codigo usado em aula (card 16): configura ambiente/difusa/especular
