curso,entry_id,title,category,secao_moodle,gold_bloco,unidade_do_bloco_gold,unidade_material_gt,notas_material_gt,pred_unit_produto,revisar,decisao,fonte
MF,eth2,GitHub - Consensys/eth2.0-dafny: Eth2.0 spec in Dafny · GitHub,bibliografia,,bloco-01,unidade-01-metodos-formais,unidade-02-verificacao-de-programas,"propagado de coverage_gt_MF.csv (provenance=proposto-claude, sessao 2026-08-18); CONFIRMADO ruling user 2026-08-31: u02",unidade-01-metodos-formais,ok,,
MF,aws-encryption-sdk,GitHub - aws/aws-encryption-sdk: AWS Encryption SDK · GitHub,bibliografia,,bloco-01,unidade-01-metodos-formais,unidade-02-verificacao-de-programas,"propagado de coverage_gt_MF.csv (provenance=proposto-claude, sessao 2026-08-18); CONFIRMADO ruling user 2026-08-31: u02",unidade-01-metodos-formais,ok,,
MF,t1-2026-1,t1_2026_1,trabalhos,TDE Trabalho Discente Efetivo,bloco-11,unidade-02-verificacao-de-programas,unidade-01-metodos-formais,proposto-claude 2026-08-19: enunciado 'Provas por Inducao de Especificacoes Equacionais Recursivas' = u01,unidade-02-verificacao-de-programas,duvida,,
MF,t1-2026-1-thy,T1 2026 1,codigo-professor,TDE Trabalho Discente Efetivo,bloco-11,unidade-02-verificacao-de-programas,unidade-01-metodos-formais,proposto-claude 2026-08-19: enunciado 'Provas por Inducao de Especificacoes Equacionais Recursivas' = u01,unidade-02-verificacao-de-programas,duvida,,
MF,t2-2026-1,t2_2026_1,trabalhos,TDE Trabalho Discente Efetivo,bloco-20,(sem gold por bloco),unidade-02-verificacao-de-programas,proposto-claude 2026-08-19 (extraido): enunciado cita 'dafny' e 'invariante' = u02,unidade-03-verificacao-de-modelos,duvida,,
SO,0704-laminas-comunicacao-e-sincronizacao,07.04 Lâminas Comunicação e Sincronização,material-de-aula,Sincronização e Comunicação de Processos,bloco-06,unidade-04-deadlock,unidade-03-programacao-concorrente,plano-de-ensino (2026-08-18): topico 4.2 Comunicacao e sincronizacao na u03,unidade-04-deadlock,duvida,,
SO,0904-laminas-semaforos,09.04 Lâminas Semáforos,outros,Sincronização e Comunicação de Processos,bloco-06,unidade-04-deadlock,unidade-03-programacao-concorrente,plano-de-ensino (2026-08-18): topico 4.2 Comunicacao e sincronizacao na u03,unidade-04-deadlock,ok,,
SO,0704-exemplo-threads-em-java,07.04 Exemplo threads em Java,codigo-professor,Threads,bloco-06,unidade-04-deadlock,unidade-03-programacao-concorrente,plano-de-ensino (2026-08-18): topico 4.1 Programas multithreads na u03,unidade-04-deadlock,duvida,,
SO,3103-threads,31.03 Threads,material-de-aula,Threads,bloco-04,unidade-02-gerencia-do-processador,unidade-03-programacao-concorrente,plano-de-ensino (2026-08-18): topico 4.1 Programas multithreads na u03,unidade-02-gerencia-do-processador,duvida,,
SO,biblioteca-em-c-pthread,Biblioteca em C - pthread,bibliografia,Threads,bloco-04,unidade-02-gerencia-do-processador,unidade-03-programacao-concorrente,plano-de-ensino (2026-08-18): topico 4.1 Programas multithreads na u03,unidade-02-gerencia-do-processador,duvida,,
SO,exemplo-threads-em-c-exemplo1,Exemplo threads em C - exemplo1,codigo-professor,Threads,bloco-04,unidade-02-gerencia-do-processador,unidade-03-programacao-concorrente,plano-de-ensino (2026-08-18): topico 4.1 Programas multithreads na u03,unidade-02-gerencia-do-processador,duvida,,
SO,exemplo-threads-em-c-exemplo2,Exemplo threads em C - exemplo2,codigo-professor,Threads,bloco-04,unidade-02-gerencia-do-processador,unidade-03-programacao-concorrente,plano-de-ensino (2026-08-18): topico 4.1 Programas multithreads na u03,unidade-02-gerencia-do-processador,duvida,,
SO,exemplo-threads-em-c-exemplo3,Exemplo threads em C - exemplo3,codigo-professor,Threads,bloco-04,unidade-02-gerencia-do-processador,unidade-03-programacao-concorrente,plano-de-ensino (2026-08-18): topico 4.1 Programas multithreads na u03,unidade-02-gerencia-do-processador,ok,,
ES2,microsservicos5,microsservicos5,material-de-aula,Microsserviços,bloco-08,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,unidade-01-arquitetura-de-software,ruling-user 2026-08-19: a serie de microsservicos cobre a unidade que fala de microsservicos (u01),unidade-02-integracao-de-desenvolvimento-e-operacao-devops,ok,,
ES2,microsservicos7,microsservicos7,material-de-aula,Microsserviços,bloco-09,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,unidade-01-arquitetura-de-software,ruling-user 2026-08-19: a serie de microsservicos cobre a unidade que fala de microsservicos (u01),unidade-02-integracao-de-desenvolvimento-e-operacao-devops,duvida,,
ES2,azure,Azure,material-de-aula,Microsserviços,bloco-09,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,unidade-01-arquitetura-de-software,ruling-user 2026-08-19: a serie de microsservicos cobre a unidade que fala de microsservicos (u01),unidade-02-integracao-de-desenvolvimento-e-operacao-devops,ok,,
ES2,microsservicos4,microsservicos4,material-de-aula,Microsserviços,bloco-07,unidade-02-integracao-de-desenvolvimento-e-operacao-devops,unidade-01-arquitetura-de-software,ruling-user 2026-08-19: a serie de microsservicos cobre a unidade que fala de microsservicos (u01),unidade-02-integracao-de-desenvolvimento-e-operacao-devops,duvida,,
