card,n_files,candidate_block,block_aulas,block_dates,block_topic,confidence,true_block_id,evidence,file_ids
(sem card),1,bloco-04,"3,4",2 dias · 11/03/2026 a 16/03/2026,tipos dados preparacao,baixa,bloco-04,sem source_section -> predicao do funil,o-que-é-inteligência-artificial-ia-oracle-brasil-43437f
(sem card),1,bloco-01,0,1 dia · 02/03/2026,plano ensino programatico cronograma forma datas avaliacao bibliografia historico,baixa,bloco-01,sem source_section -> predicao do funil,ia-responsável-7c4626
(sem card),1,bloco-04,"3,4",2 dias · 11/03/2026 a 16/03/2026,tipos dados preparacao,baixa,bloco-04,sem source_section -> predicao do funil,aprendizadosupervisionado-arvoresdedecisao-duncan
(sem card),1,bloco-04,"3,4",2 dias · 11/03/2026 a 16/03/2026,tipos dados preparacao,baixa,bloco-04,sem source_section -> predicao do funil,inteligencia-artificial-aula-29-aprendizagem-de-maquina-medidas-de-avaliacao
Semana 1 - 02 03 a 06 03 - Plano de Ensino e Introdução a IA,1,bloco-04,"3,4",2 dias · 11/03/2026 a 16/03/2026,tipos dados preparacao,media,bloco-04,sem card-map; predicao unanime,aula01-introducao-ia
Semana 2 - 09 03 a 13 03 - Introdução a IA (continuação) e Introdução a ML,2,bloco-04,"3,4",2 dias · 11/03/2026 a 16/03/2026,tipos dados preparacao,media,bloco-04,sem card-map; predicao unanime,caracteristicasdosdados;introducaoml-atualizacao2025
Semana 3 - 16 03 a 20 03 - Machine Learning e Dados,1,bloco-04,"3,4",2 dias · 11/03/2026 a 16/03/2026,tipos dados preparacao,media,bloco-04,sem card-map; predicao unanime,aprendizadosupervisionado-classificacao-knn
Semana 4 - 23 03 a 27 03 - Machine Learning Aprendizado Supervisionado,2,bloco-05,"5,6,7,8,9,10,11,12,13",9 dias · 18/03/2026 a 15/04/2026,abordagem supervisionada rede neural introducao perceptron analise resultados arvores decisao means,media,bloco-05,sem card-map; predicao unanime,redesperceptron2023-02;introducaoredesneurais-2023-02
Semana 5 -30 03 a 01 04 ML - Aprendizado Supervisionado,2,bloco-05,"5,6,7,8,9,10,11,12,13",9 dias · 18/03/2026 a 15/04/2026,abordagem supervisionada rede neural introducao perceptron analise resultados arvores decisao means,media,bloco-05,sem card-map; predicao unanime,mlp-novaversao;perceptron-equacaodereta
Semana 6 - 06 04 a 10 04 - ML - Aprendizado Supervisionado,1,bloco-04,"3,4",2 dias · 11/03/2026 a 16/03/2026,tipos dados preparacao,media,bloco-04,sem card-map; predicao unanime,como-analisar-resultados-sse-comcorrecoes
Semana 8 - 20 04 a 24 4 - ML - Aprendizado Não Supervisionado,1,bloco-05,"5,6,7,8,9,10,11,12,13",9 dias · 18/03/2026 a 15/04/2026,abordagem supervisionada rede neural introducao perceptron analise resultados arvores decisao means,media,bloco-05,sem card-map; predicao unanime,aprendizadonaosupervisionado-agrupamento-parte1
Semana 9 - 27 04 a 01 05 - ML - Aprendizado Não Supervisionado,1,bloco-06,"14,15,16",3 dias · 20/04/2026 a 27/04/2026,suspensao abordagem supervisionada means hierarquico analise resultados,media,bloco-06,sem card-map; predicao unanime,aprendizadonaosupervisionado-agrupamento-parte2
TDE Trabalho Discente Efetivo,1,bloco-08,"18,19,20",3 dias · 04/05/2026 a 11/05/2026,trabalho gerais,media,bloco-08,sem card-map; predicao unanime,p1-2024-02-ia
