curso,entry_id,bloco,unidade,sub_aceito,sub_primario,pred_bloco,pred_unidade,pred_sub
CG,intro,1,1,1,1,bloco-01,unidade-01-introducao-ao-processamento-grafico,origens
CG,origensdacomputacaografica,1,1,1,1,bloco-01,unidade-01-introducao-ao-processamento-grafico,origens
CG,segmentacaopptx,,1,1,1,bloco-07,unidade-03-processamento-de-imagens-e-visao-computacional,segmentacao
CG,segmentacaodetexturas,,1,1,1,bloco-07,unidade-03-processamento-de-imagens-e-visao-computacional,segmentacao
CG,morfologiamatematicapptx,1,0,0,0,bloco-08,unidade-06-processo-de-visualizacao-3d,a-matematica-das-projecoes-planares
CG,csg,1,1,1,1,bloco-15,unidade-07-representacao-e-modelagem-de-objetos,geometria-solida-construtiva-csg
CG,modelagem3d,1,1,1,0,bloco-15,unidade-07-representacao-e-modelagem-de-objetos,representacao-aramada
CG,atividade,,1,0,0,bloco-19,unidade-06-processo-de-visualizacao-3d,
CG,basico3d-py,,1,1,0,bloco-18,unidade-06-processo-de-visualizacao-3d,pipeline-de-visualizacao-3d
CG,opengl3d,,1,0,0,bloco-18,unidade-06-processo-de-visualizacao-3d,
CG,opengl3dcpp-vdi,,1,0,0,bloco-18,unidade-06-processo-de-visualizacao-3d,algoritmo-z-buffer
CG,opengl3dcpp,,1,0,0,bloco-18,unidade-06-processo-de-visualizacao-3d,algoritmo-z-buffer
CG,vis3d,,1,0,0,bloco-18,unidade-06-processo-de-visualizacao-3d,
CG,basico3d-cpp,0,0,0,0,bloco-05,unidade-02-fundamentos-matematicos,algoritmos-de-poligonos
CG,basico3d-py-zip,0,0,0,0,bloco-05,unidade-02-fundamentos-matematicos,algoritmos-de-poligonos
CG,exerciciodemodelagem,1,1,1,0,bloco-15,unidade-07-representacao-e-modelagem-de-objetos,tecnicas-de-modelagem-3d
CG,elemoculto,1,1,1,0,bloco-20,unidade-06-processo-de-visualizacao-3d,algoritmo-z-buffer
CG,exemplozbuffer,1,1,1,1,bloco-20,unidade-06-processo-de-visualizacao-3d,algoritmo-z-buffer
CG,iluminacao,,1,1,0,bloco-21,unidade-08-sintese-de-imagens-realisticas,modelos-de-reflexao-ambiente-difusa-especular
CG,programabasico3d,,1,1,1,bloco-21,unidade-08-sintese-de-imagens-realisticas,modelos-de-reflexao-ambiente-difusa-especular
CG,maptextures,,0,,,bloco-06,unidade-04-processo-de-visualizacao-2d,sistema-de-coordenadas-cartesianas
CG,exercicios,,0,0,0,bloco-02,unidade-02-fundamentos-matematicos,algoritmos-de-poligonos
CG,opengl-cpp,,0,0,0,bloco-02,unidade-02-fundamentos-matematicos,algoritmos-de-poligonos
CG,opengl-py,,0,0,0,bloco-02,unidade-02-fundamentos-matematicos,algoritmos-de-poligonos
CG,openglbasico,,0,0,0,bloco-02,unidade-02-fundamentos-matematicos,algoritmos-de-poligonos
CG,texturas-v3,,0,,,bloco-02,unidade-02-fundamentos-matematicos,algoritmos-de-poligonos
CG,exemplodemanipulacaodeimagens,1,0,,,bloco-03,unidade-02-fundamentos-matematicos,algoritmos-de-poligonos
CG,exercicio-com-animacao,1,1,0,0,bloco-03,unidade-02-fundamentos-matematicos,algoritmos-de-poligonos
CG,exercicio-com-poligonos,1,1,1,1,bloco-03,unidade-02-fundamentos-matematicos,algoritmos-de-poligonos
CG,exercicio-de-animacao-foguete,1,1,1,0,bloco-03,unidade-02-fundamentos-matematicos,algoritmos-de-poligonos
CG,fundamentosmatematicos,1,1,1,0,bloco-03,unidade-02-fundamentos-matematicos,operacoes-com-vetores
CG,matematica,1,1,0,0,bloco-03,unidade-02-fundamentos-matematicos,algoritmos-de-poligonos
CG,colisao,1,1,1,1,bloco-04,unidade-02-fundamentos-matematicos,algoritmos-de-deteccao-e-calculo-de-interseccao
CG,geomcomp,,1,1,1,bloco-05,unidade-02-fundamentos-matematicos,algoritmos-de-geometria-computacional
CG,animacao-v2,1,1,0,0,bloco-06,unidade-04-processo-de-visualizacao-2d,desenho-de-linhas
CG,exercicios-teoricos-sobre-processo-de-visualizacao-2d,1,1,0,0,bloco-06,unidade-04-processo-de-visualizacao-2d,desenho-de-linhas
CG,instanciamento,1,1,0,0,bloco-06,unidade-04-processo-de-visualizacao-2d,sistema-de-coordenadas-cartesianas
CG,mapeamento,1,1,0,0,bloco-06,unidade-04-processo-de-visualizacao-2d,recorte
CG,pagina-com-videos-sobre-instanciamento,1,1,0,0,bloco-06,unidade-04-processo-de-visualizacao-2d,desenho-de-linhas
CG,recorte,1,1,1,1,bloco-06,unidade-04-processo-de-visualizacao-2d,recorte
CG,transformacoesgeometricas,1,1,0,0,bloco-06,unidade-04-processo-de-visualizacao-2d,recorte
CG,transformacoesgl,1,1,0,0,bloco-06,unidade-04-processo-de-visualizacao-2d,sistema-de-coordenadas-cartesianas
CG,vis2d,1,1,1,0,bloco-06,unidade-04-processo-de-visualizacao-2d,recorte
CG,bezier-animacao,1,1,1,1,bloco-13,unidade-07-representacao-e-modelagem-de-objetos,bezier-e-algoritmo-de-casteljau
CG,bezier-cpp,1,1,1,1,bloco-13,unidade-07-representacao-e-modelagem-de-objetos,bezier-e-algoritmo-de-casteljau
CG,bezier-py,1,1,1,1,bloco-13,unidade-07-representacao-e-modelagem-de-objetos,bezier-e-algoritmo-de-casteljau
CG,bezier-python,1,1,1,1,bloco-13,unidade-07-representacao-e-modelagem-de-objetos,bezier-e-algoritmo-de-casteljau
CG,curvas,1,1,1,0,bloco-13,unidade-07-representacao-e-modelagem-de-objetos,hermite
CG,curvasparametricas,1,1,1,1,bloco-13,unidade-07-representacao-e-modelagem-de-objetos,representacao-de-curvas-parametricas
CG,exercicios-sobre-curvas,1,1,0,0,bloco-13,unidade-07-representacao-e-modelagem-de-objetos,hermite
CG,floodfill,,1,0,0,bloco-07,unidade-03-processamento-de-imagens-e-visao-computacional,cores-e-tipos-de-imagens
CG,img,,1,1,1,bloco-07,unidade-03-processamento-de-imagens-e-visao-computacional,cores-e-tipos-de-imagens
CG,remocaoderuido,,1,0,0,bloco-07,unidade-03-processamento-de-imagens-e-visao-computacional,cores-e-tipos-de-imagens
